"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"111977","1.0","961","[""NURS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111978","1.0","985","[""PHIL""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111979","1.0","992","[""PHIL""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111980","0.5","1057","[""ESTH""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111981","1.0","1067","[""ESTH""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111982","1.0","1090","[""PHYS""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111983","1.0","1100","[""PHYS""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111984","1.0","1139","[""PSCI""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111985","1.0","1151","[""PSCI""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111986","0.25","1178","[""PSYCH""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111987","1.0","1188","[""PSYCH""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111988","1.0","1236","[""REL""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111989","1.0","1253","[""REL""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111990","1.0","1275","[""RUSSN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111991","1.0","1279","[""RUSSN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111992","1.0","1315","[""SOAN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111993","1.0","1319","[""SOAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111994","1.0","1341","[""SPAN""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111995","1.0","1354","[""SPAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111996","1.0","1366","[""SWRK""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"111997","1.0","1372","[""SWRK""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"111998","1.0","1394","[""THEAT""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","""Academic Internships""","""Research""","2017"
"111999","1.0","1400","[""THEAT""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112000","1.0","1409","[""STAT""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"112001","1.0","1413","[""STAT""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112002","1.0","797","[""MEDIA""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112003","0.5","1282","[""RUSST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"112004","1.0","784","[""MGMT""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"112005","1.0","24395","[""FILM""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112006","1.0","26170","[""WMGST""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"112007","1.0","26172","[""WMGST""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112008","1.0","27329","[""RACE""]","","","""R""","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"112009","1.0","27331","[""RACE""]","","","""R""","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112010","1.0","27398","[""LAMST""]","","","""R""","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","","""Research""","2017"
"112011","1.0","27400","[""LAMST""]","","","""R""","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112012","0.25","374","[""DANCE""]","","","","","[""Staff""]","200","","""Academic Internship""","294","true","","1","""C""","20171","","""Internship""","""Research""","2017"
"112013","0.5","96","[""ASIAN""]","","","","","[""Staff""]","300","","""Academic Internship""","394","true","","1","""C""","20171","","","""Research""","2017"
"112020","1.0","1376","[""THEAT""]","[""ALS-A"", ""ORC""]","","","","[""Michelle C. Gibbs""]","100","[""TB Haugen""]","""Acting for Non-Majors""","115","false","""A""","1","""C""","20171","[""MWF 0905-1000""]","""Acting for the Non Major""","""Research""","2017"
"112021","1.0","1376","[""THEAT""]","[""ALS-A"", ""ORC""]","","","","[""Michelle C. Gibbs""]","100","[""TB Haugen""]","""Acting for Non-Majors""","115","false","""B""","1","""C""","20171","[""MWF 1045-1140""]","""Acting for the Non Major""","""Research""","2017"
"112022","1.0","839","[""MUSIC""]","","","","","[""Dale Kruse"", ""James McKeel""]","200","[""CHM Urness"", ""CHM Urness""]","""Adv Act Lyric Stage""","267","false","","1","""C""","20171","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Advanced Acting For The Lyric Stage""","""Research""","2017"
"112023","0.25","1098","[""PHYS""]","","","","","[""David Nitz""]","300","[""RNS 298""]","""Adv Physics Lab (376)""","386","false","""A""","1","""O""","20171","[""Th 0800-1100""]","""Advanced Physics Laboratory""","""Lab""","2017"
"112024","0.25","1098","[""PHYS""]","","","","","[""Jason J. Engbrecht""]","300","[""RNS 298""]","""Adv Physics Lab (376)""","386","false","""B""","1","""C""","20171","[""Th 1245-0345PM""]","""Advanced Physics Laboratory""","""Lab""","2017"
"112025","0.25","1098","[""PHYS""]","","","","","[""David Nitz""]","300","[""RNS 298""]","""Adv Physics Lab (376)""","386","false","""C""","1","""C""","20171","[""F 0200-0500PM""]","""Advanced Physics Laboratory""","""Lab""","2017"
"112027","1.0","245","[""CHIN""]","[""FOL-C""]","","","","[""Hui Bi""]","300","[""TOH 308""]","""Advanced Chinese I""","301","false","","1","""C""","20171","[""MWF 1150-1245PM""]","""Third-Year Chinese I""","""Research""","2017"
"112028","0.5","858","[""MUSIC""]","","","","","[""Steven Amundson""]","300","[""CHM 140"", ""CHM 140""]","""Advanced Conducting""","354","false","""A""","1","""O""","20171","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2017"
"112029","0.5","858","[""MUSIC""]","","","","","[""Anton Armstrong""]","300","[""CHM 233"", ""CHM 233""]","""Advanced Conducting""","354","false","""B""","1","""O""","20171","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2017"
"112030","1.0","930","[""NORW""]","[""FOL-N"", ""ORC""]","","","","[""Margaret H. O'Leary""]","200","[""TOH 308"", ""TOH 308""]","""Advanced Conv & Comp""","253","false","","1","""O""","20171","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Advanced Conversation and Composition""","""Research""","2017"
"112031","1.0","666","[""JAPAN""]","[""FOL-J""]","","","","[""Rika Ito""]","300","[""TOH 316""]","""Advanced Japanese I""","301","false","","1","""O""","20171","[""MWF 1150-1245PM""]","","""Research""","2017"
"112032","0.25","211","[""CHEM""]","","","","","[""Dipannita Kalyani""]","300","","""Advanced Lab""","375","true","""A""","1","""O""","20171","","""Advanced Laboratory""","""Lab""","2017"
"112033","0.25","211","[""CHEM""]","","","","","[""Douglas J. Beussman""]","300","","""Advanced Lab""","375","true","""B""","1","""O""","20171","","""Advanced Laboratory""","""Lab""","2017"
"112034","0.25","211","[""CHEM""]","","","","","[""Paul T. Jackson""]","300","","""Advanced Lab""","375","true","""C""","1","""O""","20171","","""Advanced Laboratory""","""Lab""","2017"
"112036","0.25","211","[""CHEM""]","","","","","[""Elodie Marlier""]","300","","""Advanced Lab""","375","true","""E""","1","""O""","20171","","""Advanced Laboratory""","""Lab""","2017"
"112037","0.25","211","[""CHEM""]","","","","","[""Jeffrey J. Schwinefus""]","300","","""Advanced Lab""","375","true","""F""","1","""O""","20171","","""Advanced Laboratory""","""Lab""","2017"
"112038","0.25","211","[""CHEM""]","","","","","[""Rodrigo Sanchez-Gonzalez""]","300","","""Advanced Lab""","375","true","""G""","1","""O""","20171","","""Advanced Laboratory""","""Lab""","2017"
"112039","0.25","1011","[""ESAC""]","[""SPM""]","","","","[""Kayla R. Hatting""]","100","[""Tostrud Ctr""]","""Aerobics""","131","false","""A""","1","""O""","20171","[""TTh 0800-0855""]","","""Research""","2017"
"112040","0.25","1011","[""ESAC""]","[""SPM""]","","","","[""Kurt Anderson""]","100","[""Tostrud Ctr""]","""Aerobics""","131","false","""B""","1","""O""","20171","[""TTh 0935-1030""]","","""Research""","2017"
"112041","1.0","974","[""PHIL""]","[""ALS-A""]","","","","[""Charles Taliaferro""]","200","[""RNS 390"", ""RNS 390""]","""Aesthetics""","243","false","","1","""O""","20171","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2017"
"112042","1.0","410","[""ENGL""]","[""ALS-L"", ""MCD""]","","","","[""Joan Hepburn""]","200","[""RML 515"", ""RML 515""]","""Am Racial/Multi Lit""","205","false","","1","""C""","20171","[""T 0935-1100"", ""Th 0930-1050""]","""American Racial and Multicultural Literatures""","""Research""","2017"
"112043","1.0","577","[""HIST""]","[""HWC"", ""MCD""]","","","","[""Steven C. Hahn""]","100","[""TBA""]","""America to 1865""","198","false","""A""","1","""C""","20171","[""MWF 0905-1000""]","""American History to 1865""","""Research""","2017"
"112044","1.0","577","[""HIST""]","[""HWC"", ""MCD""]","","","","[""Steven C. Hahn""]","100","[""TBA""]","""America to 1865""","198","false","""B""","1","""C""","20171","[""MWF 1045-1140""]","""American History to 1865""","""Research""","2017"
"112048","1.0","201","[""CHEM""]","","201","","","[""Paul T. Jackson""]","200","[""RNS 410"", ""RNS 410""]","""Analytical Chemistry""","255","false","","1","""C""","20171","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2017"
"112049","1.0","1076","[""PHYS""]","[""IST"", ""SED""]","1076","","","[""Amy Larsen""]","100","[""RNS 210"", ""RNS 210"", ""RNS 210""]","""Analytical I""","130","false","""A""","1","""O""","20171","[""MWF 0905-1000"", ""T 0830-0925"", ""Th 0825-0920""]","""Analytical Physics I""","""Research""","2017"
"112050","1.0","1076","[""PHYS""]","[""IST"", ""SED""]","1076","","","[""Brian Borovsky""]","100","[""RNS 210"", ""RNS 210"", ""RNS 210""]","""Analytical I""","130","false","""B""","1","""O""","20171","[""MWF 1045-1140"", ""T 1005-1100"", ""Th 0955-1050""]","""Analytical Physics I""","""Research""","2017"
"112051","0.0","1077","[""PHYS""]","","1076","","","[""Amy Larsen""]","100","[""RNS 293""]","""Analytical I Lab""","130","false","""A""","1","""O""","20171","[""M 1255-0325PM""]","","""Lab""","2017"
"112052","0.0","1077","[""PHYS""]","","1076","","","[""Amy Larsen""]","100","[""RNS 293""]","""Analytical I Lab""","130","false","""B""","1","""O""","20171","[""T 1145-0215PM""]","","""Lab""","2017"
"112053","0.0","1077","[""PHYS""]","","1076","","","[""Amy Larsen""]","100","[""RNS 293""]","""Analytical I Lab""","130","false","""C""","1","""O""","20171","[""T 0225-0455PM""]","","""Lab""","2017"
"112055","1.0","1078","[""PHYS""]","[""IST"", ""SED""]","1078","","","[""Prabal Adhikari""]","200","[""RNS 208""]","""Analytical III""","232","false","","1","""C""","20171","[""MWF 0905-1000""]","""Analytical Physics III""","""Research""","2017"
"112056","0.0","1079","[""PHYS""]","","1078","","","[""Prabal Adhikari""]","200","[""RNS 293""]","""Analytical III Lab""","232","false","""A""","1","""O""","20171","[""Th 0820-1050""]","","""Lab""","2017"
"112057","0.0","1079","[""PHYS""]","","1078","","","[""Prabal Adhikari""]","200","[""RNS 293""]","""Analytical III Lab""","232","false","""B""","1","""C""","20171","[""Th 1245-0315PM""]","","""Lab""","2017"
"112058","0.25","202","[""CHEM""]","","201","","","[""Adam Dittmer""]","200","[""RNS 446""]","""Analytical Lab""","256","true","""B""","1","""C""","20171","[""T 1145-0345PM""]","""Analytical Laboratory""","""Lab""","2017"
"112059","0.25","202","[""CHEM""]","","201","","","[""Paul T. Jackson""]","200","[""RNS 446""]","""Analytical Lab""","256","true","""A""","1","""C""","20171","[""M 0100-0500PM""]","""Analytical Laboratory""","""Lab""","2017"
"112060","1.0","1113","[""PSCI""]","","","","","[""Mitchell T. Radtke""]","200","[""TBA""]","""Analyzing Politics""","220","false","","1","""C""","20171","[""MWF 1255-0150PM""]","""Analyzing Politics and Policies""","""Research""","2017"
"112061","1.0","970","[""PHIL""]","[""HWC"", ""WRI""]","","","","[""Danny Munoz-Hutchinson""]","200","[""CAD 202""]","""Ancient Greek Philosophy""","235","false","","1","""C""","20171","[""MWF 0905-1000""]","","""Research""","2017"
"112063","1.0","1314","[""SOAN""]","[""WRI""]","","","","[""Vivian Choi""]","200","[""TBA"", ""TBA""]","""Anthropologic Theory""","292","false","""B""","1","""O""","20171","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Anthropological Theory""","""Research""","2017"
"112064","1.0","1314","[""SOAN""]","[""WRI""]","","","","[""Vivian Choi""]","200","[""TBA"", ""TBA""]","""Anthropologic Theory""","292","false","""A""","1","""O""","20171","[""T 0935-1100"", ""Th 0930-1050""]","""Anthropological Theory""","""Research""","2017"
"112068","1.0","769","[""MGMT""]","[""HBS""]","","","","[""Sian E. Muir""]","200","[""OM 030""]","""Arts Management""","229","false","","1","""C""","20171","[""MWF 1255-0150PM""]","","""Research""","2017"
"112071","1.0","18779","[""ASIAN""]","","","","","[""Hsiang-Lin Shih"", ""Joanne Quimby""]","200","[""TOH 112"", ""TOH 112""]","""AsianCon1:MappingJourneys""","210","false","","1","""C""","20171","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Asian Conversations I: Mapping Journeys""","""Research""","2017"
"112076","0.25","1020","[""ESAC""]","[""SPM""]","","","","[""Judith Tegtmeyer""]","100","[""Tostrud Ctr""]","""Badminton""","151","false","""A""","1","""O""","20171","[""TTh 0800-0855""]","","""Research""","2017"
"112077","0.25","1020","[""ESAC""]","[""SPM""]","","","","[""David A. Stromme""]","100","[""Tostrud Ctr"", ""Tostrud Ctr""]","""Badminton""","151","false","""B""","1","""C""","20171","[""T 1145-1240PM"", ""Th 1245-0140PM""]","","""Research""","2017"
"112078","0.25","1020","[""ESAC""]","[""SPM""]","","","","[""Matthew C. McDonald""]","100","[""Tostrud Ctr""]","""Badminton""","151","false","""C""","1","""O""","20171","[""MW 0800-0855""]","","""Research""","2017"
"112079","0.25","1020","[""ESAC""]","[""SPM""]","","","","[""Matthew C. McDonald""]","100","[""Tostrud Ctr""]","""Badminton""","151","false","""D""","1","""O""","20171","[""MW 1045-1140""]","","""Research""","2017"
"112085","0.25","347","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Anne von Bibra""]","100","[""CAD Studio 1"", ""CAD Studio 1""]","""Ballroom I (Men)""","106","true","""A""","1","""O""","20171","[""T 1005-1100"", ""Th 0955-1050""]","""Ballroom I""","""Research""","2017"
"112086","0.25","347","[""DANCE""]","[""ALS-A"", ""SPM""]","","","","[""Anne von Bibra""]","100","[""CAD Studio 1"", ""CAD Studio 1""]","""Ballroom I (Women)""","106","true","""B""","1","""C""","20171","[""T 1005-1100"", ""Th 0955-1050""]","""Ballroom I""","""Research""","2017"
"112089","1.0","237","[""CHIN""]","","237","","","[""Ying Zhou""]","100","[""TOH 308""]","""Beginning Chinese I""","111","false","""A""","1","""O""","20171","[""MWF 0905-1000""]","","""Research""","2017"
"112090","1.0","237","[""CHIN""]","","237","","","[""Ying Zhou""]","100","[""TOH 308""]","""Beginning Chinese I""","111","false","""B""","1","""O""","20171","[""MWF 1045-1140""]","","""Research""","2017"
"112091","0.0","238","[""CHIN""]","","237","","","[""Ying Zhou""]","100","[""TBA""]","""Beginning Chinese I Lab""","111","false","""A""","1","""O""","20171","[""T 0935-1100""]","","""Lab""","2017"
"112092","0.0","238","[""CHIN""]","","237","","","[""Ying Zhou""]","100","[""TBA""]","""Beginning Chinese I Lab""","111","false","""B""","1","""O""","20171","[""T 1145-0110PM""]","","""Lab""","2017"
"112093","1.0","476","[""FREN""]","","","","","[""Maria Vendetti""]","100","[""TOH 314""]","""Beginning French I""","111","false","""A""","1","""O""","20171","[""MWF 0905-1000""]","","""Research""","2017"
"112094","1.0","476","[""FREN""]","","","","","[""Maria Vendetti""]","100","[""TOH 314""]","""Beginning French I""","111","false","""B""","1","""O""","20171","[""MWF 1045-1140""]","","""Research""","2017"
"112095","1.0","477","[""FREN""]","","","","","[""Staff""]","100","[""TOH 314""]","""Beginning French II""","112","false","","1","""O""","20171","[""MWF 1150-1245PM""]","","""Research""","2017"
"112096","1.0","504","[""GERM""]","","","","","[""Karen R. Achberger""]","100","[""TOH 312""]","""Beginning German I""","111","false","""A""","1","""O""","20171","[""MWF 0800-0855""]","","""Research""","2017"
"112097","1.0","504","[""GERM""]","","","","","[""Karen R. Achberger""]","100","[""TOH 312""]","""Beginning German I""","111","false","""B""","1","""O""","20171","[""MWF 0905-1000""]","","""Research""","2017"
"112100","1.0","658","[""JAPAN""]","","658","","","[""Joanne Quimby""]","100","[""TOH 310""]","""Beginning Japanese I""","111","false","""A""","1","""O""","20171","[""MWF 1045-1140""]","","""Research""","2017"
"112101","1.0","658","[""JAPAN""]","","658","","","[""Joanne Quimby""]","100","[""TOH 310""]","""Beginning Japanese I""","111","false","""B""","1","""O""","20171","[""MWF 1150-1245PM""]","","""Research""","2017"
"112102","0.0","659","[""JAPAN""]","","658","","","[""Hiroe Akimoto""]","100","[""TOH 316""]","""Beginning Japanese I Lab""","111","false","""A""","1","""O""","20171","[""Th 0150-0245PM""]","","""Lab""","2017"
"112103","0.0","659","[""JAPAN""]","","658","","","[""Hiroe Akimoto""]","100","[""TOH 312""]","""Beginning Japanese I Lab""","111","false","""B""","1","""O""","20171","[""Th 1245-0140PM""]","","""Lab""","2017"
"112107","1.0","921","[""NORW""]","","","","","[""Staff""]","100","[""TOH 110""]","""Beginning Norwegian I""","111","false","""A""","1","""O""","20171","[""MWF 0800-0855""]","","""Research""","2017"
"112108","1.0","921","[""NORW""]","","","","","[""Kari L. Dorer""]","100","[""TOH 110""]","""Beginning Norwegian I""","111","false","""B""","1","""C""","20171","[""MWF 1045-1140""]","","""Research""","2017"
"112110","1.0","921","[""NORW""]","","","","","[""Kari L. Dorer""]","100","[""TOH 308""]","""Beginning Norwegian I""","111","false","""C""","1","""O""","20171","[""MWF 1255-0150PM""]","","""Research""","2017"
"112111","1.0","921","[""NORW""]","","","","","[""Kari L. Dorer""]","100","[""TOH 308""]","""Beginning Norwegian I""","111","false","""D""","1","""O""","20171","[""MWF 0200-0255PM""]","","""Research""","2017"
"112112","1.0","1259","[""RUSSN""]","","1259","","","[""Staff""]","100","[""TOH 212""]","""Beginning Russian I""","111","false","""A""","1","""O""","20171","[""MWF 0800-0855""]","","""Research""","2017"
"112113","1.0","1259","[""RUSSN""]","","1259","","","[""Staff""]","100","[""TOH 212""]","""Beginning Russian I""","111","false","""B""","1","""O""","20171","[""MWF 1150-1245PM""]","","""Research""","2017"
"112114","0.0","1260","[""RUSSN""]","","1259","","","[""Staff""]","100","[""TOH 212""]","""Beginning Russian I Lab""","111","false","""A""","1","""O""","20171","[""T 0800-0855""]","","""Lab""","2017"
"112115","0.0","1260","[""RUSSN""]","","1259","","","[""Staff""]","100","[""TOH 212""]","""Beginning Russian I Lab""","111","false","""B""","1","""O""","20171","[""T 1145-1240PM""]","","""Lab""","2017"
"112116","1.0","1324","[""SPAN""]","","","","","[""Molly Tun""]","100","[""TOH 114""]","""Beginning Spanish I""","111","false","","1","""O""","20171","[""MWF 1045-1140""]","","""Research""","2017"
