"clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year"
"11333","1.0","174","['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor and complete an internship form.","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11334","1.0","175","['BIO']","Independent Research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, students conceive and perform a research project leading to the writng of a major research paper and a poster presentation. Independant research requires permission of a supervisor, a secondary faculty reader of the paper and completion of an independantresearch form.","","","['Anne Walter']","300","","IR/TB Operons","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11335","1.0","189","['CHEM']","This course, a continuation of Chemistry 121, examines atomic and molecular structure, including classical and quantum theories, bonding models, molecular orbitals and coordination chemistry. Chemistry 121 and 123 together are equivalent in content to Chemistry 125 and are designed to prepare students for Chemistry 126. Prerequisite: Chemistry 121. Offered only during Interim.","","","['Dwight R. Stoll']","100","['SC 378']","Atom/Molec Structure","","123","False","Prerequisite: Chemistry 121. Offered only during Interim.","","2","O","20052","['M-F 1040-1240PM']","Atomic and Molecular Structure","Research","2005"
"11336","1.0","190","['CHEM']","Students study the chemistry of the environment, from the fundamental chemical properties of air, water and soil to human impact on natural processes, including damage to and protection of the environment. Laboratory work explores environmental issues such as detecting hazardous and beneficial materials in a variety of samples.","","190","['Paul T. Jackson']","100","['SC 378']","A Matter of Environ","","124","False","False","","2","O","20052","['M-F 0800-1000']","Environmental Chemistry","Research","2005"
"11337","1.0","198","['CHEM']","Students study the structure, bonding and reactions of compounds containing metal-carbon bonds. Special topics include applications of organometallic chemistry to the synthesis of organic compounds, homogeneous catalysis and biochemistry. Examples illustrate organometallic chemistry as a bridge between organic and inorganic chemistry. Prerequisite: Chemistry 247. Offered during Interim.","","","['Gary Miessler']","200","['SC 310']","Organometallic Chem","","252","False","Prerequisite: Chemistry 247. Offered during Interim.","","2","C","20052","['M-F 1040-1240PM']","Organometallic Chemistry","Research","2005"
"11338","1.0","203","['CHEM']","","","","['Robert Hanson']","200","","Med Chem in Jamaica","","260","False","False","","2","C","20052","","","Research","2005"
"11339","1.0","204","['CHEM']","","","","['Wesley Pearson']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11340","1.0","205","['CHEM']","","","","['Douglas J. Beussman']","200","","IS/Pharmacology","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11341","1.0","215","['CHEM']","In the laboratory, students investigate and identify organic compounds, singly and in mixtures. Lectures and discussion sessions investigate various spectroscopic methods and their applications to the elucidation of the structure of organic compounds. Prerequisite: Chemistry 248 and 254. Offered during Interim.","","","['Gregory W. Muth']","300","['SC 310']","Organic Analys/Theory","Lab hours to be arranged.","380","False","Prerequisite: Chemistry 248 and 254. Offered during Interim.","","2","C","20052","['M-F 0800-1000']","Organic Analysis and Theory","Research","2005"
"11342","1.0","222","['CHEM']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11343","1.0","223","['CHEM']","","","","['Jeffrey J. Schwinefus']","300","","IR/RNA Folding","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11345","1.0","232","['CLASS']","This course introduces students to the history and art of ancient Greece, from the Bronze Age through the archaic, classical and Hellenistic periods. Students visit every major region of Greece, with extended stays in Athens, Heraklion and Thessaloniki. When not visiting museums and archaeological sites and learning about ancient Greek civilization, students experience modern Greek culture. GE: HWC, ALS-A. Offered annually in Interim.","","","['Timothy R. Howe']","200","","Class Studies Greece","","251","False","False","","2","C","20052","","Classical Studies in Greece","Research","2005"
"11346","1.0","233","['CLASS']","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11347","1.0","234","['CLASS']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11348","1.0","235","['CLASS']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","","Research","2005"
"11349","1.0","236","['CLASS']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11350","1.0","248","['CHIN']","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11351","1.0","249","['CHIN']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11352","1.0","251","['CHIN']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","","Research","2005"
"11353","1.0","252","['CHIN']","Students who have completed Chinese 371 are encouraged to continue their Chinese language study with faculty through individual and small group tutorials by registering for Chinese 298 or Chinese 398. Through individual tutorials students may pursue readings and projects in their area of interest.","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11354","1.0","258","['ECON']","Consumers, families, and community are intertwining elements of the social economy, each depending on the others for success. This course focuses on the triad, highlighting economic roles and principles. Among the topics of interest are the ""rational consumer,"" saving and investing, momentous decisions, prodigal behavior, consumer protection, group dynamics, nurturing manipulation, collective purchases, budgeting, voting, and social welfare.","","","['Steve Soderlind']","100","['HH 413']","Consum/Familes/Commun","","116","False","False","","2","O","20052","['M-F 1040-1240PM']","Consumers in Families and Communities","Research","2005"
"11355","1.0","261","['ECON']","This international travel course tracks economic development in China with emphasis on Shanghai. The course examines the emergence and evolution of markets in rural, urban, commercial and financial centers and how the changes affect culture, attitudes, customs and life of the people. Shanghai will be compared with other Chinese cities, including Nanjing, Suzhou, Hangzhou and Hong Kong. The role of Hong Kong in China's reform and its integration since 1997 is also discussed.","","","['Xun Pomponio']","200","","Econ Progress China","","218","False","False","","2","C","20052","","Economic Progress in China","Research","2005"
"11356","1.0","262","['ECON']","This course examines Christian ethics along with major frameworks in philosophical ethics (Utilitarianism, Liberalism and Marxism) in addressing economic issues. Some introductory analysis will be presented and utilized. Economics 220 cannot be taken after taking Economics 293. Does not count toward the economics major. Prerequisites: BST-T Course.","","","['Mark Pernecky']","200","['OM 035', 'OM 035']","Economic Justice","","220","False","Prerequisites: BST-T Course.","","2","C","20052","['MWF 0830-1000', 'MWF 1040-1210PM']","","Research","2005"
"11357","1.0","273","['ECON']","This international travel course examines economic change in Britain from the Industrial Revolution to the current European Union membership. The course focuses on the process of change and how economic factors interact with values and culture. Prerequisite: one of Economics 110-122, or consent of instructor. Offered alternate Interims.","","","['Bruce Dalgaard']","200","","Britain in Transition","","253","False","Prerequisite: one of Economics 110-122, or consent of instructor. Offered alternate Interims.","","2","C","20052","","Britain in Transition -- Economic Leader to European Union","Research","2005"
"11358","1.0","276","['ECON']","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11359","1.0","277","['ECON']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11360","1.0","284","['ECON']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11361","1.0","285","['ECON']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11362","1.0","299","['CSCI']","This is an intermediate-level version of Computer Science 394.","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11363","1.0","300","['CSCI']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11364","1.0","304","['CSCI']","","","","['Richard Brown']","300","['SC 186', 'SC 186']","Advanced Team Project","","350","False","False","","2","C","20052","['M-F 0830-1000', 'M-F 0100-0300PM']","","Research","2005"
"11365","1.0","306","['CSCI']","Students gain experience in computer-industry positions. Projects have included implementation of solid modeling (NURBS), documentation, business applications of computing, applications of computer graphics in medical research, team programming. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11366","1.0","307","['CSCI']","Recent projects have involved team software development, graphics user-interface (GUI) programming, real-time computing, logic programming and intelligent tutoring systems, relational data bases, computer networks and operating systems.","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11367","1.0","308","['EDUC']","Through lectures, readings and field placements in Minneapolis, students gain an understanding of how race, class, ethnicity, national origin, gender, sexual orientation and religion shape the character of urban youth and communities. Students spend the first week on campus in preparation for their placements and the last week reflecting upon their experiences. During weeks two and three students live in Minneapolis and tutor in the schools and participate in various after-school activities. Counts toward the major: American Racial and Multicultural Studies.","","","['Daniel R. Forstner']","100","","Schools & Communities","","170","True","False","","2","C","20052","","Urban Schools and Communities","Research","2005"
"11368","1.0","310","['EDUC']","This course provides practical experiences and insights for students desiring to explore career opportunities in the many facets of education. Students, primarily sophomores, live off-campus, participating in different observational and practical experiences in schools of their choice. First-year students with special circumstances should consult Education Department chair. Applications due early in Fall Semester. Offered during Interim.","","","['Elizabeth A. Leer']","200","","Perspectives On Tchg","","260","True","False","","2","C","20052","","Perspectives on Teaching","Research","2005"
"11369","1.0","313","['EDUC']","","","","['Robert W. McClure']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11370","1.0","314","['EDUC']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11371","1.0","338","['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 settings. Through guest lectures, readings, field trips and seminars, students explore the unique geography and culture of the Hawaiian Islands and develop a framework for examining diversity on the mainland. Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. Fulfills Education 382 and partially fulfills clinical practicum requirements. Students apply in the Spring Semester. Counts toward the major: American Racial and Multicultural Studies.","","","['Mark Schelske']","300","","Multi-Cult Ed Hawaii","","378","True","Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. Fulfills Education 382 and partially fulfills clinical practicum requirements. Students apply in the Spring Semester. Counts toward the major: American Racial and Multicultural Studies.","","2","C","20052","","Multicultural Education in Hawaii: Seminar and Practicum","Research","2005"
"11372","1.0","339","['EDUC']","Students working as tutors and teacher aides gain direct teaching experience in urban schools. This course is designed to heighten students' sensitivities to the complexities of the education of urban youth in a multicultural setting. Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. The course fulfills Education 382 and partially fulfills clinical practicum requirements. Counts toward the major: American Racial and Multicultural Studies.","","","['Rosemary A. Pfarr-Baker']","300","","Urban Alternative Ed","","379","True","Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. The course fulfills Education 382 and partially fulfills clinical practicum requirements. Counts toward the major: American Racial and Multicultural Studies.","","2","C","20052","","Urban Education Seminar & Practicum","Research","2005"
"11373","1.0","344","['EDUC']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11374","1.0","345","['EDUC']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11375","1.0","367","['DNCTH']","An introduction to world dance traditions, this course examines dance forms, functions, contexts and differing aesthetics found in selected cultures of Africa, Asia, Europe, the Near and Middle East, the South Pacific and Latin America. The course includes lectures, discussions, video-viewing and required field-trips to dance events, in addition to studio experiences where students learn dances from the cultures studied. No previous dance experience required.","","","['Anne von Bibra']","100","['DC 305', 'DC _STUDIO_1']","World Dance Tradition","","124","False","False","","2","O","20052","['MTThF 1040-1200PM', 'MTThF 0100-0300PM']","World Dance Traditions","Research","2005"
"11376","1.0","368","['DNCTH']","","","","['Anthony Roberts']","100","['DC _STUDIO_1', 'DC 100']","Dancing With Computer","","150","False","False","","2","O","20052","['MTThF 1040-1200PM', 'MTThF 0100-0300PM']","","Research","2005"
"11377","1.0","374","['DNCTH']","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11378","1.0","375","['DNCTH']","","","","['Sheryl Saterstrom']","200","","IS/Roots of Yoga","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11379","1.0","377","['DNCTH']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11380","1.0","378","['DNCTH']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11381","1.0","382","['ENGL']","Students examine various heroic and trickster figures as manifested in post-colonial literature from Africa, Asia and the Caribbean, both oral and written, and seek to understand what basic human needs and realities these figures express and fulfill.","","","['Joseph L. Mbele']","100","['RML 421']","Trickstr/Post-Col Lit","","108","False","False","","2","O","20052","['M-F 0100-0300PM']","The Hero and the Trickster in Post-Colonial Literature","Research","2005"
"11382","1.0","409","['ENGL']","These courses treat specific periods in American literature and examine the relationship between literary texts and movements and their unique cultural, political and historical contexts. Each offering of this course examines a different literary era and emphasizes specific literary and historical issues. Students may register for the course more than once provided a different era is studied. Offerings include:","","","['Colin Wells']","200","['RML 525']","Lit Eras: Am:Beats","","240","False","False","","2","C","20052","['M-F 1040-1240PM']","Literary Eras: American","Research","2005"
"11383","1.0","414","['ENGL']","Students study modern Irish short stories in four distinct Irish settings (ancient city, coastal village, urban capital, lake-country town) where these stories were written. Reading, discussion and cultural experiences (including theater, museums and excursions by van) provide the basis for daily journal entries and several short papers. Offered alternate years during Interim.","","","['Richard DuRocher']","200","","Modern Irish Lit","","252","False","False","","2","C","20052","","Modern Irish Short Stories","Research","2005"
"11385","1.0","433","['ENGL']","","","","['Jan C. Hill']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11386","1.0","434","['ENGL']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11387","1.0","436","['ENGL']","Students explore specific periods in American literature and examine the relationship between literary texts and movements and their particular cultural, political and historical contexts. Each offering of this course examines a different literary era and emphasizes specific literary and historical issues.","","","['Carol Holly']","300","['RML 520']","Adv Lit Era: 19th C Am","","340","False","False","","2","C","20052","['M-F 1040-1240PM']","Advanced Studies in Literary Eras: American","Topic","2005"
"11388","1.0","449","['ENGL']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11389","1.0","451","['ENGL']","","","","['Mary V. Winstead']","300","","IR/Families and Memoir","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11390","1.0","455","['ENVST']","This interdisciplinary seminar uses basic concepts of environmental science to explore global environmental issues. Topics are drawn from recent texts and current periodic literature, and participants will recognize many of the seminar issues from coverage in the media. Because most environmental problems involve issues beyond the science, the seminar examines the economic, political and ethical dimensions of environmental questions and environmental decision-making. Offered every semester.","","","['David R. Narum']","100","['SC 129']","Intro: Env Studies","","137","False","False","","2","O","20052","['M-F 1040-1240PM']","Introduction to Environmental Studies","Research","2005"
"11391","1.0","464","['ENVST']","","","","['Eugene Bakko']","200","","Academic Internship","","294","True","False","","2","O","20052","","Internship","Research","2005"
"11392","1.0","465","['ENVST']","","","","['James Farrell']","200","","IS/Ecological Design","","298","False","False","","2","O","20052","","Independent Study","Research","2005"
"11393","1.0","466","['ENVST']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","Internship","Research","2005"
"11394","1.0","467","['ENVST']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","Independent Research","Research","2005"
"11395","1.0","479","['FREN']","Students expand their ability to communicate in French, understand French texts and interpret French and U.S. cultures through study and discussion of specific social and cultural topics that are relevant (eg. stereotypes, the family, education, immigration). Explicit focus on cross-cultural comparison/contract and analysis. Students develop their ability to listen, speak, read and write, while paying particular attention to listening and reading strategies. Prerequisite: French 112 or placement.","","","['Jolene Barjasteh']","200","['OM 004', 'OM 011']","Intermed French I","","231","False","Prerequisite: French 112 or placement.","","2","O","20052","['M-F 1040-1240PM', 'M-F 0200-0300PM']","Intermediate French I","Research","2005"
"11396","1.0","481","['FREN']","Students travel to the Caribbean island of Martinique to study French language and French-Caribbean culture at the upper-intermediate level. An immersion experience that includes home stays with local families, the course emphasizes the multicultural aspects of this region and facilitates student interaction with the local population. Field trips, events, lectures and language instruction are conducted by experts on the campus of the Universitè des Antilles. Prerequisite: French 231 or higher (or equivalent) or placement in French 232 or higher. Open to first-year students.","","","['Herve Pensec']","200","","Lang/Cul Fr Caribbean","","233","False","Prerequisite: French 231 or higher (or equivalent) or placement in French 232 or higher. Open to first-year students.","","2","C","20052","","Language and Culture Studies in Martinique","Research","2005"
"11397","1.0","482","['FREN']","This course provides an on-campus immersion experience for students interested in improving their oral language proficiency. Students engage in small and large group discussion, give individual and group oral presentations and review grammar and registers of language. They also explore the notions of communicative competence and oral proficiency in order to become more effective speakers. Taught in French. Prerequisite: French 232, 233, or equivalent.","","","['Scott Homler']","200","['OM 026']","Speaking of French","","250","False","Prerequisite: French 232, 233, or equivalent.","","2","C","20052","['M-F 1040-0300PM']","Speaking","Research","2005"
"11398","1.0","489","['FREN']","This course provides advanced language work and on-the-spot investigation of French culture, past and present, including theater, film, visual arts, the French court, the medieval cathedral, etc., through background readings and visits to important monuments. Students read, discuss, see and critique plays ranging from the classical to the contemporary. Prerequisite: One French 250-level course.","","","['M. Clare Mather']","200","","ID French St--Paris","","275","False","Prerequisite: One French 250-level course.","","2","C","20052","","Interdisciplinary French Studies in Paris","Research","2005"
"11399","1.0","490","['FREN']","","","","['Staff']","200","","Academic Internship","","294","True","False","","2","O","20052","","","Research","2005"
"11400","1.0","491","['FREN']","","","","['Staff']","200","","IS/","","298","False","False","","2","O","20052","","","Research","2005"
"11401","1.0","494","['FREN']","","","","['Staff']","300","","Academic Internship","","394","True","False","","2","O","20052","","","Research","2005"
"11402","1.0","496","['FREN']","","","","['Staff']","300","","IR/","","398","False","False","","2","O","20052","","","Research","2005"
"11403","1.0","506","['GERM']","Reading and discussion of works stemming from the oral tradition, including chapbooks such as Till Eulenspiegel and Faust, fables modeled on antiquity during the 18th century, fairy tales collected by the Brothers Grimm during the 19th century and Kunstmarchen (literary fairy tales) by well-known writers of the Romantic and modern periods, from Geothe to Hermann Hesse. Emphasis on literary aspects and historical contexts. Taught in English. GE: HWC, ALS-L. Offered every Interim.","","","['Lavern Rippley']","100","['RML 515']","Folk/Fairy/Fables-Tr","","147","False","False","","2","O","20052","['M-F 0100-0300PM']","Fairy Tales, Folktales and Fables","Research","2005"
