"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"53615","1.0","17675","[""EDUC""]","3","""0/999""","","[""Heather Campbell""]","""0/999""","300","[""TB 216""]","999","""Teaching ESL K-12""","347","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-1200""]","","""Research""","2005"
"53616","1.0","17676","[""EDUC""]","3","""0/999""","","[""Heather Campbell""]","""0/999""","300","[""TB 216""]","999","""Assessment of ESL K-12""","348","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-1200""]","","""Research""","2005"
"53874","1.0","821","[""MUSIC""]","2","""0/999""","","[""Charles Forsberg""]","""0/999""","200","","999","""Counterpoint""","222","false","","4","""0/999""","""0/999""","""C""","20054","","","""Research""","2005"
"53900","1.0","993","[""PHIL""]","1","""0/999""","","[""Charles Taliaferro""]","""0/999""","300","","999","""IR/American Philosophy""","398","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Research""","""Research""","2005"
"53901","1.0","986","[""PHIL""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Study""","""Research""","2005"
"53905","1.0","1058","[""PETH""]","1","""0/999""","","[""Christopher J. Meidt""]","""0/999""","200","","999","""IS/Advanced Coaching FB""","298","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Study""","""Research""","2005"
"53927","1.0","154","[""BIO""]","1","""0/999""","","[""Louis Henry Kermott""]","""0/999""","200","","999","""IS/Human Physiology""","298","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Study""","""Research""","2005"
"54060","1.0","692","[""IS""]","0","""0/999""","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","","4","""0/999""","""0/999""","""O""","20054","","","""Research""","2005"
"54263","1.0","345","[""EDUC""]","1","""0/999""","","[""Daniel R. Forstner""]","""0/999""","300","","999","""IR/Remedial Math Educ""","398","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Research""","""Research""","2005"
"54268","1.0","1152","[""PSCI""]","1","""0/999""","","[""Anthony Lott""]","""0/999""","300","","999","""IR/Power in Hmong Comm""","398","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Research""","""Research""","2005"
"54528","1.0","642","[""HIST""]","1","""0/999""","","[""Robert Entenmann""]","""0/999""","300","","999","""IR/Mao's Revolution""","398","false","","4","""0/999""","""0/999""","""O""","20054","","""Independent Research""","""Research""","2005"

