"clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year"
"49855","1.0","174","['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor and complete an internship form.","","","","","['Eugene Bakko']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49856","1.0","204","['CHEM']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49857","1.0","204","['CHEM']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","A","1","O","20061","","Internship","Research","2006"
"49858","1.0","222","['CHEM']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49859","1.0","233","['CLASS']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49860","1.0","235","['CLASS']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49861","1.0","248","['CHIN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49862","1.0","251","['CHIN']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49863","1.0","276","['ECON']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49864","1.0","276","['ECON']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","A","1","O","20061","","","Research","2006"
"49865","1.0","284","['ECON']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49866","1.0","299","['CSCI']","This is an intermediate-level version of Computer Science 394.","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49867","1.0","306","['CSCI']","Students gain experience in computer-industry positions. Projects have included implementation of solid modeling (NURBS), documentation, business applications of computing, applications of computer graphics in medical research, team programming. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49868","0.5","313","['EDUC']","","","","","","['Heather Campbell']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49869","0.5","344","['EDUC']","","","","","","['Ann A. Leming']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49872","1.0","433","['ENGL']","","","","","","['Jan C. Hill']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49873","1.0","449","['ENGL']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49874","1.0","464","['ENVST']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49875","1.0","466","['ENVST']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49876","1.0","471","['IDFA']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49877","1.0","474","['IDFA']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49878","1.0","490","['FREN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49879","1.0","494","['FREN']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49880","1.0","522","['GERM']","GE: FOL-G.","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49881","1.0","529","['GERM']","GE: FOL-G.","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49882","1.0","543","['GREEK']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49883","1.0","550","['GREEK']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49884","1.0","624","['HIST']","","","","","","['Eric J. Fure-Slocum']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49885","1.0","640","['HIST']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49886","1.0","643","['HSPST']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49887","1.0","646","['HSPST']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49888","1.0","653","['FAMST']","","","","","","['Sharon Powell']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49889","1.0","656","['FAMST']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49890","1.0","668","['JAPAN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49891","1.0","670","['JAPAN']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49892","1.0","686","['IS']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49893","1.0","691","['IS']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49894","1.0","707","['ID']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49895","1.0","709","['ID']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49896","1.0","716","['LATIN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49897","1.0","725","['LATIN']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49898","1.0","751","['MATH']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49899","1.0","766","['MATH']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49900","0.5","784","['MGMT']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49901","1.0","784","['MGMT']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","A","1","O","20061","","Internship","Research","2006"
"49902","1.0","784","['MGMT']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","B","1","O","20061","","Internship","Research","2006"
"49903","0.5","788","['MGMT']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49904","1.0","795","['MEDIA']","","","","","","['William Sonnega']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49905","0.5","795","['MEDIA']","","","","","","['Karen Wilson']","200","","Academic Internship","","294","True","False","A","1","O","20061","","Internship","Research","2006"
"49906","1.0","846","['MUSIC']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49907","1.0","865","['MUSIC']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49908","1.0","931","['NORW']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49909","1.0","936","['NORW']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49910","1.0","942","['NURS']","Does not count toward the major.","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49911","1.0","961","['NURS']","Does not count toward the major.","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49912","1.0","985","['PHIL']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49913","1.0","992","['PHIL']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49914","1.0","1057","['PETH']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49915","1.0","1067","['PETH']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49916","1.0","1090","['PHYS']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49917","1.0","1100","['PHYS']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49918","1.0","1139","['PSCI']","Internships in the major are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs and executive agencies.","","","","","['Donald I. Ostrom']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49919","1.0","1139","['PSCI']","Internships in the major are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs and executive agencies.","","","","","['Daniel Hofrenning']","200","","Academic Internship","","294","True","False","A","1","O","20061","","Internship","Research","2006"
"49920","1.0","1151","['PSCI']","Students with ideas for internships are encouraged to approach instructors within the department in order to arrange supervision for credit. For Level III credit students must have successfully completed a Level II internship in the same area.","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49921","1.0","1178","['PSYCH']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49922","1.0","1178","['PSYCH']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","A","1","O","20061","","","Research","2006"
"49923","1.0","1188","['PSYCH']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49924","1.0","1236","['REL']","","","","","","['Amy R. Gohdes-Luhman']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49925","1.0","1253","['REL']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49926","1.0","1275","['RUSSN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49927","1.0","1279","['RUSSN']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49928","1.0","1315","['SOAN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49929","1.0","1319","['SOAN']","","","","","","['Charles Huff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49930","1.0","1341","['SPAN']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49931","1.0","1354","['SPAN']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49932","1.0","1366","['SWRK']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49933","1.0","1372","['SWRK']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49934","1.0","1394","['THEAT']","Prerequisite: At least three previous courses in department.","","","","","['Staff']","200","","Academic Internship","","294","True","Prerequisite: At least three previous courses in department.","","1","O","20061","","Internships","Research","2006"
"49935","1.0","1394","['THEAT']","Prerequisite: At least three previous courses in department.","","","","","['Staff']","200","","Academic Internship","","294","True","Prerequisite: At least three previous courses in department.","A","1","O","20061","","Internships","Research","2006"
"49936","1.0","1400","['THEAT']","Prerequisite: at least five previous courses in department.","","","","","['Staff']","300","","Academic Internship","","394","True","Prerequisite: at least five previous courses in department.","","1","O","20061","","Internship","Research","2006"
"49937","1.0","1409","['STAT']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internship","Research","2006"
"49938","1.0","1413","['STAT']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internship","Research","2006"
"49939","1.0","1477","['WMNST']","","","","","","['Judy Kutulas']","200","","Academic Internship","","294","True","False","","1","O","20061","","Internships","Research","2006"
"49940","1.0","1477","['WMNST']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","A","1","O","20061","","Internships","Research","2006"
"49941","1.0","1479","['WMNST']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","Internships","Research","2006"
"49942","1.0","1486","['ARMS']","","","","","","['Staff']","200","","Academic Internship","","294","True","False","","1","O","20061","","","Research","2006"
"49943","1.0","1488","['ARMS']","","","","","","['Staff']","300","","Academic Internship","","394","True","False","","1","O","20061","","","Research","2006"
"49964","1.0","1376","['THEAT']","This studio course is designed as an overview of the acting process for the non-major: basic acting theories, rehearsal techniques, improvisation, history and styles. Students explore and practice exercises, scene work and audition material. The course requires trips to professional theaters in the Twin Cities. A ticket fee is required. No prerequisites. This course does not fulfill the acting requirement for the major. Offered annually.","","","","","['Jeanne I. Willcoxon']","100","['TB Haugen']","Acting for Non-Majors","","115","False","False","","1","C","20061","['MWF 0200-0255PM']","Acting for the Non-Major","Research","2006"
"49965","1.0","947","['NURS']","This course focuses on principles of pharmacology and care of the hospitalized adult. Topics include pain management, sleep and rest, and sensory perceptual alterations. Students will apply the nursing process to the care of adults, with emphasis on the elderly. Using a holistic perspective, students will collect and analyze information related to an individual's health status. Students will begin to develop the professional role of caregiver and patient advocate. Taken concurrently with Nursing 302, 304, and 306.","","","","","['Carol H. Austin', 'Diana Neal', 'Judith Sateren']","300","['HH 215', 'HH 215', 'HH 215', 'HH 215']","Adult Health I","","308","False","False","","1","C","20061","['T-F 0700-1230PM', 'F 0800-0855', 'F 0905-1000', 'F 1045-1140']","","Research","2006"
"49966","1.0","839","['MUSIC']","Music 267 is a studio course focusing on advanced techniques of acting and singing for the musical stage with emphasis on opera. Students explore voice, movement, improvisation and characterization at an advanced level. They receive coaching in musical and dramatic style through solo and small ensemble literature and prepare scenes for class performance. May be repeated once. Prerequisites: Two semester of voice study and Theatre 131 (Acting for the Lyric Stage) or permission of instructor.","","","","","['Janis Hardy']","200","['CHM_URNESS', 'CHM_URNESS']","Adv Act Lyric Stage","","267","False","Prerequisites: Two semester of voice study and Theatre 131 (Acting for the Lyric Stage) or permission of instructor.","","1","O","20061","['T 0120-0245PM', 'Th 0215-0335PM']","Advanced Acting For The Lyric Stage","Research","2006"
"49967","1.0","441","['ENGL']","Students who have already completed a unit in creative writing or produced manuscripts in some other context have the opportunity to deepen and polish their work and to develop and complete individual projects in fiction and poetry. Class sessions are devoted to the discussion of the craft, the examination of literary models and workshopping of student writing. Emphasis for each section is announced the previous spring. Prerequisite: English 251, 255, 257 or writing equivalent.","","","","","['Jenny Dunning']","300","['RML 520', 'RML 520']","Adv Fict Wrtg Wkshp","Portfolio admission required for this course. Deadline Wednesday, March 22.","372","False","Prerequisite: English 251, 255, 257 or writing equivalent.","","1","C","20061","['T 0935-1100', 'Th 0930-1050']","Creative Writing II: Poetry and Fiction","Research","2006"
"49968","1.0","442","['ENGL']","Students explore advanced strategies in writing essays. Three areas of emphasis are explored through the semester: the personal essay, lyrical prose and creative journalism. Many class sessions take the form of workshops in which students critique their peers' work. Prerequisite: English 251, 255, 257 or writing equivalent.","","","","","['James Heynen']","300","['RML 420', 'RML 420']","Adv Nonfict Wrtg Wksh","Portfolio admission required for this course. Deadline Wednesday, March 22.","373","False","Prerequisite: English 251, 255, 257 or writing equivalent.","","1","C","20061","['T 0120-0245PM', 'Th 0215-0335PM']","Advanced Creative Nonfiction","Research","2006"
"49969","0.25","1096","['PHYS']","Experiments are selected from the areas of physics covered by Physics 374, 375 and 376 respectively. Emphasis is on the development of good laboratory techniques and the ability to work independently. Each 0.25-course registration will average one afternoon of work each week.","","","","","['Jason J. Engbrecht']","300","['SC 151']","Adv Physics Lab (374)","","384","False","False","A","1","C","20061","['M 0200-0500PM']","384, 385, 386 Advanced Physics Laboratory","Lab","2006"
"49970","0.25","1096","['PHYS']","Experiments are selected from the areas of physics covered by Physics 374, 375 and 376 respectively. Emphasis is on the development of good laboratory techniques and the ability to work independently. Each 0.25-course registration will average one afternoon of work each week.","","","","","['Jason J. Engbrecht']","300","['SC 151']","Adv Physics Lab (374)","","384","False","False","B","1","C","20061","['T 0220-0520PM']","384, 385, 386 Advanced Physics Laboratory","Lab","2006"
"49971","0.25","1098","['PHYS']","Experiments are selected from the areas of physics covered by Physics 374, 375 and 376 respectively. Emphasis is on the development of good laboratory techniques and the ability to work independently. Each 0.25-course registration will average one afternoon of work each week.","","","","","['David Nitz']","300","['SC 151']","Adv Physics Lab (376)","","386","False","False","A","1","O","20061","['Th 0215-0515PM']","384, 385, 386 Advanced Physics Laboratory","Lab","2006"
"49972","0.25","1098","['PHYS']","Experiments are selected from the areas of physics covered by Physics 374, 375 and 376 respectively. Emphasis is on the development of good laboratory techniques and the ability to work independently. Each 0.25-course registration will average one afternoon of work each week.","","","","","['David Nitz']","300","['SC 151']","Adv Physics Lab (376)","","386","False","False","B","1","C","20061","['F 0200-0500PM']","384, 385, 386 Advanced Physics Laboratory","Lab","2006"
"49974","1.0","245","['CHIN']","This course provides continued practice in speaking, reading and writing at the third-year level. Our text introduces students to Chinese geography and history and modern written style. Conducted entirely in Chinese. These courses are recommended for students seeking a concentration in Chinese language. Prerequisite: Chinese 232 or equivalent.","","","","","['Pin Pin Wan']","200","['OM 036']","Advanced Chinese I","","251","False","Prerequisite: Chinese 232 or equivalent.","","1","O","20061","['MWF 0200-0255PM']","","Research","2006"
"49975","0.5","858","['MUSIC']","Students study advanced baton techniques, including meter changes, asymmetrical meters, advanced fermata situations, pattern variety, melds and 20th-century demands (including the contemporary score and aleatoric music), Students also study the art of programming, score preparation, score reading, score interpretation, memorization, handling different stylistic traditions and conducting recitative. Students practice conducting an ensemble and observe rehearsals on and off campus. Prerequisite: Music 252 or 253 and permission of instructor. Offered Fall Semester.","","","","","['Steven Amundson']","300","['CHM 140', 'CHM 140']","Advanced Conducting","","354","False","Prerequisite: Music 252 or 253 and permission of instructor. Offered Fall Semester.","A","1","O","20061","['T 0935-1100', 'Th 0930-1050']","","Research","2006"
"49976","0.5","858","['MUSIC']","Students study advanced baton techniques, including meter changes, asymmetrical meters, advanced fermata situations, pattern variety, melds and 20th-century demands (including the contemporary score and aleatoric music), Students also study the art of programming, score preparation, score reading, score interpretation, memorization, handling different stylistic traditions and conducting recitative. Students practice conducting an ensemble and observe rehearsals on and off campus. Prerequisite: Music 252 or 253 and permission of instructor. Offered Fall Semester.","","","","","['Anton Armstrong']","300","['CHM 233', 'CHM 233']","Advanced Conducting","","354","False","Prerequisite: Music 252 or 253 and permission of instructor. Offered Fall Semester.","B","1","O","20061","['T 0935-1100', 'Th 0930-1050']","","Research","2006"
"49977","1.0","930","['NORW']","Students gain insight into Norwegian identity and culture, expand vocabulary and improve fluency and grammatical accuracy by reading a variety of texts and writing essays. Speaking assignments help students understand readings and become more effective speakers. Prerequisite: Norwegian 232, or equivalent.","","","","","[""Margaret H. O'Leary""]","200","['OM 004', 'OM 004']","Advanced Conv & Comp","","253","False","Prerequisite: Norwegian 232, or equivalent.","","1","O","20061","['T 0935-1100', 'Th 0930-1050']","Advanced Conversation and Composition","Research","2006"
"49978","1.0","666","['JAPAN']","This course, which is comprised of speaking, reading and writing Japanese at the third-year level, are recommended for students seeking a concentration in Japanese language. Prerequisite: Japanese 232 or equivalent.","","","","","['Phyllis Hyland Larson']","200","['OM 003']","Advanced Japanese I","","251","False","Prerequisite: Japanese 232 or equivalent.","","1","O","20061","['MWF 0200-0255PM']","Advanced Japenese I","Research","2006"
"49979","0.25","211","['CHEM']","Students work on special projects during one afternoon of laboratory per week. Each student must have the sponsorship of a staff member. P/N only. Offered both semesters.","","","","","['Mary Walczak']","300","","Advanced Lab","","375","True","False","","1","C","20061","","Advanced Laboratory","Lab","2006"
"49981","0.25","1011","['PEAC']","Students learn and apply the basic principles of fitness through a variety of aerobic activities.","","","","","['Robert K. McCarthy']","100","['Tostrud Ctr']","Aerobics","","131","False","False","","1","C","20061","['MW 0800-0855']","","Research","2006"
"49982","1.0","294","['CSCI']","This course surveys standard data structures and algorithms with emphasis on implementation experience and complexity analysis. Topics include algorithmic strategies, fundamental computer algorithms, stacks, queues, lists, trees, hash tables, specialized trees (e.g., binary, AVL, B-trees), heaps and priority queues, compression, and decompression. Prerequisites: Computer Science 231 and either Computer Science 125 or 251, or consent of the instructor.","","","","","['Olaf A. Hall-Holt']","200","['SC 186', 'SC 186']","Algorithms/Data Struc","","253","False","Prerequisites: Computer Science 231 and either Computer Science 125 or 251, or consent of the instructor.","","1","O","20061","['T 1145-0110PM', 'Th 1245-0205PM']","Algorithms and Data Structures","Research","2006"
"49983","1.0","577","['HIST']","This course examines the development of American culture and society from the Columbian encounter through the Civil War. Topics include the interaction of Europeans, Africans, and indigenous peoples in early America; the social development of the British colonies; the evolution of American slavery; the Revolution and the Constitution; industrialization, expansion, and reform in the 19th century; and the Civil War. Offered most years.","","","","","['Andrea Robertson']","100","['Mod 3']","America to 1865","","198","False","False","A","1","C","20061","['MWF 0905-1000']","American History to 1865","Research","2006"
"49984","1.0","577","['HIST']","This course examines the development of American culture and society from the Columbian encounter through the Civil War. Topics include the interaction of Europeans, Africans, and indigenous peoples in early America; the social development of the British colonies; the evolution of American slavery; the Revolution and the Constitution; industrialization, expansion, and reform in the 19th century; and the Civil War. Offered most years.","","","","","['Andrea Robertson']","100","['Mod 3']","America to 1865","","198","False","False","B","1","C","20061","['MWF 1045-1140']","American History to 1865","Research","2006"
"49985","1.0","1103","['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants.","","","","","['Donald I. Ostrom']","100","['OM 031', 'OM 031']","American Politics","","111","False","False","A","1","C","20061","['T 0935-1100', 'Th 0930-1050']","","Research","2006"
"49986","1.0","1103","['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants.","","","","","['Donald I. Ostrom']","100","['SC 130', 'SC 130']","American Politics","","111","False","False","B","1","C","20061","['T 0120-0245PM', 'Th 0215-0335PM']","","Research","2006"
"49988","1.0","201","['CHEM']","Students not only investigate the theory of modern analytical chemistry, but also examine the statistical treatment of errors, equilibrium, activities, acid/base chemistry, spectroscopy, electrochemistry and separations. The accompanying lab course, Chemistry 256, illustrates the topics discussed in Chemistry 255. Students taking this course use computers for solving problems. Prerequisite: Chemistry 126. Concurrent registration in Chemistry 256 is required. Offered both semesters.","","201","","","['Mary Walczak']","200","['SC 282', 'SC 282']","Analytical Chem","","255","False","Prerequisite: Chemistry 126. Concurrent registration in Chemistry 256 is required. Offered both semesters.","","1","C","20061","['T 0935-1100', 'Th 0930-1050']","Analytical Chemistry","Research","2006"
"49989","1.0","1076","['PHYS']","This three-semester calculus-based sequence leads the student through the quarter millennium of the basic principles that account for the processes involved in baseballs, car engines, electrical power distribution systems, stereos and black holes. It is the starting point for a major in physics and is also appropriate for majors in fields such as chemistry or mathematics who desire more mathematical depth than would be used in the two-semester 124-125 sequence.","","1076","","","['Amy Kolan']","100","['SC 170', 'SC 170', 'SC 170']","Analytical I","Students in Physics 126 must also register for one lab Physics 126AL or BL.","126","False","False","","1","C","20061","['MWF 1045-1140', 'T 1005-1100', 'Th 0955-1050']","Analytical Physics I","Research","2006"
"49990","0.0","1077","['PHYS']","","","1076","","","['Amy Kolan']","100","['SC 159']","Analytical I/Lab","","126","False","False","A","1","C","20061","['M 1255-0325PM']","","Lab","2006"
"49991","0.0","1077","['PHYS']","","","1076","","","['Amy Kolan']","100","['SC 159']","Analytical I/Lab","","126","False","False","B","1","C","20061","['T 0120-0350PM']","","Lab","2006"
"49992","1.0","1080","['PHYS']","This three-semester calculus-based sequence leads the student through the quarter millennium of the basic principles that account for the processes involved in baseballs, car engines, electrical power distribution systems, stereos and black holes. It is the starting point for a major in physics and is also appropriate for majors in fields such as chemistry or mathematics who desire more mathematical depth than would be used in the two-semester 124-125 sequence.","","1080","","","['Brian Borovsky']","200","['SC 129']","Analytical III","Students in Physics 228 must also register for one lab Physics 228AL or BL.","228","False","False","","1","O","20061","['MWF 0905-1000']","Analytical Physics III","Research","2006"
"49993","0.25","202","['CHEM']","This lab course exposes students to the practice of modern analytical chemistry. Although experiments change from year to year, students have hands-on experience using spectrophotometers, pH meters, liquid chromatographs and computer interfacing. Experiments typically utilize products and/or materials that are environmentally or industrially important. Prerequisite: concurrent registration in Chemistry 255. P/N only. Offered both semesters.","","201","","","['Mary Walczak']","200","['SC 321']","Analytical Lab","","256","True","Prerequisite: concurrent registration in Chemistry 255. P/N only. Offered both semesters.","A","1","C","20061","['T 0120-0520PM']","Analytical Laboratory","Lab","2006"
