"clbid","credits","crsid","departments","gereqs","groupid","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"113200","1.0","751","[""MATH""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113201","1.0","784","[""MGMT""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113202","1.0","788","[""MGMT""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113203","1.0","795","[""MEDIA""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113204","1.0","797","[""MEDIA""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113205","1.0","846","[""MUSIC""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113206","1.0","865","[""MUSIC""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113207","1.0","917","[""NEURO""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113208","1.0","919","[""NEURO""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113209","1.0","931","[""NORW""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113210","1.0","936","[""NORW""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113211","1.0","942","[""NURS""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113212","1.0","961","[""NURS""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113213","1.0","985","[""PHIL""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113214","1.0","992","[""PHIL""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113215","1.0","1057","[""ESTH""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113216","1.0","1067","[""ESTH""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113217","1.0","1090","[""PHYS""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113218","1.0","1100","[""PHYS""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113219","1.0","1139","[""PSCI""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113220","1.0","1151","[""PSCI""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113221","1.0","1178","[""PSYCH""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113222","1.0","1188","[""PSYCH""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113223","1.0","1236","[""REL""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113224","1.0","1253","[""REL""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113225","1.0","1275","[""RUSSN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113226","1.0","1279","[""RUSSN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113227","1.0","1315","[""SOAN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113228","1.0","1319","[""SOAN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113229","1.0","1341","[""SPAN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113230","1.0","1354","[""SPAN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113231","1.0","1366","[""SWRK""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113232","1.0","1372","[""SWRK""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113233","1.0","1394","[""THEAT""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","""Academic Internships""","""Research""","2017"
"113234","1.0","1400","[""THEAT""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113235","1.0","1409","[""STAT""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113236","1.0","1413","[""STAT""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113237","1.0","14","[""AMST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113238","1.0","766","[""MATH""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113239","1.0","18612","[""AFAM""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113240","1.0","18614","[""AFAM""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113241","1.0","18616","[""BMOLS""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113242","1.0","18618","[""BMOLS""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113243","1.0","670","[""JAPAN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113244","1.0","668","[""JAPAN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113245","1.0","18620","[""MEDVL""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113246","1.0","18622","[""MEDVL""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113247","1.0","1282","[""RUSST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113248","1.0","1284","[""RUSST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113249","1.0","26170","[""WMGST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113250","1.0","26172","[""WMGST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113251","1.0","27329","[""RACE""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113252","1.0","27331","[""RACE""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113253","1.0","27398","[""LAMST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113254","1.0","27400","[""LAMST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113258","1.0","171","[""BIO""]","[""IST"", ""SED""]","171","[""Norman Lee""]","300","[""RNS 124"", ""RNS 124""]","""Animal Behavior""","386","false","","2","""O""","20172","[""M-Th 0900-1000"", ""M-Th 1040-1200PM""]","","""Research""","2017"
"113259","0.0","17303","[""BIO""]","","171","[""Norman Lee""]","300","[""RNS 123""]","""Animal Behavior Lab""","386","false","","2","""O""","20172","[""M-Th 0100-0300PM""]","","""Lab""","2017"
"113261","1.0","52","[""ART""]","[""ALS-A"", ""HWC""]","","[""Christopher Tradowsky""]","200","[""CAD 305""]","""Art Since 1945""","253","false","","2","""O""","20172","[""M-F 0100-0300PM""]","","""Research""","2017"
"113264","1.0","18780","[""ASIAN""]","","","[""Rika Ito"", ""Joanne Quimby""]","200","","""AsianCon2: Encounter Asia""","215","false","","2","""O""","20172","","""Asian Conversations II: Encountering Asia""","""Research""","2017"
"113266","1.0","189","[""CHEM""]","","","[""Mary Walczak""]","100","[""RNS 390""]","""Atom/Molec Structure""","123","false","""A""","2","""O""","20172","[""M-F 0800-1000""]","""Atomic and Molecular Structure""","""Research""","2017"
"113267","1.0","189","[""CHEM""]","","","[""Jeffrey J. Schwinefus""]","100","[""RNS 390""]","""Atom/Molec Structure""","123","false","""B""","2","""O""","20172","[""M-F 1040-1240PM""]","""Atomic and Molecular Structure""","""Research""","2017"
"113268","1.0","189","[""CHEM""]","","","[""Beth Abdella""]","100","[""RNS 390""]","""Atom/Molec Structure""","123","false","""C""","2","""O""","20172","[""M-F 0100-0300PM""]","""Atomic and Molecular Structure""","""Research""","2017"
"113272","1.0","1324","[""SPAN""]","","","[""Staff""]","100","[""TOH 308"", ""TOH 308""]","""Beginning Spanish I""","111","false","","2","""O""","20172","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","","""Research""","2017"
"113294","1.0","256","[""ECON""]","[""HBS"", ""HWC""]","","[""Bruce Wambheim""]","100","[""RNS 310""]","""Capitalism""","113","false","","2","""O""","20172","[""M-F 0100-0300PM""]","""Gateways to Economics: Capitalism""","""Research""","2017"
"113308","1.0","736","[""MATH""]","[""AQR""]","","[""Staff""]","200","[""RNS 204"", ""RNS 204""]","""Elem Linear Algebra""","220","false","","2","""O""","20172","[""M-F 1040-1240PM"", ""M-F 0100-0300PM""]","""Elementary Linear Algebra""","""Research""","2017"
"113309","1.0","26656","[""PHYS""]","[""ORC""]","","[""Jason J. Engbrecht""]","300","[""RNS 297"", ""RNS 297"", ""RNS 297""]","""Engineering Design Pract""","360","false","","2","""C""","20172","[""M-F 0800-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0500PM""]","""Engineering Design Practicum""","""Research""","2017"
"113315","1.0","21394","[""FREN""]","[""FOL-F"", ""MCG""]","","[""Maria Vendetti""]","200","","""Fr Lang/Moroccan Culture""","235","false","","2","""O""","20172","","""French Language and Moroccan Culture in Fes""","""Research""","2017"
"113322","1.0","728","[""MATH""]","[""AQR""]","","[""Staff""]","100","[""TOH 184"", ""TOH 184""]","""Gateways/Mathematics""","117","false","","2","""O""","20172","[""M-F 1040-1240PM"", ""M-F 0100-0300PM""]","""Gateways to Mathematics""","""Research""","2017"
"113323","1.0","758","[""MATH""]","","","[""Staff""]","300","[""RNS 206"", ""RNS 206""]","""Geometry""","356","false","","2","""O""","20172","[""M-F 1040-1240PM"", ""M-F 0100-0300PM""]","","""Research""","2017"
"113336","1.0","26657","[""SWRK""]","[""ORC""]","","[""Susan E. Smalling""]","100","[""TOH 210"", ""TOH 210""]","""Global Challenges""","122","false","","2","""O""","20172","[""M-Th 1040-1240PM"", ""TW 0800-1000""]","","""Research""","2017"
"113344","1.0","489","[""FREN""]","[""ORC"", ""WRI""]","","[""Mary Cisar""]","200","","""ID French Studies - Paris""","275","false","","2","""O""","20172","","""Interdisciplinary French Studies in Paris""","""Research""","2017"
"113347","0.0","18804","[""CHEM"", ""BIO""]","","18803","[""Rodrigo Sanchez-Gonzalez""]","100","[""RNS 355""]","""Integrate Chem/Bio II Lab""","126","false","""A""","2","""O""","20172","[""M-Th 1230-0300PM""]","","""Lab""","2017"
"113348","0.0","18804","[""CHEM"", ""BIO""]","","18803","[""William C. Solomon""]","100","[""RNS 454""]","""Integrate Chem/Bio II Lab""","126","false","""B""","2","""O""","20172","[""M-Th 1230-0300PM""]","","""Lab""","2017"
"113349","1.0","18803","[""CHEM"", ""BIO""]","","18803","[""Rodrigo Sanchez-Gonzalez"", ""William C. Solomon""]","100","[""RNS 310"", ""RNS 310""]","""Integrated Chem/Bio II""","126","false","","2","""O""","20172","[""M-F 0800-1000"", ""M-F 1045-1145""]","""Integrated Chem/Bio II: Thermodynamics and Kinetics with Bio Relevance""","""Research""","2017"
"113350","1.0","1329","[""SPAN""]","[""FOL-S"", ""MCG""]","","[""Kristina Medina-Vilarino""]","200","","""Intermed Span II-Costa Rica""","234","false","","2","""O""","20172","","""Intermediate Spanish II in Costa Rica""","""Research""","2017"
"113351","1.0","1328","[""SPAN""]","[""FOL-S"", ""MCG""]","","[""Kris A. Cropsey""]","200","","""Intermed Span II-Ecuador""","233","false","","2","""O""","20172","","""Intermediate Spanish II in Ecuador""","""Research""","2017"
"113352","1.0","16991","[""INTD""]","","","[""Staff""]","200","","""Interim Exchange""","200","false","","2","""O""","20172","","","""Research""","2017"
"113353","1.0","1326","[""SPAN""]","","","[""Ariel Strichartz""]","200","[""TBA"", ""CAD 202""]","""Intermed Spanish I""","231","false","","2","""O""","20172","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Intermediate Spanish I""","""Research""","2017"
"113354","1.0","1327","[""SPAN""]","[""FOL-S"", ""MCD""]","","[""Leon Narvaez""]","200","[""TOH 175"", ""TOH 175""]","""Intermed Spanish II""","232","false","","2","""O""","20172","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Intermediate Spanish II""","""Research""","2017"
"113355","1.0","28767","[""ESTH""]","","","[""Cynthia Book""]","200","","""Internship and Reflection Seminar""","295","false","","2","""O""","20172","","","""Research""","2017"
"113358","1.0","1294","[""SOAN""]","[""HBS"", ""MCG""]","","[""Christopher L. Chiappari""]","100","[""TB 227""]","""Intro to Cultural Anthropology""","128","false","","2","""O""","20172","[""M-F 1040-1240PM""]","""Introduction to Cultural Anthropology""","""Research""","2017"
"113359","1.0","384","[""ENGL""]","[""ALS-L"", ""ORC""]","","[""Juliet Patterson""]","100","[""RML 421""]","""Intro to Poetry""","123","false","","2","""O""","20172","[""M-F 1040-1240PM""]","""Introduction to Poetry""","""Research""","2017"
"113362","1.0","455","[""ENVST""]","[""IST""]","","[""Staff""]","100","[""RNS 190""]","""Intro: Env Studies""","137","false","","2","""O""","20172","[""M-F 0100-0300PM""]","""Introduction to Environmental Studies""","""Research""","2017"
"113363","1.0","97","[""ASIAN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113364","1.0","252","[""CHIN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113365","1.0","285","[""ECON""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113366","1.0","307","[""CSCI""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113367","1.0","378","[""DANCE""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113368","1.0","496","[""FREN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113369","1.0","551","[""GREEK""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113370","1.0","657","[""FAMST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113371","1.0","710","[""ID""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113372","1.0","726","[""LATIN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113373","1.0","789","[""MGMT""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113374","1.0","798","[""MEDIA""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113375","1.0","937","[""NORW""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113376","1.0","963","[""NURS""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113377","1.0","1068","[""ESTH""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113378","1.0","1152","[""PSCI""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113379","1.0","1190","[""PSYCH""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113380","1.0","1355","[""SPAN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113381","1.0","1373","[""SWRK""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113382","1.0","1414","[""STAT""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113383","1.0","15","[""AMST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113384","1.0","18615","[""AFAM""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113385","1.0","18619","[""BMOLS""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113386","1.0","671","[""JAPAN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113387","1.0","791","[""MEDVL""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","","""Research""","2017"
"113388","1.0","1285","[""RUSST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","","""Research""","2017"
"113389","1.0","451","[""ENGL""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113390","1.0","345","[""EDUC""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113391","1.0","642","[""HIST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113392","1.0","236","[""CLASS""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113393","1.0","530","[""GERM""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113394","1.0","692","[""IS""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113395","1.0","866","[""MUSIC""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113396","1.0","1101","[""PHYS""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113397","1.0","223","[""CHEM""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113398","1.0","1280","[""RUSSN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113399","1.0","920","[""NEURO""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113400","1.0","75","[""ART""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113401","1.0","767","[""MATH""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113402","1.0","1401","[""THEAT""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113403","1.0","1257","[""REL""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113404","1.0","175","[""BIO""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113405","1.0","1320","[""SOAN""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113406","1.0","467","[""ENVST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113407","1.0","26174","[""WMGST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113408","1.0","27333","[""RACE""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113409","1.0","27402","[""LAMST""]","","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113410","1.0","993","[""PHIL""]","[""WRI""]","","[""Staff""]","300","","""IR/""","398","false","","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113413","1.0","963","[""NURS""]","","","[""Staff""]","300","","""IR/""","398","false","""A""","2","""O""","20172","","""Independent Research""","""Research""","2017"
"113422","1.0","205","[""CHEM""]","","","[""Staff""]","200","","""IS/""","298","false","","2","""O""","20172","","""Independent Study""","""Research""","2017"
"113423","1.0","234","[""CLASS""]","","","[""Staff""]","200","","""IS/""","298","false","","2","""O""","20172","","""Independent Study""","""Research""","2017"
"113424","1.0","249","[""CHIN""]","","","[""Staff""]","200","","""IS/""","298","false","","2","""O""","20172","","""Independent Study""","""Research""","2017"
"113425","1.0","277","[""ECON""]","","","[""Staff""]","200","","""IS/""","298","false","","2","""O""","20172","","""Independent Study""","""Research""","2017"
"113426","1.0","300","[""CSCI""]","","","[""Staff""]","200","","""IS/""","298","false","","2","""O""","20172","","""Independent Study""","""Research""","2017"
"113427","1.0","375","[""DANCE""]","","","[""Staff""]","200","","""IS/""","298","false","","2","""O""","20172","","""Independent Study""","""Research""","2017"
