"clbid","credits","crsid","departments","enrolled","firsties","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"10234","0.5","25","[""ART""]","15","""0/2""","","","","[""Patrick T. Kelley""]","""0/1""","100","[""DC 100"", ""DC 100""]","15","""Found Digital Media""","117","false","""B""","1","""0/0""","""0/2""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Foundation Digital Media""","""Research""","2005"
"10235","0.5","26","[""ART""]","16","""0/4""","","","","[""Ron Gallas""]","""0/1""","100","[""DC 115E"", ""DC 115E""]","18","""Found Ceramics: Wheel""","119","false","","1","""0/0""","""0/1""","""O""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Foundation Ceramics -- Wheel Throwing""","""Research""","2005"
"10236","1.0","27","[""ART""]","14","""0/999""","","","","[""Jil Evans""]","""0/999""","100","[""DC 216"", ""DC 216""]","20","""Honors Found Drawing""","120","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Honors Foundation Drawing""","""Research""","2005"
"10237","1.0","31","[""ART""]","55","""0/15""","","","","[""Nancy M. Thompson"", ""Karil J. Kucera""]","""0/9""","100","[""DC 305""]","50","""Intro/Art History I""","150","false","","1","""0/8""","""0/9""","""O""","20051","[""MWF 1045-1140""]","""Ancient through Medieval Art""","""Research""","2005"
"10238","1.0","33","[""ART""]","24","""0/999""","","","","[""Wendell Arneson""]","""0/999""","200","[""DC 214""]","22","""Oil/Acrylic Painting""","221","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 1255-0255PM""]","","""Research""","2005"
"10239","1.0","35","[""ART""]","11","""0/999""","","","","[""Irve Dell""]","""0/999""","200","[""DC 105"", ""DC 105""]","15","""Sculpt: Metal Casting""","223","false","","1","""0/999""","""0/999""","""O""","20051","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Sculpture/Metal Casting""","""Research""","2005"
"10240","1.0","37","[""ART""]","10","""0/999""","","","","[""Steven Edwins""]","""0/999""","200","[""DC 116""]","16","""Arch Drawing/Design I""","225","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 1255-0255PM""]","""Architectural Drawing and Design I""","""Research""","2005"
"10241","1.0","39","[""ART""]","12","""0/999""","","","","[""John Saurer""]","""0/999""","200","[""DC 212""]","16","""Printmkg: Intaglio/Mono""","227","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 1045-1245PM""]","""Printmaking: Intaglio and Monoprints""","""Research""","2005"
"10242","1.0","43","[""ART""]","14","""0/999""","","","","[""John Saurer""]","""0/999""","200","[""DC 216""]","20","""Figure Drawing""","232","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0800-1000""]","","""Research""","2005"
"10243","1.0","46","[""ART""]","13","""0/999""","","","","[""Margaret Ojala""]","""0/999""","200","[""DC 102"", ""DC 102""]","14","""Intermed Photography""","238","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0245PM"", ""Th 1245-0345PM""]","""Intermediate Photography""","""Research""","2005"
"10244","1.0","47","[""ART""]","10","""0/999""","","","","[""David E. Ryan""]","""0/999""","200","[""DC 101"", ""DC 101""]","15","""Video Art Production""","239","false","","1","""0/999""","""0/999""","""O""","20051","[""T 1145-0245PM"", ""Th 1245-0345PM""]","","""Research""","2005"
"10245","1.0","50","[""ART""]","23","""0/999""","","","","[""Heather M. Brooks-Shirey""]","""0/999""","200","[""DC 305"", ""DC 305""]","30","""Art 1776-1880""","251","false","","1","""0/999""","""0/999""","""O""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Art 1776-1880, Origins of Modernism""","""Research""","2005"
"10246","1.0","51","[""ART""]","30","""0/999""","","","","[""Matthew Rohn""]","""0/999""","200","[""DC 305""]","30","""Art 1880-1950""","252","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0905-1000""]","","""Research""","2005"
"10247","1.0","57","[""ART""]","28","""0/999""","","","","[""Karil J. Kucera""]","""0/999""","200","[""DC 305""]","30","""Arts of China""","259","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 1150-1245PM""]","""The Arts of China""","""Research""","2005"
"10248","1.0","60","[""ART""]","28","""0/999""","","","","[""Nancy M. Thompson""]","""0/999""","200","[""DC 305"", ""DC 305""]","30","""Medieval Art""","263","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2005"
"10249","1.0","68","[""ART""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10250","1.0","69","[""ART""]","1","""0/999""","","","","[""Patrick T. Kelley""]","""0/999""","200","","999","""IS/Advanced Web Design""","298","false","","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10251","1.0","69","[""ART""]","1","""0/999""","","","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Advanced Painting""","298","false","""A""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10252","1.0","69","[""ART""]","1","""0/999""","","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramic Exploration""","298","false","""B""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10253","1.0","69","[""ART""]","1","""0/999""","","","","[""Patrick T. Kelley""]","""0/999""","200","","999","""IS/Digital Narrative""","298","false","""C""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10254","1.0","69","[""ART""]","1","""0/999""","","","","[""Irve Dell""]","""0/999""","200","","999","""IS/The Female Figure""","298","false","""D""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10255","1.0","69","[""ART""]","1","""0/999""","","","","[""John Saurer""]","""0/999""","200","","999","""IS/Space in Sculpture""","298","false","""E""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10256","1.0","69","[""ART""]","1","""0/999""","","","","[""Patrick T. Kelley""]","""0/999""","200","","999","""IS/Textile Design""","298","false","""F""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10257","1.0","69","[""ART""]","1","""0/999""","","","","[""John Saurer""]","""0/999""","200","","999","""IS/Fiber and Form""","298","false","""G""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10258","1.0","69","[""ART""]","1","""0/999""","","","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Conceptual Ceramics""","298","false","""H""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10259","1.0","69","[""ART""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""I""","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10260","1.0","70","[""ART""]","19","""0/999""","","","","[""Mary Griep""]","""0/999""","300","[""DC 204""]","18","""Topics Sem/Studio Art""","340","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0800-1000""]","""Topics Seminar in Studio Art""","""Topic""","2005"
"10261","1.0","73","[""ART""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10262","1.0","75","[""ART""]","1","""0/999""","","","","[""Wendell Arneson""]","""0/999""","300","","999","""IR/Adv Expressive Oil""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research: Art History""","""Research""","2005"
"10263","1.0","75","[""ART""]","1","""0/999""","","","","[""Nancy M. Thompson""]","""0/999""","300","","999","""IR/Cosimo Vasari: Renais""","398","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research: Art History""","""Research""","2005"
"10264","1.0","75","[""ART""]","1","""0/999""","","","","[""Nancy M. Thompson""]","""0/999""","300","","999","""IR/Art Brazil/Haiti""","398","false","""B""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research: Art History""","""Research""","2005"
"10265","1.0","75","[""ART""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""C""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research: Art History""","""Research""","2005"
"10266","1.0","76","[""ASIAN""]","21","""0/999""","","","","[""Barbara Reed""]","""0/999""","100","[""OM 011"", ""OM 011""]","19","""Family & Self/E Asia""","111","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Asian Conversations: Family and Self in East Asia""","""Research""","2005"
"10267","1.0","78","[""ASIAN""]","27","""0/999""","","","","[""Karil J. Kucera""]","""0/999""","100","[""DC 305""]","25","""Asian Cultures""","121","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0200-0255PM""]","""Asian Cultures in Comparative Perspectives""","""Research""","2005"
"10268","1.0","83","[""ASIAN""]","26","""0/999""","","","","[""Pin Pin Wan""]","""0/999""","100","[""OM 001"", ""OM 001""]","25","""Cont China Thru Film""","156","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Contemporary China Through Film""","""Research""","2005"
"10269","1.0","84","[""ASIAN""]","18","""0/999""","","","","[""Bruce Dalgaard""]","""0/999""","200","[""OM 011"", ""OM 011""]","19","""Rice & Society/E Asia""","211","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Asian Conversations: Rice and Society in East Asia""","""Research""","2005"
"10270","1.0","89","[""ASIAN""]","23","""0/999""","","","","[""Rika Ito""]","""0/999""","200","[""OM 002"", ""OM 002""]","25","""Talking in Japan/Us""","240","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Talking in Japan and the U.S.: Language, Identity and Beyond""","""Research""","2005"
"10271","1.0","94","[""ASIAN""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10272","1.0","94","[""ASIAN""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10273","1.0","97","[""ASIAN""]","1","""0/999""","","","","[""Rika Ito""]","""0/999""","300","","999","""IR/Japanese Adv Study""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10274","1.0","98","[""ASIAN""]","20","""0/999""","","","","[""Robert Entenmann""]","""0/999""","300","[""HH 515"", ""HH 515""]","18","""Sem: Asia""","399","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Seminar""","""Seminar""","2005"
"10275","0.25","99","[""BIO""]","11","""0/999""","","","","[""Michael Swift""]","""0/999""","100","[""SC 229""]","18","""Suppl Inst Cell Biol""","110","true","","1","""0/999""","""0/999""","""C""","20051","[""MF 0200-0255PM""]","","""Research""","2005"
"10276","1.0","102","[""BIO""]","71","""0/999""","102","","","[""Alan F. Ernst""]","""0/999""","100","[""SC 280""]","72","""Human Biology""","123","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0905-1000""]","","""Research""","2005"
"10279","1.0","106","[""BIO""]","54","""0/999""","106","""1""","","[""Kevin M. Crisp""]","""0/999""","100","[""SC 278""]","60","""Cell Bio & Genetics""","125","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""MWF 0800-0855""]","""Cellular Biology and Genetics""","""Research""","2005"
"10280","1.0","106","[""BIO""]","67","""0/999""","106","""2""","","[""Sara E. Fruehling""]","""0/999""","100","[""SC 278""]","75","""Cell Bio & Genetics""","125","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""MWF 0905-1000""]","""Cellular Biology and Genetics""","""Research""","2005"
"10281","1.0","106","[""BIO""]","53","""0/999""","106","""3""","","[""John Giannini""]","""0/999""","100","[""SC 278""]","60","""Cell Bio & Genetics""","125","false","""C""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1045-1140""]","""Cellular Biology and Genetics""","""Research""","2005"
"10282","1.0","106","[""BIO""]","67","""0/999""","106","""4""","","[""Pele E. Rich""]","""0/999""","100","[""SC 278"", ""SC 278""]","75","""Cell Bio & Genetics""","125","false","""D""","1","""0/999""","""0/999""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Cellular Biology and Genetics""","""Research""","2005"
"10289","1.0","122","[""BIO""]","46","""0/999""","122","","","[""Jason D. Hill""]","""0/999""","200","[""SC 280""]","44","""Intermediate Genetics""","233","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 1045-1140""]","","""Research""","2005"
"10291","1.0","126","[""BIO""]","101","""0/999""","126","","","[""Louis Henry Kermott""]","""0/999""","200","[""SC 280""]","96","""Human Anatomy & Physiol""","243","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0800-0855""]","""Human Anatomy and Physiology""","""Research""","2005"
"10295","1.0","128","[""BIO""]","36","""0/999""","128","","","[""Mathew Easterday""]","""0/999""","200","[""SC 278"", ""SC 278""]","36","""Animal Physiology""","247","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2005"
"10298","1.0","136","[""BIO""]","13","""0/999""","136","","","[""Charles Jr. Umbanhowar""]","""0/999""","200","[""SC 274""]","20","""Plant Morphology""","252","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0800-0855""]","""Plant Morphology and Systematics""","""Research""","2005"
"10299","1.0","139","[""BIO""]","57","""0/999""","139","","","[""Diane K. Angell""]","""0/999""","200","[""HH 501""]","54","""Ecological Principles""","261","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0800-0855""]","","""Research""","2005"
"10302","1.0","141","[""BIO""]","26","""0/999""","141","","","[""Michael Swift""]","""0/999""","200","[""SC 274"", ""SC 274""]","32","""Limnology""","263","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2005"
"10304","0.25","152","[""BIO""]","12","""0/999""","","","","[""Theodore Johnson""]","""0/999""","200","[""SC 274""]","12","""Top: Med Care in Peru""","291","false","","1","""0/999""","""0/999""","""C""","20051","[""F 0300-0500PM""]","""Topics in Biological Research""","""Topic""","2005"
"10305","1.0","153","[""BIO""]","1","""0/999""","","","","[""Louis Henry Kermott""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10306","1.0","154","[""BIO""]","7","""0/999""","","","","[""Louis Henry Kermott""]","""0/999""","200","","999","""IS/Human Gross Anatomy""","298","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10307","1.0","154","[""BIO""]","2","""0/999""","","","","[""David Van Wylen""]","""0/999""","200","","999","""IS/Holistic Medicine""","298","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10308","1.0","154","[""BIO""]","1","""0/999""","","","","[""Theodore Johnson""]","""0/999""","200","","999","""IS/Health Disease""","298","false","""B""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10309","1.0","154","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""C""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10310","1.0","154","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""D""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10311","1.0","158","[""BIO""]","22","""0/999""","158","""A""","","[""Anne Walter""]","""0/999""","300","[""SC 274""]","32","""Cell Physiology""","341","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0905-1000""]","","""Research""","2005"
"10313","1.0","161","[""BIO""]","15","""0/999""","161","","","[""Kathleen L. Shea""]","""0/999""","300","[""SC 110""]","12","""Field Ecology""","371","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0120-0220PM""]","","""Research""","2005"
"10314","1.0","166","[""BIO""]","35","""0/999""","166","","","[""Theodore Johnson""]","""0/999""","300","[""SC 274""]","24","""Immunology""","382","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 1045-1140""]","","""Research""","2005"
"10316","1.0","174","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10317","1.0","175","[""BIO""]","1","""0/999""","","","","[""Michael Swift""]","""0/999""","300","","999","""IR/Macroinv Taxonomy""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10318","1.0","175","[""BIO""]","1","""0/999""","","","","[""Kimberly A. Kandl""]","""0/999""","300","","999","""IR/Imaging F-actin""","398","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10319","1.0","175","[""BIO""]","1","""0/999""","","","","[""Kevin M. Crisp""]","""0/999""","300","","999","""IR/Leech Microglia""","398","false","""B""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10320","1.0","175","[""BIO""]","1","""0/999""","","","","[""Anne Walter""]","""0/999""","300","","999","""IR/Membrane Structure""","398","false","""C""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10321","1.0","175","[""BIO""]","0","""0/999""","","","","[""Kimberly A. Kandl""]","""0/999""","300","","999","""IR/Genetic Screen""","398","false","""D""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10322","1.0","175","[""BIO""]","1","""0/999""","","","","[""Kimberly A. Kandl""]","""0/999""","300","","999","""IR/eEF1B Alpha and Actin""","398","false","""E""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10323","1.0","175","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""F""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10324","1.0","175","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""G""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10325","1.0","175","[""BIO""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""H""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10326","1.0","176","[""AMCON""]","18","""0/999""","","","","[""L. DeAne Lagerquist""]","""0/999""","100","[""BMC 101""]","19","""Freedoms: 1607-1865""","101","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""MWF 0905-1000""]","""Declaring Independence, 1620-1865""","""Research""","2005"
"10327","1.0","176","[""AMCON""]","21","""0/999""","","","","[""Colin Wells""]","""0/999""","100","[""BMC 109""]","19","""Freedoms: 1607-1865""","101","false","""B""","1","""0/999""","""0/999""","""C""","20051","[""MWF 0905-1000""]","""Declaring Independence, 1620-1865""","""Research""","2005"
"10328","1.0","178","[""AMCON""]","21","""0/999""","","","","[""Mary Titus""]","""0/999""","200","[""RML 525""]","23","""Remaking Am: 1845-1945""","201","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""MWF 1255-0150PM""]","""Re-making America, 1865-1945""","""Research""","2005"
"10329","1.0","178","[""AMCON""]","19","""0/999""","","","","[""Judy Kutulas""]","""0/999""","200","[""RML 577""]","23","""Remaking Am: 1845-1945""","201","false","""B""","1","""0/999""","""0/999""","""C""","20051","[""MWF 1255-0150PM""]","""Re-making America, 1865-1945""","""Research""","2005"
"10330","1.0","187","[""CHEM""]","77","""0/999""","187","","","[""Marc A. Klingshirn""]","""0/999""","100","[""SC 282""]","72","""General Chemistry""","121","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 1045-1140""]","","""Research""","2005"
"10331","0.0","188","[""CHEM""]","19","""0/999""","187","","","[""Marc A. Klingshirn""]","""0/999""","100","[""SC 371""]","18","""Gen Chemistry/Lab""","121","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""M 0200-0500PM""]","","""Lab""","2005"
"10332","0.0","188","[""CHEM""]","16","""0/999""","187","","","[""Marc A. Klingshirn""]","""0/999""","100","[""SC 371""]","18","""Gen Chemistry/Lab""","121","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""T 0800-1100""]","","""Lab""","2005"
"10333","0.0","188","[""CHEM""]","21","""0/999""","187","","","[""Marc A. Klingshirn""]","""0/999""","100","[""SC 371""]","18","""Gen Chemistry/Lab""","121","false","""C""","1","""0/999""","""0/999""","""O""","20051","[""T 1145-0245PM""]","","""Lab""","2005"
"10334","0.0","193","[""CHEM""]","12","""0/999""","192","""2""","","[""Patrick N. Riley""]","""0/999""","100","[""SC 374/363""]","18","""Struct Chem/Lab""","125","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""M 0200-0500PM""]","","""Lab""","2005"
"10335","1.0","192","[""CHEM""]","87","""0/999""","192","""1""","","[""Anthony T. Watson""]","""0/999""","100","[""SC 282""]","90","""Struct Chem & Equilib""","125","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""MWF 0905-1000""]","""Structural Chemistry and Equilibrium""","""Research""","2005"
"10336","0.0","193","[""CHEM""]","18","""0/999""","192","""2""","","[""Robert Hanson""]","""0/999""","100","[""SC 374/363""]","18","""Struct Chem/Lab""","125","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""T 0800-1100""]","","""Lab""","2005"
"10337","1.0","192","[""CHEM""]","52","""0/999""","192","""2""","","[""Patrick N. Riley""]","""0/999""","100","[""SC 378""]","45","""Struct Chem & Equilib""","125","false","""C""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1045-1140""]","""Structural Chemistry and Equilibrium""","""Research""","2005"
"10338","0.0","193","[""CHEM""]","18","""0/999""","192","""2""","","[""Patrick N. Riley""]","""0/999""","100","[""SC 374/363""]","18","""Struct Chem/Lab""","125","false","""C""","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0245PM""]","","""Lab""","2005"
"10339","1.0","192","[""CHEM""]","44","""0/999""","192","""2""","","[""Patrick N. Riley""]","""0/999""","100","[""SC 378""]","45","""Struct Chem & Equilib""","125","false","""D""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1150-1245PM""]","""Structural Chemistry and Equilibrium""","""Research""","2005"
"10340","0.0","193","[""CHEM""]","15","""0/999""","192","""2""","","[""Patrick N. Riley""]","""0/999""","100","[""SC 374/363""]","18","""Struct Chem/Lab""","125","false","""D""","1","""0/999""","""0/999""","""O""","20051","[""T 0300-0600PM""]","","""Lab""","2005"
"10341","0.0","193","[""CHEM""]","14","""0/999""","192","""1""","","[""Paul T. Jackson""]","""0/999""","100","[""SC 374/363""]","18","""Struct Chem/Lab""","125","false","""E""","1","""0/999""","""0/999""","""O""","20051","[""W 0200-0500PM""]","","""Lab""","2005"
"10342","0.0","193","[""CHEM""]","24","""0/999""","192","""1""","","[""Beth Abdella""]","""0/999""","100","[""SC 374/363""]","18","""Struct Chem/Lab""","125","false","""F""","1","""0/999""","""0/999""","""O""","20051","[""Th 0800-1100""]","","""Lab""","2005"
