"","clbid","credits","crsid","departments","description","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"29",10245,1,50,"['ART']","Painting, sculpture, and architecture are studied through an introductory exploration of the art and 19th-century European and American cultural and historical forces relating to it. The course examines Neo-Classical art as it expresses Enlightenment thinking, the tumultuous Romantic and Realist imagery and times and ends with Impressionism.",NA,"",NA,"['Heather M. Brooks-Shirey']",200,"['DC 305', 'DC 305']","Art 1776-1880","",251,"False","False","",1,"O",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Art 1776-1880, Origins of Modernism","Research",2005,23
"30",10246,1,51,"['ART']","This course introduces modern culture and thought through a chronological study of painting, sculpture, architecture, and related arts. Students learn about the strikingly new modes of art created in Europe and the United States after 1880, examining work by Edvard Munch, Frank Lloyd Wright, Pablo Picasso, the Dadaists, Abstract Expressionists, and many others.",NA,"",NA,"['Matthew Rohn']",200,"['DC 305']","Art 1880-1950","",252,"False","False","",1,"C",20051,"['MWF 0905-1000']","","Research",2005,30
"31",10247,1,57,"['ART']","This course is intended as an introduction to the history of Chinese art, offering a survey of major artistic developments from neolithic times to the present. Among the topics to be considered: ritual bronzes; funerary remains of the Qin and Han; Buddhist sculpture; and the evolution of landscape painting. Important issues to be discussed include production and patronage, function, and borrowing and influence in the evolution of artistic works across time and space.",NA,"",NA,"['Karil J. Kucera']",200,"['DC 305']","Arts of China","",259,"False","False","",1,"O",20051,"['MWF 1150-1245PM']","The Arts of China","Research",2005,28
"32",10248,1,60,"['ART']","This course explores the arts and architecture of western Europe from c. 300 to c. 1300. Through lectures and discussions we study paintings, sculpture, manuscripts, metalwork and stained glass windows created by the many cultures of this rich and diverse period in the history of art. Students approach the material in a variety of ways: in addition to issues of style, technique and iconography, students address issues of viewing, patronage and gender throughout the semester.",NA,"",NA,"['Nancy M. Thompson']",200,"['DC 305', 'DC 305']","Medieval Art","",263,"False","False","",1,"C",20051,"['T 0935-1100', 'Th 0930-1050']","","Research",2005,28
"33",10249,1,68,"['ART']","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20051,"","","Research",2005,0
"34",10250,1,69,"['ART']","",NA,"",NA,"['Patrick T. Kelley']",200,"","IS/Advanced Web Design","",298,"False","False","",1,"O",20051,"","","Research",2005,1
"35",10251,1,69,"['ART']","",NA,"",NA,"['Wendell Arneson']",200,"","IS/Advanced Painting","",298,"False","False","A",1,"O",20051,"","","Research",2005,1
"36",10252,1,69,"['ART']","",NA,"",NA,"['Ron Gallas']",200,"","IS/Ceramic Exploration","",298,"False","False","B",1,"O",20051,"","","Research",2005,1
"37",10253,1,69,"['ART']","",NA,"",NA,"['Patrick T. Kelley']",200,"","IS/Digital Narrative","",298,"False","False","C",1,"O",20051,"","","Research",2005,1
"38",10254,1,69,"['ART']","",NA,"",NA,"['Irve Dell']",200,"","IS/The Female Figure","",298,"False","False","D",1,"O",20051,"","","Research",2005,1
"39",10255,1,69,"['ART']","",NA,"",NA,"['John Saurer']",200,"","IS/Space in Sculpture","",298,"False","False","E",1,"O",20051,"","","Research",2005,1
"40",10256,1,69,"['ART']","",NA,"",NA,"['Patrick T. Kelley']",200,"","IS/Textile Design","",298,"False","False","F",1,"O",20051,"","","Research",2005,1
"41",10257,1,69,"['ART']","",NA,"",NA,"['John Saurer']",200,"","IS/Fiber and Form","",298,"False","False","G",1,"O",20051,"","","Research",2005,1
"42",10258,1,69,"['ART']","",NA,"",NA,"['Ron Gallas']",200,"","IS/Conceptual Ceramics","",298,"False","False","H",1,"O",20051,"","","Research",2005,1
"43",10259,1,69,"['ART']","",NA,"",NA,"['Staff']",200,"","IS/","",298,"False","False","I",1,"O",20051,"","","Research",2005,0
"44",10260,1,70,"['ART']","This course enables the advanced studio art student to pursue further work in any chosen two or three dimensional medium or combination of media including performance, installation and collaborative ways of working. This course is organized around an interdisciplinary theme set each year by the instructor. Within a seminar format students will read, discuss and write on the selected topic in conjunction with topic driven individual studio work and critiques. Prerequisites: Foundations plus a minimum of two Level II studio courses and two faculty recommendations or permission of instructor. Offered annually.",NA,"",NA,"['Mary Griep']",300,"['DC 204']","Topics Sem/Studio Art","",340,"False","Prerequisites: Foundations plus a minimum of two Level II studio courses and two faculty recommendations or permission of instructor. Offered annually.","",1,"C",20051,"['MWF 0800-1000']","Topics Seminar in Studio Art","Topic",2005,19
"45",10261,1,73,"['ART']","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20051,"","","Research",2005,0
"46",10262,1,75,"['ART']","Prerequisites: three courses in area of study.",NA,"",NA,"['Wendell Arneson']",300,"","IR/Adv Expressive Oil","",398,"False","Prerequisites: three courses in area of study.","",1,"O",20051,"","Independent Research: Art History","Research",2005,1
"47",10263,1,75,"['ART']","Prerequisites: three courses in area of study.",NA,"",NA,"['Nancy M. Thompson']",300,"","IR/Cosimo Vasari: Renais","",398,"False","Prerequisites: three courses in area of study.","A",1,"O",20051,"","Independent Research: Art History","Research",2005,1
"48",10264,1,75,"['ART']","Prerequisites: three courses in area of study.",NA,"",NA,"['Nancy M. Thompson']",300,"","IR/Art Brazil/Haiti","",398,"False","Prerequisites: three courses in area of study.","B",1,"O",20051,"","Independent Research: Art History","Research",2005,1
"49",10265,1,75,"['ART']","Prerequisites: three courses in area of study.",NA,"",NA,"['Staff']",300,"","IR/","",398,"False","Prerequisites: three courses in area of study.","C",1,"O",20051,"","Independent Research: Art History","Research",2005,0
"50",10266,1,76,"['ASIAN']","This seminar introduces students to East Asian cultures through the familiar institution of family. In contemporary novels, autobiographies and short stories, students read about the struggles between traditional ideals and modern pressures as East Asians strive to define themselves within families. The course also develops students' writing skills to prepare them for the rest of their college coursework.",NA,"",NA,"['Barbara Reed']",100,"['OM 011', 'OM 011']","Family & Self/E Asia","",111,"False","False","",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations: Family and Self in East Asia","Research",2005,21
"51",10267,1,78,"['ASIAN']","This course examines major cultures of South, Southeast and East Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles and medicine and healing traditions. No prerequisites.",NA,"",NA,"['Karil J. Kucera']",100,"['DC 305']","Asian Cultures","",121,"False","False","",1,"O",20051,"['MWF 0200-0255PM']","Asian Cultures in Comparative Perspectives","Research",2005,27
"52",10268,1,83,"['ASIAN']","Students study basic concepts and approaches of film analysis, while examining aesthetics, themes and techniques of masterworks directed by Chinese Fifth Generation directors. Through readings of cinema theory and criticism and class discussions, students explore artistic merits in these films and aspects of Chinese society and culture in contemporary China, particularly the changes which occurred since 1978 with China's Four Modernizations. All readings are in English.",NA,"",NA,"['Pin Pin Wan']",100,"['OM 001', 'OM 001']","Cont China Thru Film","",156,"False","False","",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Contemporary China Through Film","Research",2005,26
"53",10269,1,84,"['ASIAN']","Using rice (and agriculture more generally) as a means of access, this course will introduce students to an examination of the societies, politics and economies of East Asian countries. Drawing on social science methods, it looks at traditional East Asian societies as well as the drive for modernization and the consequences that modernization has had on these societies. Prerequisite: Asian Studies 112 or permission of the instructor. Counts toward the Asian Studies major.",NA,"",NA,"['Bruce Dalgaard']",200,"['OM 011', 'OM 011']","Rice & Society/E Asia","",211,"False","Prerequisite: Asian Studies 112 or permission of the instructor. Counts toward the Asian Studies major.","",1,"C",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","Asian Conversations: Rice and Society in East Asia","Research",2005,18
"54",10270,1,89,"['ASIAN']","This course looks at language as it creates and responds to its cultural and social environments. Students compare and contrast major aspects of language use in Japan and the United States. Students explore the general underlying elements of talk (e.g., standard vs. regional dialects, language attitude and ideologies, politeness, gendered speech patterns, communication styles) and learn to understand how speakers convey subtle meanings, sometimes unconsciously. Knowledge of Japanese is helpful but not necessary. Taught in English.",NA,"",NA,"['Rika Ito']",200,"['OM 002', 'OM 002']","Talking in Japan/Us","",240,"False","False","",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Talking in Japan and the U.S.: Language, Identity and Beyond","Research",2005,23
"55",10271,1,94,"['ASIAN']","",NA,"",NA,"['Staff']",200,"","IS/","",298,"False","False","",1,"O",20051,"","Independent Study","Research",2005,0
"56",10272,1,94,"['ASIAN']","",NA,"",NA,"['Staff']",200,"","IS/","",298,"False","False","A",1,"O",20051,"","Independent Study","Research",2005,0
"57",10273,1,97,"['ASIAN']","",NA,"",NA,"['Rika Ito']",300,"","IR/Japanese Adv Study","",398,"False","False","",1,"O",20051,"","Independent Research","Research",2005,1
"58",10274,1,98,"['ASIAN']","The seminar intensively studies topics in Asian studies. Prerequisite: senior Asian studies major or concentrator, or permission of the instructor.",NA,"",NA,"['Robert Entenmann']",300,"['HH 515', 'HH 515']","Sem: Asia","",399,"False","Prerequisite: senior Asian studies major or concentrator, or permission of the instructor.","",1,"C",20051,"['T 0935-1100', 'Th 0930-1050']","Seminar","Seminar",2005,20
"60",10276,1,102,"['BIO']","Contemporary issues in human biology direct the study of how our bodies work. This knowledge is relevant to the decisions required in daily living. Specific topics vary, but may include nutrition, cancer, immune responses, exercise and reproduction. Learning in this course utilizes lecture, discussion and laboratory formats. The course includes lectures plus one 2-hour laboratory per week. Taught annually. GE: NST-B, NSL.",102,"",NA,"['Alan F. Ernst']",100,"['SC 280']","Human Biology","Students in Biology 123 must also register for one lab section 123AL, BL or CL.",123,"False","False","",1,"C",20051,"['MWF 0905-1000']","","Research",2005,71
"61",10279,1,106,"['BIO']","This foundation course explores major principles of cellular and molecular biology and is a prerequisite for all Level II biology courses. Emphases include the structural and chemical composition of cells, crucial metabolic pathways, fundamentals of cell division, basic genetics and the scientific method. Labs integrate concepts with problem-solving and scientific writing. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually and during Interim. GE: NST-B, NSL.",106,"1",NA,"['Kevin M. Crisp']",100,"['SC 278']","Cell Bio & Genetics","Students in Biology 125A must also register for one lab section 125AL or BL.",125,"False","False","A",1,"O",20051,"['MWF 0800-0855']","Cellular Biology and Genetics","Research",2005,54
"62",10280,1,106,"['BIO']","This foundation course explores major principles of cellular and molecular biology and is a prerequisite for all Level II biology courses. Emphases include the structural and chemical composition of cells, crucial metabolic pathways, fundamentals of cell division, basic genetics and the scientific method. Labs integrate concepts with problem-solving and scientific writing. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually and during Interim. GE: NST-B, NSL.",106,"2",NA,"['Sara E. Fruehling']",100,"['SC 278']","Cell Bio & Genetics","Students in Biology 125B must also register for one lab section 125CL, DL, or EL",125,"False","False","B",1,"O",20051,"['MWF 0905-1000']","Cellular Biology and Genetics","Research",2005,67
"63",10281,1,106,"['BIO']","This foundation course explores major principles of cellular and molecular biology and is a prerequisite for all Level II biology courses. Emphases include the structural and chemical composition of cells, crucial metabolic pathways, fundamentals of cell division, basic genetics and the scientific method. Labs integrate concepts with problem-solving and scientific writing. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually and during Interim. GE: NST-B, NSL.",106,"3",NA,"['John Giannini']",100,"['SC 278']","Cell Bio & Genetics","Students in Biology 125C must also register for one lab section 125FL or GL.",125,"False","False","C",1,"O",20051,"['MWF 1045-1140']","Cellular Biology and Genetics","Research",2005,53
"64",10282,1,106,"['BIO']","This foundation course explores major principles of cellular and molecular biology and is a prerequisite for all Level II biology courses. Emphases include the structural and chemical composition of cells, crucial metabolic pathways, fundamentals of cell division, basic genetics and the scientific method. Labs integrate concepts with problem-solving and scientific writing. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually and during Interim. GE: NST-B, NSL.",106,"4",NA,"['Pele E. Rich']",100,"['SC 278', 'SC 278']","Cell Bio & Genetics","Students in Biology 125D must also register for one lab section 125HL, IL or JL.",125,"False","False","D",1,"O",20051,"['T 0935-1100', 'Th 0930-1050']","Cellular Biology and Genetics","Research",2005,67
"65",10289,1,122,"['BIO']","Genetics examines relationships between genotype and phenotype in prokaryotic and eukaryotic organisms from classical, molecular and population perspectives. Lectures cover ideas and technologies contributing to understanding mechanisms of gene transmission and regulation. Laboratories utilize model organisms to investigate classical and molecular modes of inheritance. Students attend lectures plus one three-hour laboratory per week; taught twice a year. Prerequisites: Biology 125 and one semester of chemistry or concurrent registration.",122,"",NA,"['Jason D. Hill']",200,"['SC 280']","Intermediate Genetics","Students in Biology 233 must also register for one lab section 233AL or BL.",233,"False","Prerequisites: Biology 125 and one semester of chemistry or concurrent registration.","",1,"C",20051,"['MWF 1045-1140']","","Research",2005,46
"66",10291,1,126,"['BIO']","Students journey toward greater understanding of one of the most wondrous objects in existence - the human body - through an integrated study of the structure of the body (anatomy) and how organs such as the brain, heart and kidney perform their remarkable functions (physiology). The course is designed primarily for students intending careers in the health sciences. Students attend lectures plus one 3-hour laboratory per week. Taught twice a year. Prerequisite: Biology 125.",126,"",NA,"['Louis Henry Kermott']",200,"['SC 280']","Human Anatomy & Physiol","Students in Bio 243 must also register for one lab section 243AL, BL, CL, or DL",243,"False","Prerequisite: Biology 125.","",1,"C",20051,"['MWF 0800-0855']","Human Anatomy and Physiology","Research",2005,101
"67",10295,1,128,"['BIO']","This course emphasizes adaptive mechanisms in relation to the environment (i.e., desert kangaroo rat kidneys compared to aquatic beaver kidneys). Systems covered include permeability and transport, osmoregulation, thermoregulation, muscle, neurophysiology, respiration, circulation, digestion and metabolism. Investigative laboratories enable students to measure numerous physiological parameters in living animals using computers and other equipment. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125 and 126.",128,"",NA,"['Mathew Easterday']",200,"['SC 278', 'SC 278']","Animal Physiology","Students in Biology 247 must also register for one lab section 247AL, BL or CL.",247,"False","Prerequisites: Biology 125 and 126.","",1,"C",20051,"['T 0800-0925', 'Th 0800-0920']","","Research",2005,36
"68",10298,1,136,"['BIO']","Plants are a diverse and important group of organisms. This course considers their evolution, emphasizing the morphology and anatomy of flowering plants. Students learn about basic techniques of data collection and analysis to investigate plant evolution: identifying plants, dissecting and staining plant structures and using computer-based taxonomic statistics programs. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125 and 126.",136,"",NA,"['Charles Jr. Umbanhowar']",200,"['SC 274']","Plant Morphology","Students in Biology 252 must also register for lab section 252L.",252,"False","Prerequisites: Biology 125 and 126.","",1,"O",20051,"['MWF 0800-0855']","Plant Morphology and Systematics","Research",2005,13
"69",10299,1,139,"['BIO']","Ecology focuses on the study of the interrelationships that determine the distribution and abundance of organisms. This course examines organism-environment interactions and the study of populations, communities and ecosystems. Consideration is given to use of ecological studies in ecosystem management. Students attend lectures plus one 3-hour laboratory per week. Taught twice a year. Prerequisites: Biology 125 and 126.",139,"",NA,"['Diane K. Angell']",200,"['HH 501']","Ecological Principles","Students in Biology 261 must also register for one lab section 261AL, BL, or CL.",261,"False","Prerequisites: Biology 125 and 126.","",1,"C",20051,"['MWF 0800-0855']","","Research",2005,57
"70",10302,1,141,"['BIO']","",141,"",NA,"['Michael Swift']",200,"['SC 274', 'SC 274']","Limnology","Students in Biology 263 must also register for one lab section 263AL or BL.",263,"False","False","",1,"O",20051,"['T 0935-1100', 'Th 0930-1050']","","Research",2005,26
"72",10305,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.",NA,"",NA,"['Louis Henry Kermott']",200,"","Academic Internship","",294,"True","False","",1,"O",20051,"","Internship","Research",2005,1
"73",10306,1,154,"['BIO']","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.",NA,"",NA,"['Louis Henry Kermott']",200,"","IS/Human Gross Anatomy","",298,"False","False","",1,"O",20051,"","Independent Study","Research",2005,7
"74",10307,1,154,"['BIO']","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.",NA,"",NA,"['David Van Wylen']",200,"","IS/Holistic Medicine","",298,"False","False","A",1,"O",20051,"","Independent Study","Research",2005,2
"75",10308,1,154,"['BIO']","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.",NA,"",NA,"['Theodore Johnson']",200,"","IS/Health Disease","",298,"False","False","B",1,"O",20051,"","Independent Study","Research",2005,1
"76",10309,1,154,"['BIO']","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.",NA,"",NA,"['Staff']",200,"","IS/","",298,"False","False","C",1,"O",20051,"","Independent Study","Research",2005,0
"77",10310,1,154,"['BIO']","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.",NA,"",NA,"['Staff']",200,"","IS/","",298,"False","False","D",1,"O",20051,"","Independent Study","Research",2005,0
"78",10311,1,158,"['BIO']","The cell is the fundamental unit of life, capable of growth, motility, signal transduction and functional specialization. Students study features common to cells: metabolism, membrane transport, motility, signal mechanisms and intracellular trafficking, seeing how these are elaborated in cells with particular specializations. Research techniques suitable for cell physiology are emphasized. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125, 126, Chemistry 125, 126.",158,"A",NA,"['Anne Walter']",300,"['SC 274']","Cell Physiology","Students in Biology 341 must also register for one lab section 341AL or BL.",341,"False","Prerequisites: Biology 125, 126, Chemistry 125, 126.","",1,"O",20051,"['MWF 0905-1000']","","Research",2005,22
"79",10313,1,161,"['BIO']","This course focuses on learning modern field and laboratory methods to test ecological hypotheses. Students work on group and individual projects to collect and analyze data and give oral and written presentations on projects. Class periods focus on discussion of primary literature and project results. Class trips include visits to local natural areas. Students attend lectures plus one 4-hour laboratory per week. Taught annually. GE: ORC. Prerequisites: Biology 125, 126, and 261.",161,"",NA,"['Kathleen L. Shea']",300,"['SC 110']","Field Ecology","Students in Biology 371 must also register for discussion section 371D and lab section 371L.",371,"False","Prerequisites: Biology 125, 126, and 261.","",1,"C",20051,"['T 0120-0220PM']","","Research",2005,15
"80",10314,1,166,"['BIO']","Immunology focuses on the structure, development and function of the immune system. The course explores the molecular and cellular basis of the immune responses. The application of immunological principles to allergy, autoimmunity, AIDS, transplantation and cancer will be included. Students attend lectures plus one 3-hour laboratory period or a 2-hour discussion per week. Taught annually. Prerequisites: Biology 125, 126 and 233; Chemistry .",166,"",NA,"['Theodore Johnson']",300,"['SC 274']","Immunology","Students in Biology 382 must also register for one discussion section 382AD or B",382,"False","Prerequisites: Biology 125, 126 and 233; Chemistry .","",1,"C",20051,"['MWF 1045-1140']","","Research",2005,35
"81",10316,1,174,"['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor and complete an internship form.",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20051,"","Internship","Research",2005,0
"82",10317,1,175,"['BIO']","Independent Research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, students conceive and perform a research project leading to the writng of a major research paper and a poster presentation. Independant research requires permission of a supervisor, a secondary faculty reader of the paper and completion of an independantresearch form.",NA,"",NA,"['Michael Swift']",300,"","IR/Macroinv Taxonomy","",398,"False","False","",1,"O",20051,"","Independent Research","Research",2005,1
"83",10318,1,175,"['BIO']","Independent Research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, students conceive and perform a research project leading to the writng of a major research paper and a poster presentation. Independant research requires permission of a supervisor, a secondary faculty reader of the paper and completion of an independantresearch form.",NA,"",NA,"['Kimberly A. Kandl']",300,"","IR/Imaging F-actin","",398,"False","False","A",1,"O",20051,"","Independent Research","Research",2005,1
"84",10319,1,175,"['BIO']","Independent Research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, students conceive and perform a research project leading to the writng of a major research paper and a poster presentation. Independant research requires permission of a supervisor, a secondary faculty reader of the paper and completion of an independantresearch form.",NA,"",NA,"['Kevin M. Crisp']",300,"","IR/Leech Microglia","",398,"False","False","B",1,"O",20051,"","Independent Research","Research",2005,1
