"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"256",73678,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Prerequisite: Great Conversation 113. Offered during interim.","['BTS-B', 'WRI']",NA,"['Colin Wells']",100,"['OM 004']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: Great Conversation 113. Offered during interim.","E",2,"C",20102,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2010,19
"257",73679,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Prerequisite: Great Conversation 113. Offered during interim.","['BTS-B', 'WRI']",NA,"['Jeanne I. Willcoxon']",100,"['OM 002']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: Great Conversation 113. Offered during interim.","F",2,"C",20102,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2010,19
"258",73682,1,308,"['EDUC']","In this course, students examine how schools and communities in the Twin Cities interact to provide support and developmental opportunities for school-age children. Through lectures, readings, discussions, field trips, and in-school and co-curricular placements, students gain an understanding and awareness of how race, class, ethnicity, national origin, and gender shape the complex character of urban youth and schools. Students spend one week in orientation activities on campus and two weeks in the Twin Cities. During the time in the Twin Cities, St. Olaf students participate as tutors and classroom assistants during the school day and then assist in various after-school and community programs. The last week of interim is spent back on campus discussing the experience. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. Open to first-year students. Offered during interim.","['MCD']",NA,"['Eric McDonald']",100,"","Schools & Communities","Open to first-year students and sophomores only. Admission by interview.",170,"True","False","",2,"C",20102,"","Urban Schools & Communities","Research",2010,18
"263",73694,1,104,"['BIO']","Issues of women's biology including views of the evolving female and biological determinism are examined. Core material covers anatomy, development, the biological basis of gender, reproduction, sexual response, the menstrual cycle and aging, and aspects of women's health such as eating disorders, cancers, and hormonal treatments. Students participate in significant amounts of group work and oral presentation. The course is open to both men and women. Offered during interim.","['IST']",NA,"['Sara E. Fruehling']",100,"['RNS 190', 'RNS 190']","The Biology of Women","",124,"False","False","",2,"O",20102,"['MTThF 1040-1200PM', 'MTThF 0100-0300PM']","","Research",2010,19
"265",73700,1,86,"['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences and communication styles. The course is taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation), and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures, and discussions are all in English. Prerequisite: Japanese 231.","['MCG']",NA,"['Tomoko Hoogenboom']",200,"['OM 001']","Top: Japan Lang & Soc","Not open to first-year students. For students with some knowledge of Japanese.",226,"False","Prerequisite: Japanese 231.","",2,"O",20102,"['M-F 1040-1240PM']","Japanese Language in Society","Topic",2010,1
"273",75069,1,19734,"['NORW']","Recently there has been an explosion in Nordic literature translated into English, providing unprecedented access to contemporary literary texts produced in Norway, Sweden, Denmark, Finland, and Iceland. In this course students read and analyze contemporary Nordic literary texts and examine those societies through a literary perspective. Sample topics: ""Murder Nordic Style: Contemporary Crime Fiction"" and ""Gender and Nordic Society."" Taught in English. Offered annually or periodically.","['ALS-L']",NA,"[""Margaret H. O'Leary""]",200,"['OM 001']","Top: Nordic Crime Fiction","Open to first-year students.",224,"False","False","",2,"C",20102,"['M-F 0100-0300PM']","Topics in Contemporary Nordic Literature: A Window on Society","Topic",2010,28
"279",75197,1,150,"['BIO']","Intensive study of the biology that created the Bahamas and that now constitutes the living structure of these islands. Staying at the Gerace Research Center provides access to a diversity of marine and terrestrial habitats including coral reefs, seagrass beds, mangrove forests, hypersaline ponds, limestone caverns, and the ""blue-holes"" that connect inland waterways to the sea. The Gerace Research Center is located on San Salvador Island. Counts toward major: Biology. Prerequisite: Biology 125 and 126 or Chemistry/Biology 125-127 and Biology 126 or permission of instructor.","",NA,"['Eric Cole']",200,"","Island Biology","This is an off-campus course.",287,"False","Prerequisite: Biology 125 and 126 or Chemistry/Biology 125-127 and Biology 126 or permission of instructor.","",2,"C",20102,"","Island Biology in the Bahamas","Research",2010,16
"288",75219,1,1142,"['PSCI']","The department periodically offers special topics courses. The specific title of the course will be listed in the class and lab schedule when it is offered.","['HBS', 'MCD']",NA,"['Christopher B. Chapp']",200,"['DC 204']","Top: Race - Politics","",299,"False","False","",2,"O",20102,"['M-F 1040-1240PM']","Topics in Political Science","Topic",2010,7
"289",75220,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants. Offered annually.","['HBS', 'MCD']",NA,"['Christopher Galdieri']",100,"['HH 403']","American Politics","",111,"False","False","",2,"C",20102,"['M-F 0100-0300PM']","","Research",2010,32
"298",75231,1,18485,"['SOAN']","This course explores the lives of gay, lesbian, bisexual, and transgender people from several social science perspectives. Students examine whether gender and sexual orientation (both heterosexual and homosexual) are socially constructed or biologically natural, and what cross-cultural and historical examples can tell us. Students also study controversies over the family and religious status of GLBT people, why homosexuality has become such a political issue, and movements for change. Offered during interim.","['HBS']",NA,"['Bruce Nordstrom-Loeb']",200,"['HH 317']","GLBT Lives and Issues","Open to first-year students.",246,"False","False","",2,"C",20102,"['M-F 1040-1240PM']","","Research",2010,32
"302",75248,1,21526,"['ENGL']","Focusing on global literatures in English and/or multicultural literatures within a single nation, this topics course examines literature as a human expression that embraces both commonality and difference within and across cultures. This course also employs critical approaches specifically designed to address cross-cultural literary issues. It may be repeated if topics are different. Prerequisite: FYW. Click on course title in the class and lab for more information about the course for that term.","['ALS-L']",NA,"['Jan C. Hill']",200,"['RML 525']","Topics: Regional Lit","",200,"False","Prerequisite: FYW. Click on course title in the class and lab for more information about the course for that term.","A",2,"C",20102,"['M-F 0100-0300PM']","Topics in Cross-Cultural Literature","Topic",2010,20
"306",75385,1,22791,"['ASIAN', 'HIST']","This course examines ethnicity and the development of national identity in China through the evolution of the Qing empire into a modern nation state, the development of Chinese national identity in modern times, and the relationship between majority culture and minority ethnicities. Students examine the Han, Manchus, Tibetan, and Hmong/Miao as case studies, including comparisons with Hmong in the United States. Offered every two or three years during interim.","['MCG']",NA,"['Robert Entenmann']",200,"","Nat'l ID/Ethnicity/China","This is an off-campus course.",262,"False","False","",2,"C",20102,"","National Identity and Ethnicity in China","Research",2010,21
"310",75616,1,18523,"['ASIAN', 'PSCI']","Currents of nationalism, regionalism and globalization organize political life around the world. What trends and policies promote regional integration? What forces frustrate integration? To answer these questions this course investigates security, economic, and cultural relations at the beginning of the 21st century within Asia and between Asia and Russia and the U.S. This course looks at the historical interaction of national, regional and global forces for additional answers. Prerequisite: previous course in Asian studies or political science, or permission of instructor.","['HBS', 'MCG']",NA,"['Katherine S. Tegtmeyer Pak']",200,"['HH 317']","Nation/Region/Globe/Asia","",245,"False","Prerequisite: previous course in Asian studies or political science, or permission of instructor.","",2,"O",20102,"['M-F 0100-0300PM']","Nationalism, Regionalism, Globalization in Asia","Research",2010,11
"312",75627,1,21526,"['ENGL']","Focusing on global literatures in English and/or multicultural literatures within a single nation, this topics course examines literature as a human expression that embraces both commonality and difference within and across cultures. This course also employs critical approaches specifically designed to address cross-cultural literary issues. It may be repeated if topics are different. Prerequisite: FYW. Click on course title in the class and lab for more information about the course for that term.","['ALS-L']",NA,"['Jonathan T. Naito']",200,"['RML 421']","Top: Black&Asian Brit Lit","",200,"False","Prerequisite: FYW. Click on course title in the class and lab for more information about the course for that term.","B",2,"O",20102,"['M-F 1040-1240PM']","Topics in Cross-Cultural Literature","Topic",2010,24
"314",75642,1,22987,"['SOAN']","Students gain a broad overview of the significance of gender with a special focus on the Nordic countries, recognized internationally as pioneers of gender equality. Systematic reflection on central quests of gender policy and theory help students to see, analyze, and problematize gender in texts, theories, and methods. A critical overview of gender equality in everyday life, education working life, politics, and ethnic relations illuminates specific social and cultural contexts in the different Nordic countries.","['HBS']",NA,"['Elisabet Rogg']",200,"['HH 322']","Gender Equality/Nordic","Open to first-year students.",241,"False","False","",2,"O",20102,"['M-F 0100-0300PM']","Gender Equality in the Nordic Countries","Research",2010,14
"318",75729,1,21526,"['ENGL']","Focusing on global literatures in English and/or multicultural literatures within a single nation, this topics course examines literature as a human expression that embraces both commonality and difference within and across cultures. This course also employs critical approaches specifically designed to address cross-cultural literary issues. It may be repeated if topics are different. Prerequisite: FYW. Click on course title in the class and lab for more information about the course for that term.","['ALS-L']",NA,"['Joan Hepburn']",200,"['RML 421']","Top: Women & Afr Diaspora","",200,"False","Prerequisite: FYW. Click on course title in the class and lab for more information about the course for that term.","C",2,"O",20102,"['M-F 0100-0300PM']","Topics in Cross-Cultural Literature","Topic",2010,25
"332",79927,1,830,"['ASIAN', 'MUSIC']","Students gain a hands-on understanding of concepts discussed in class readings, both musical and social, by playing in the gamelan, a Southeast Asian gong and percussion ensemble. This course aims to allow students to understand the political and historical framework that underlies Indonesian musical cultures through targeted reading and written responses and to explore how these frameworks are replicated in musical sound through intensive in-class listening and participation in a gamelan ensemble. No previous musical experience expected.","['ALS-A', 'MCG']",NA,"['Julia Byl']",200,"['CHM 224', 'CHM 224', 'CHM 224']","Music/Society/Indonesia","",238,"False","False","",2,"O",20102,"['MW 1045-1230PM', 'MWTh 0145-0300PM', 'T 1045-0100PM']","Music and Civil Society in Indonesia","Research",2010,15
"333",79928,1,23948,"['HIST']","This course introduces students to the historical forces leading to and scholarly debates about slavery in African history. Students examine the nature and development of domestic slavery to the 19th century as well as the slave trade systems across the Saharan Desert and the Atlantic Ocean. Students ""do history"" using primary sources to retrieve the African voices and agency in discussions of the slave trade and debating themes such as ethnicity, kinship, state formation, and colonialism. For first-year students only. Offered annually.","['MCG']",NA,"['Abdulai Iddrisu']",100,"['HH 302']","Slavery in African Hist","Open to first-year students only.",151,"False","False","",2,"O",20102,"['M-F 1040-1240PM']","Slavery in African History","Research",2010,13
