"","clbid","credits","crsid","departments","description","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"93",10328,1,178,"['AMCON']","Burgeoning cities and industrialism, an emerging market economy, changing opportunities for women, an influx of immigrants and the migration of African Americans to urban centers -- all opened questions of freedom of expression, distribution of resources and American identity. Topics and texts include the Statue of Liberty, the World's Columbian Exposition, the Model T Ford and the Harlem Renaissance.",NA,"",NA,"['Mary Titus']",200,"['RML 525']","Remaking Am: 1845-1945","",201,"False","False","A",1,"C",20051,"['MWF 1255-0150PM']","Re-making America, 1865-1945","Research",2005,21
"94",10329,1,178,"['AMCON']","Burgeoning cities and industrialism, an emerging market economy, changing opportunities for women, an influx of immigrants and the migration of African Americans to urban centers -- all opened questions of freedom of expression, distribution of resources and American identity. Topics and texts include the Statue of Liberty, the World's Columbian Exposition, the Model T Ford and the Harlem Renaissance.",NA,"",NA,"['Judy Kutulas']",200,"['RML 577']","Remaking Am: 1845-1945","",201,"False","False","B",1,"C",20051,"['MWF 1255-0150PM']","Re-making America, 1865-1945","Research",2005,19
"253",10493,1,429,"['ENGL']","Explores various forms of prose, including fiction and creative nonfiction. Each instructor selects different material to be studied and emphasizes various aspects of the form. Topics can range from the 18th-century novel to African American autobiography. May be repeated if topics are different.",NA,"",NA,"['Jon Eric Nelson']",200,"['RML 515']","Top: Prose: Post-Modern","",283,"False","False","A",1,"C",20051,"['MWF 1150-1245PM']","Studies in Prose","Topic",2005,30
"254",10494,1,429,"['ENGL']","Explores various forms of prose, including fiction and creative nonfiction. Each instructor selects different material to be studied and emphasizes various aspects of the form. Topics can range from the 18th-century novel to African American autobiography. May be repeated if topics are different.",NA,"",NA,"['Carlos V. Reyes']",200,"['RML 515']","Top: Prose: Graphic Novel","",283,"False","False","B",1,"C",20051,"['MWF 0200-0255PM']","Studies in Prose","Topic",2005,31
"267",10507,1,451,"['ENGL']","",NA,"",NA,"['Maggie Broner']",300,"","IR/Gender & Lang Choices","",398,"False","False","A",1,"O",20051,"","Independent Research","Research",2005,0
"345",10586,1,534,"['GCON']","Students examine the Renaissance's return to classical values and the Reformation's return to early Christian attitudes which challenge the authority of the medieval synthesis. Students trace the development of new sources of authority including the new science with its influence on art, literature, politics and philosophy. Discussions consider Luther, Calvin, Descartes, Locke, Milton, Aphra Behn, Voltaire, Rousseau, Goethe, Teresa of Avila, Wollstonecraft and the artistry of Michaelangelo, Caravaggio, Bach and Shakespeare.",NA,"",NA,"['Jolene Barjasteh']",200,"['STEENSLAND']","New Forces of Secular","",217,"False","False","A",1,"C",20051,"['MWF 1045-1140']","The Tradition Renewed: New Forces of Secularization","Research",2005,20
"346",10587,1,534,"['GCON']","Students examine the Renaissance's return to classical values and the Reformation's return to early Christian attitudes which challenge the authority of the medieval synthesis. Students trace the development of new sources of authority including the new science with its influence on art, literature, politics and philosophy. Discussions consider Luther, Calvin, Descartes, Locke, Milton, Aphra Behn, Voltaire, Rousseau, Goethe, Teresa of Avila, Wollstonecraft and the artistry of Michaelangelo, Caravaggio, Bach and Shakespeare.",NA,"",NA,"['Diana Postlethwaite']",200,"['STEENSLAND']","New Forces of Secular","",217,"False","False","B",1,"C",20051,"['MWF 1045-1140']","The Tradition Renewed: New Forces of Secularization","Research",2005,19
"347",10588,1,534,"['GCON']","Students examine the Renaissance's return to classical values and the Reformation's return to early Christian attitudes which challenge the authority of the medieval synthesis. Students trace the development of new sources of authority including the new science with its influence on art, literature, politics and philosophy. Discussions consider Luther, Calvin, Descartes, Locke, Milton, Aphra Behn, Voltaire, Rousseau, Goethe, Teresa of Avila, Wollstonecraft and the artistry of Michaelangelo, Caravaggio, Bach and Shakespeare.",NA,"",NA,"['Edmund Santurri']",200,"['STEENSLAND']","New Forces of Secular","",217,"False","False","C",1,"C",20051,"['MWF 1045-1140']","The Tradition Renewed: New Forces of Secularization","Research",2005,20
"348",10589,1,534,"['GCON']","Students examine the Renaissance's return to classical values and the Reformation's return to early Christian attitudes which challenge the authority of the medieval synthesis. Students trace the development of new sources of authority including the new science with its influence on art, literature, politics and philosophy. Discussions consider Luther, Calvin, Descartes, Locke, Milton, Aphra Behn, Voltaire, Rousseau, Goethe, Teresa of Avila, Wollstonecraft and the artistry of Michaelangelo, Caravaggio, Bach and Shakespeare.",NA,"",NA,"['J. L. Carrington']",200,"['HH 514']","New Forces of Secular","",217,"False","False","D",1,"C",20051,"['MWF 1045-1140']","The Tradition Renewed: New Forces of Secularization","Research",2005,23
"357",10598,1,558,"['HIST']","This course examines the history of the Maya peoples from the colonial to the present. Drawing upon missionary accounts, archeological sources and historical and anthropological works, we will explore how the Maya -- despite the multiple traumas of conquest, demographic collapse and state repression -- have managed to survive as a people. Specific topics include: Maya religious beliefs, the impact of Spanish conquest, changing sources of ethnic identity and the emerging Pan-Maya movement of recent years. Offered periodically.",NA,"",NA,"['Jeane DeLaney']",100,"['HH 301', 'HH 301']","Maya Colonial-Present","Open to First-Year Students only.",125,"False","False","",1,"O",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","The Maya, Colonial Times to the Present","Research",2005,17
"359",10602,1,573,"['HIST']","This course surveys Western history and culture from its origins in the Ancient Near East to the Italian Renaissance. Topics include the ancient world, the beginnings of Christianity, the emergence and disintegration of Rome as a unifying power, the Middle Ages and the Renaissance. Through original texts and historical studies, students will explore relationships among religions, states, and societies and views of natural environments, family life, and gender roles. Offered most years.",NA,"",NA,"['J. L. Carrington']",100,"['HH 307']","Eur/Anc/Renaissance","",190,"False","False","",1,"O",20051,"['MWF 1255-0150PM']","Europe from the Ancients to the Renaissance","Research",2005,28
"370",10613,1,612,"['HIST']","In this broad survey of the history of Southern Africa (with a major emphasis on the Republic of South Africa), students engage in readings and classroom activities focusing on the following themes: race and ethnicity, gender, environmental studies, migrant labor, and apartheid and resistance. These focal points illuminate the broader context of change in the South African past. Offered most years.",NA,"",NA,"['Helena Pohlandt-McCormick']",200,"['RML 577']","South Africa","",260,"False","False","",1,"C",20051,"['MWF 1150-1245PM']","","Research",2005,31
"383",10626,1,642,"['HIST']","",NA,"",NA,"['Clifford C. Weston']",300,"","IR/Race/Civil War Era","",398,"False","False","C",1,"O",20051,"","Independent Research","Research",2005,1
"426",10672,1,719,"['LATIN']","Lyric poems -- short, occasional pieces composed in various meters, often concerned with love and longing -- are the focus of this Latin course. Students read the vivacious verse of Catullus, Horace, Tibullus and Ovid and learn to recognize the features that make lyric a distinctive genre of Latin poetry. Prerequisite: Latin 231 or equivalent. GE: FOL-L. Offered every third year.",NA,"",NA,"['Steve T. Reece']",300,"['OM 003', 'OM 003']","Latin Lyric","See also Classics 241.",371,"False","Prerequisite: Latin 231 or equivalent. GE: FOL-L. Offered every third year.","",1,"O",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","Latin Lyric Poetry","Research",2005,11
"482",10731,1,794,"['MEDIA']","This course focuses on contemporary media, primarily film and television, from theoretical and critical perspectives. Primary emphasis is given to the specific identifying characteristics of news, advertising and entertainment media and to how those media serve as forums for cultural negotiation in our society. In particular, attention is paid to how media representations of race, class and gender presently exist as both products and producers of contemporary cultures. Prerequisite: Media Studies 160.",NA,"",NA,"['William Sonnega']",200,"['TB 216', 'TB 216']","Media/Contemp Culture","",260,"False","Prerequisite: Media Studies 160.","",1,"O",20051,"['T 0935-1100', 'Th 0930-1050']","Media and Contemporary Culture","Research",2005,14
"574",10825,1,978,"['PHIL']","This course surveys the influential philosophical traditions of India and China. Students explore the traditions of Hinduism, Buddhism, Jainism, Confucianism and Taoism and consider other traditions with which they have interacted. Where appropriate, comparisons are drawn to Western philosophical traditions.",NA,"",NA,"['Anantanand Rambachan']",200,"['BMC 102', 'BMC 102']","Asian Philosophy","",251,"False","False","",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2005,25
"663",10914,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants.",NA,"",NA,"['Daniel Hofrenning']",100,"['HH 403', 'HH 403']","American Politics","",111,"False","False","A",1,"O",20051,"['T 0935-1100', 'Th 0930-1050']","","Research",2005,28
"664",10915,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants.",NA,"",NA,"['Donald I. Ostrom']",100,"['HH 403', 'HH 403']","American Politics","",111,"False","False","B",1,"O",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2005,32
"665",10916,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants.",NA,"",NA,"['Donald I. Ostrom']",100,"['HH 403', 'HH 403']","American Politics","",111,"False","False","C",1,"O",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2005,27
"672",10923,1,1126,"['PSCI']","Sandwiched between Germany and Russia, Central Europe exhibited distinctive political characteristics in its pre-communist, communist and now post-communist periods. The region could not sustain democracy in the 1930s. Does it have a better chance of doing so in the 21st century? In pursuit of an answer, students examine the varying cultural, ethnic and economic contexts of the region's contemporary political problems. Offered periodically.",NA,"",NA,"['D Christopher Brooks']",200,"['HH 516']","Central European Pol","",256,"False","False","",1,"O",20051,"['MWF 0800-0855']","Central European Politics","Research",2005,6
"675",10926,1,1133,"['PSCI']","Students examine ethical issues related to family life in the United States. Topics include the nature and purpose of the family; a history of family structures and values; the family as a school of justice; and the relationship between the family and the state. Students explore a variety of theological and philosophical traditions, on such issues as marriage and divorce, contraception and abortion, parenting practices, and public policy.",NA,"",NA,"['Jo M. Beld']",200,"['HH 317', 'HH 317']","Family Values","",270,"False","False","",1,"C",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2005,33
"683",10934,1,1152,"['PSCI']","Students who have taken five political science courses, one of which is in the area of the proposed research, may propose an independent research project to a member of the departmental faculty.",NA,"",NA,"['Kristina Thalhammer']",300,"","IR/African Development","",398,"False","False","",1,"O",20051,"","Independent Research","Research",2005,1
"764",11017,1,1238,"['REL']","This course examines theological and ethical aspects of Christian social responsibility. It examines the meaning and normative import of Christian faith for justice and love in relational spheres (politics, economics, marriage and family, gender relations). It also explores the ethical implications of central Christian doctrines (vocation, sin, grace, two kingdoms, creation). Issues raised include civil disobedience, use of lethal force, distributive justice, love and self-sacrifice, and gender roles. Prerequisite: a BTS-T course.",NA,"",NA,"['Douglas Schuurman']",200,"['BMC 101', 'BMC 101']","Love,Justice,Soc Rel","",296,"False","Prerequisite: a BTS-T course.","A",1,"C",20051,"['T 0935-1100', 'Th 0930-1050']","Love, Justice and Social Relations","Research",2005,24
"765",11018,1,1238,"['REL']","This course examines theological and ethical aspects of Christian social responsibility. It examines the meaning and normative import of Christian faith for justice and love in relational spheres (politics, economics, marriage and family, gender relations). It also explores the ethical implications of central Christian doctrines (vocation, sin, grace, two kingdoms, creation). Issues raised include civil disobedience, use of lethal force, distributive justice, love and self-sacrifice, and gender roles. Prerequisite: a BTS-T course.",NA,"",NA,"['Douglas Schuurman']",200,"['BMC 101', 'BMC 101']","Love,Justice,Soc Rel","",296,"False","Prerequisite: a BTS-T course.","B",1,"C",20051,"['T 1145-0110PM', 'Th 1245-0205PM']","Love, Justice and Social Relations","Research",2005,23
"791",11048,1,1289,"['SOAN']","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as Do we have a &human; nature'?, Why does social inequality exist?, What is race?, and How do societies change? In answering these questions students will learn to develop a sociological imagination. In doing so they will review the various research methods and theories that form the sociological tradition. Offered Fall and Spring Semesters.",NA,"",NA,"['Samiha Peterson']",100,"['SC 130', 'SC 130']","Intro to Sociology","",121,"False","False","A",1,"O",20051,"['T 0800-0925', 'Th 0800-0920']","Introduction to Sociology","Research",2005,23
"792",11049,1,1289,"['SOAN']","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as Do we have a &human; nature'?, Why does social inequality exist?, What is race?, and How do societies change? In answering these questions students will learn to develop a sociological imagination. In doing so they will review the various research methods and theories that form the sociological tradition. Offered Fall and Spring Semesters.",NA,"",NA,"['Samiha Peterson']",100,"['SC 130', 'SC 130']","Intro to Sociology","",121,"False","False","B",1,"O",20051,"['T 0935-1100', 'Th 0930-1050']","Introduction to Sociology","Research",2005,28
"793",11050,1,1289,"['SOAN']","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as Do we have a &human; nature'?, Why does social inequality exist?, What is race?, and How do societies change? In answering these questions students will learn to develop a sociological imagination. In doing so they will review the various research methods and theories that form the sociological tradition. Offered Fall and Spring Semesters.",NA,"",NA,"['Raymond DeVries']",100,"['HH 307', 'HH 307']","Intro to Sociology","",121,"False","False","C",1,"O",20051,"['T 0800-0925', 'Th 0800-0920']","Introduction to Sociology","Research",2005,28
"796",11053,1,1300,"['SOAN']","What do self-determination and cultural identity mean for Native American peoples today? Students examine the impact of colonization on Native American peoples, including federal policies, treaty rights and sovereignty. Issues include economy and politics on reservations, family and gender roles, orality and literacy, persistence and revitalization of religious life and culture, urban life and recent social movements and organizations. Offered Fall or Spring Semester.",NA,"",NA,"['Carolyn Anderson']",200,"['HH 301']","Contemp Native Am","",235,"False","False","A",1,"C",20051,"['MWF 1150-1245PM']","Contemporary Native American Issues","Research",2005,26
"797",11054,1,1300,"['SOAN']","What do self-determination and cultural identity mean for Native American peoples today? Students examine the impact of colonization on Native American peoples, including federal policies, treaty rights and sovereignty. Issues include economy and politics on reservations, family and gender roles, orality and literacy, persistence and revitalization of religious life and culture, urban life and recent social movements and organizations. Offered Fall or Spring Semester.",NA,"",NA,"['Carolyn Anderson']",200,"['HH 301']","Contemp Native Am","",235,"False","False","B",1,"C",20051,"['MWF 0200-0255PM']","Contemporary Native American Issues","Research",2005,19
"802",11059,1,1306,"['SOAN']","Students explore the continuing significance of color, class and immigration in the U.S., with a focus on the experiences and concerns of African-Americans, Native Americans, Hispanics/Latinos and Asian-Americans. The course examines the nature and functions of prejudice; the relationship among race, class and gender; the persistence of racism and inequality; and social policies and social movements intended to create greater social justice. Offered Fall Semester.",NA,"",NA,"['Grant P. Arndt']",200,"['HH 514']","Race/Class-Am Culture","",244,"False","False","A",1,"C",20051,"['MWF 1150-1245PM']","Race and Class in American Culture","Research",2005,30
"804",11061,1,1310,"['SOAN']","This course provides a social science understanding of the ""contemporary American family"" and analysis of marriage and family issues from a cross-cultural perspective. Students discuss issues of dating and mate selection, marital and parent-child relationships over the family life cycle, gender issues, work and family roles and problem-related issues affecting families (divorce, violence and death) caused by rapid changes in society. Offered Fall and Spring Semester.",NA,"",NA,"['Michael Leming']",200,"['OM 035']","Marriage & the Family","",260,"False","False","A",1,"C",20051,"['MWF 1255-0150PM']","Marriage and the Family","Research",2005,28
"805",11062,1,1310,"['SOAN']","This course provides a social science understanding of the ""contemporary American family"" and analysis of marriage and family issues from a cross-cultural perspective. Students discuss issues of dating and mate selection, marital and parent-child relationships over the family life cycle, gender issues, work and family roles and problem-related issues affecting families (divorce, violence and death) caused by rapid changes in society. Offered Fall and Spring Semester.",NA,"",NA,"['Michael Leming']",200,"['SH 001']","Marriage & the Family","",260,"False","False","B",1,"C",20051,"['MWF 1255-0150PM']","Marriage and the Family","Research",2005,31
"809",11066,1,1316,"['SOAN']","",NA,"",NA,"['Christopher L. Chiappari']",200,"","IS/Human Rights & Gender","",298,"False","False","",1,"O",20051,"","Independent Study","Research",2005,1
"817",11074,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Barbara Olson']",200,"['OM 020']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","A",1,"O",20051,"['MWF 0800-0855']","Intermediate Spanish I","Research",2005,22
"818",11075,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Maggie Broner']",200,"['OM 021']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","B",1,"O",20051,"['MWF 0905-1000']","Intermediate Spanish I","Research",2005,25
"819",11076,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Maggie Broner']",200,"['OM 021']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","C",1,"O",20051,"['MWF 1045-1140']","Intermediate Spanish I","Research",2005,24
"820",11077,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Kris A. Cropsey']",200,"['OM 021']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","D",1,"O",20051,"['MWF 1150-1245PM']","Intermediate Spanish I","Research",2005,24
"821",11078,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Kris A. Cropsey']",200,"['OM 021']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","E",1,"O",20051,"['MWF 1255-0150PM']","Intermediate Spanish I","Research",2005,27
"822",11079,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Juliet A. Lynd']",200,"['OM 004']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","F",1,"O",20051,"['MWF 1255-0150PM']","Intermediate Spanish I","Research",2005,24
"823",11080,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Juliet A. Lynd']",200,"['OM 021']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","G",1,"O",20051,"['MWF 0200-0255PM']","Intermediate Spanish I","Research",2005,24
"824",11081,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.",NA,"",NA,"['Kris A. Cropsey']",200,"['OM 021']","Intermed Spanish I","",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","H",1,"O",20051,"['MWF 0200-0255PM']","Intermediate Spanish I","Research",2005,24
"891",11289,1,1476,"['WMNST']","Required for the women's studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as women and men and a wider knowledge of the experiences and achievements of women.",NA,"",NA,"['Diane C. LeBlanc']",100,"['RML 420']","Intro Womens Studies","",121,"False","False","A",1,"C",20051,"['MWF 1150-1245PM']","Introduction to Women's Studies","Research",2005,20
"892",11290,1,1476,"['WMNST']","Required for the women's studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as women and men and a wider knowledge of the experiences and achievements of women.",NA,"",NA,"['Nancy M. Thompson']",100,"['DC 204', 'DC 204']","Intro Womens Studies","",121,"False","False","B",1,"C",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","Introduction to Women's Studies","Research",2005,20
"898",11296,1,1482,"['ARMS']","This course provides an introduction to the cultural and historical background of four groups in America: African Americans, Native Americans, Latinos and Asian Americans. Emphasis is on race relations and the distinguishing characteristics of these cultures as reflected in the academic disciplines of the creative and performing arts, the humanities, the social and behavioral sciences and the general area of popular culture. Contributions to cultural pluralism are accentuated as well as the special issues of identity faced by these Americans.",NA,"",NA,"['Joan Hepburn']",100,"['RML 577', 'RML 577']","Intro to Arms","",121,"False","False","",1,"C",20051,"['T 0120-0245PM', 'Th 0215-0335PM']","Introduction to American Racial and Multicultural Studies","Research",2005,26
"912",47710,1,1306,"['SOAN']","Students explore the continuing significance of color, class and immigration in the U.S., with a focus on the experiences and concerns of African-Americans, Native Americans, Hispanics/Latinos and Asian-Americans. The course examines the nature and functions of prejudice; the relationship among race, class and gender; the persistence of racism and inequality; and social policies and social movements intended to create greater social justice. Offered Fall Semester.",NA,"",NA,"['Grant P. Arndt']",200,"['HH 515']","Race/Class-Am Culture","",244,"False","False","B",1,"O",20051,"['MWF 0200-0255PM']","Race and Class in American Culture","Research",2005,21
