"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"20",11696,1,49,"['ART']","This course surveys the diverse arts produced by people of African descent in the Americas (U.S. and the Caribbean), from the colonial period to the present. An examination of selected West and Central African cultural practices and art forms serves as a basis for understanding creative transformations in the African Diaspora. Important issues to be addressed include art and resistance, survivals and transformations, and ideas about race and the construction of beauty.","",NA,"",NA,"['Heather M. Brooks-Shirey']",200,"['DC 305', 'DC 305']","Arts-African Diaspora",250,"False","False","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","The Arts of the African Diaspora","Research",2005,28
"21",11697,1,58,"['ART']","This course introduces the history of Japanese art, offering a survey of major artistic developments from neolithic times to the present. Among the topics to be considered: funerary remains of the neolithic through Kofun eras; indigenous as well as imported religious traditions and their imagery; and the secular arts. Issues to be discussed include production and patronage, function, and borrowing and influence in the evolution of artistic works.","",NA,"",NA,"['Karil J. Kucera']",200,"['DC 305', 'DC 305']","Arts of Japan",260,"False","False","",3,"C",20053,"['T 0120-0245PM', 'Th 0215-0335PM']","The Arts of Japan","Research",2005,31
"22",11698,1,59,"['ART']","This course examines architectural monuments and their symbolic forms combined with evidence of earthly and divine concepts. From cave dwellings to geodesic domes, from Eastern to Western systems, students review sacred and profane structures from a variety of cultures. Each student investigates a living reality of space, function, and form found in human-built environments.","",NA,"",NA,"['Matthew Rohn']",200,"['DC 305']","World Architecture",261,"False","False","",3,"C",20053,"['MWF 0905-1000']","History of World Architecture","Research",2005,27
"23",11699,1,68,"['ART']","","",NA,"",NA,"['Steven Edwins']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","","Research",2005,1
"24",11700,1,69,"['ART']","","",NA,"",NA,"['Wendell Arneson']",200,"","IS/Advanced Painting",298,"False","False","A",3,"O",20053,"","","Research",2005,3
"25",11701,1,71,"['ART']","This capstone course in the studio arts program consists of advanced studio work, a visiting artist series, weekly critiques, and discussions with faculty and peers. Each student's independent work with a faculty adviser culminates in a senior exhibition at Flaten Art Museum. Weekly sessions also cover such topics as preparing a resume, taking slides of one's work, framing and producing exhibition announcements and posters.","",NA,"",NA,"['Margaret Ojala']",300,"['DC 305']","Sr Studies/Studio Art",343,"False","False","",3,"C",20053,"['M 0700-1000PM']","Senior Studies in Studio Art","Research",2005,53
"26",11702,1,72,"['ART']","This seminar explores methods by which art historians and curators analyze works of art. Students develop an advanced understanding of these methods by application of various methods to works of art, by examining historical factors surrounding principle movements in the study of art history and by engaging in lively class debates about them. Readings, discussions and presentations culminate in an independent research project that allows each student to find his or her own place in the discipline. Prerequisite: two upper division courses in art history. GE: ORC.","",NA,"",NA,"['Nancy M. Thompson']",300,"['DC 204']","Methods of Art Hist",350,"False","Prerequisite: two upper division courses in art history. GE: ORC.","",3,"C",20053,"['Th 0700-1000PM']","The Methods of Art History","Research",2005,14
"27",11703,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship",394,"True","False","",3,"O",20053,"","","Research",2005,0
"28",11704,1,75,"['ART']","Prerequisites: three courses in area of study.","",NA,"",NA,"['Staff']",300,"","IR/",398,"False","Prerequisites: three courses in area of study.","",3,"O",20053,"","Independent Research: Art History","Research",2005,0
"29",11705,1,77,"['ASIAN']","This is a history seminar to help students understand the impact that the West and East Asia have had on each other from the beginning of sustained contact in the 16th century to the end of World War II. Students read about and discuss the impact of Christian missionaries, the economic role of trade and the political and military challenge of Western expansionism beginning with the Opium War. Prerequisite: Asian Studies 111 or permission of the instructor.","",NA,"",NA,"['Robert Entenmann']",100,"['HH 515', 'HH 515']","East Asia & the West",112,"False","Prerequisite: Asian Studies 111 or permission of the instructor.","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations: East Asia and the West","Research",2005,19
"30",11706,1,78,"['ASIAN']","This course examines major cultures of South, Southeast and East Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles and medicine and healing traditions. No prerequisites.","",NA,"",NA,"['Barbara Reed']",100,"['BMC 111']","Asian Cultures",121,"False","False","",3,"O",20053,"['MWF 1255-0150PM']","Asian Cultures in Comparative Perspectives","Research",2005,37
"31",11707,1,91,"['ASIAN']","This course highlights major visual arts movements within China over the last century, from the end of the imperial era to current times. We look at a variety of issues: class and gender; China in the world art market; Chinese art past and present; and a variety of ""isms"" now seen as defining Chinese art. A major theme is to define visual culture in all its nuances.","",NA,"",NA,"['Karil J. Kucera']",200,"['DC 204', 'DC 204']","Vis Cult/Modern China",270,"False","False","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Visual Culture of Modern China","Research",2005,23
"33",11709,1,93,"['ASIAN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","","Research",2005,0
"34",11710,1,94,"['ASIAN']","","",NA,"",NA,"['Pin Pin Wan']",200,"","IS/Chinese Social Work",298,"False","False","",3,"O",20053,"","Independent Study","Research",2005,1
"35",11711,1,96,"['ASIAN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship",394,"True","False","",3,"O",20053,"","","Research",2005,0
"36",11712,1,97,"['ASIAN']","","",NA,"",NA,"['Staff']",300,"","IR/",398,"False","False","",3,"O",20053,"","Independent Research","Research",2005,0
"55",11747,1,177,"['AMCON']","In this century of institutional development, national expansion and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts include Transcendentalist writers, the Second Great Awakening, Black Elk Speaks, landscape painting and Western photography.","",NA,"",NA,"['L. DeAne Lagerquist']",100,"['BMC 101']","Dem Vistas: 1800-1900",102,"False","False","A",3,"O",20053,"['MWF 0905-1000']","Democratic Vistas, 1800-1900","Research",2005,15
"56",11748,1,177,"['AMCON']","In this century of institutional development, national expansion and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts include Transcendentalist writers, the Second Great Awakening, Black Elk Speaks, landscape painting and Western photography.","",NA,"",NA,"['Carol Holly']",100,"['BMC 101']","Dem Vistas: 1800-1900",102,"False","False","B",3,"C",20053,"['MWF 0905-1000']","Democratic Vistas, 1800-1900","Research",2005,20
"57",11749,1,179,"['AMCON']","Students in this course examine technology, the mass market and consumerism, and the increasingly complex relation between identity and material goods. They will also explore the images, institutions and stories of enviornmental, feminist and Civil War culture. Topics and texts include Yosemite national Park, Japenese internment camps, Adrienne Rich's poetry and prose, Freedom Summer, Las Vegas and the Mall of America.","",NA,"",NA,"['Mary Titus']",200,"['RML 525']","Pur/Happiness: 1920-00",202,"False","False","A",3,"O",20053,"['MWF 1255-0150PM']","Pursuits of Happiness, 1920-2000","Research",2005,18
"58",11750,1,179,"['AMCON']","Students in this course examine technology, the mass market and consumerism, and the increasingly complex relation between identity and material goods. They will also explore the images, institutions and stories of enviornmental, feminist and Civil War culture. Topics and texts include Yosemite national Park, Japenese internment camps, Adrienne Rich's poetry and prose, Freedom Summer, Las Vegas and the Mall of America.","",NA,"",NA,"['Eric J. Fure-Slocum']",200,"['RML 421']","Pur/Happiness: 1920-00",202,"False","False","B",3,"C",20053,"['MWF 1255-0150PM']","Pursuits of Happiness, 1920-2000","Research",2005,21
"99",11791,1,230,"['CLASS']","Students journey back to the 5th century B.C., as the Athenians emerge triumphant from the Persian Wars and develop the ""Golden Age of Greece. Studying the history, literature and art of ancient Athens helps students understand the uniqueness of that city-state and its lasting contributions to Western civilization. GE: HWC, ALS-L. Offered in alternate years.","",NA,"",NA,"['Christopher M. Brunelle']",200,"['HH 501', 'HH 501']","Golden Age Greece-Tr",243,"False","False","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","The Golden Age of Greece","Research",2005,39
"100",11792,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","","Research",2005,0
"101",11793,1,234,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","IS/",298,"False","False","",3,"O",20053,"","Independent Study","Research",2005,0
"102",11794,1,235,"['CLASS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship",394,"True","False","",3,"O",20053,"","","Research",2005,0
"103",11795,1,236,"['CLASS']","","",NA,"",NA,"['Steve T. Reece']",300,"","IR/Theol Ancient Emotion",398,"False","False","",3,"O",20053,"","Independent Research","Research",2005,1
"104",11796,1,239,"['CHIN']","This course offers an introduction to speaking, reading and writing Chinese, as well as mastery of basic grammar and command of 500 characters for reading and writing. Class meets four times weekly. Individual language laboratory visits are also required. Prerequisite: Chinese 111 or equivalent.","",NA,"",NA,"['Richard Bodman']",100,"['OM 001']","Beginning Chinese II",112,"False","Prerequisite: Chinese 111 or equivalent.","A",3,"O",20053,"['MWF 0905-1000']","","Research",2005,11
"105",11797,1,239,"['CHIN']","This course offers an introduction to speaking, reading and writing Chinese, as well as mastery of basic grammar and command of 500 characters for reading and writing. Class meets four times weekly. Individual language laboratory visits are also required. Prerequisite: Chinese 111 or equivalent.","",NA,"",NA,"['Richard Bodman']",100,"['OM 001']","Beginning Chinese II",112,"False","Prerequisite: Chinese 111 or equivalent.","B",3,"O",20053,"['MWF 1150-1245PM']","","Research",2005,13
"106",11800,1,243,"['CHIN']","Students continue to develop listening and reading comprehension and use of basic structures through speaking and writing. The vocabulary for reading and writing increases to 1,000 characters. Class meets four times weekly. Individual language laboratory visits are also required. Prerequisite: Chinese 231 or equivalent.","",NA,"",NA,"['Pin Pin Wan']",200,"['OM 001']","Intermed Chinese II",232,"False","Prerequisite: Chinese 231 or equivalent.","",3,"O",20053,"['MWF 1045-1140']","Intermediate Chinese II","Research",2005,9
"107",11801,1,246,"['CHIN']","This course provides continued practice in speaking, reading and writing at the third-year level. Our text introduces students to Chinese geography and history and modern written style. Conducted entirely in Chinese. These courses are recommended for students seeking a concentration in Chinese language. Prerequisite: Chinese 232 or equivalent.","",NA,"",NA,"['Pin Pin Wan']",200,"['OM 002']","Advanced Chinese II",252,"False","Prerequisite: Chinese 232 or equivalent.","",3,"C",20053,"['MWF 0905-1000']","","Research",2005,9
"108",11802,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","","Research",2005,0
"109",11803,1,249,"['CHIN']","","",NA,"",NA,"['Richard Bodman']",200,"","IS/Adv Reading in Chinese",298,"False","False","",3,"O",20053,"","Independent Study","Research",2005,2
"110",11804,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship",394,"True","False","",3,"O",20053,"","","Research",2005,0
"111",11805,1,252,"['CHIN']","Students who have completed Chinese 371 are encouraged to continue their Chinese language study with faculty through individual and small group tutorials by registering for Chinese 298 or Chinese 398. Through individual tutorials students may pursue readings and projects in their area of interest.","",NA,"",NA,"['Staff']",300,"","IR/",398,"False","False","",3,"O",20053,"","Independent Research","Research",2005,0
"112",11806,1,259,"['ECON']","This course takes an analytical approach to economic reasoning and contemporary issues. Offered each semester, the course introduces microeconomic and macroeconomic theories with applications to relevant issues, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers.","",NA,"",NA,"['Xun Pomponio']",100,"['HH 301']","Principles of Econ",121,"False","False","A",3,"O",20053,"['MWF 1150-1245PM']","Principles of Economics","Research",2005,16
"113",11807,1,259,"['ECON']","This course takes an analytical approach to economic reasoning and contemporary issues. Offered each semester, the course introduces microeconomic and macroeconomic theories with applications to relevant issues, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers.","",NA,"",NA,"['Mary Ann Emery']",100,"['SC 274']","Principles of Econ",121,"False","False","B",3,"C",20053,"['MWF 0905-1000']","Principles of Economics","Research",2005,30
"114",11808,1,259,"['ECON']","This course takes an analytical approach to economic reasoning and contemporary issues. Offered each semester, the course introduces microeconomic and macroeconomic theories with applications to relevant issues, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers.","",NA,"",NA,"['Terry J. Fitzgerald']",100,"['SC 186', 'SC 186']","Principles of Econ",121,"False","False","C",3,"C",20053,"['T 0800-0925', 'Th 0800-0920']","Principles of Economics","Research",2005,20
"115",11809,1,259,"['ECON']","This course takes an analytical approach to economic reasoning and contemporary issues. Offered each semester, the course introduces microeconomic and macroeconomic theories with applications to relevant issues, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers.","",NA,"",NA,"['Terry J. Fitzgerald']",100,"['SC 186', 'SC 186']","Principles of Econ",121,"False","False","D",3,"C",20053,"['T 0935-1100', 'Th 0930-1050']","Principles of Economics","Research",2005,22
"116",11810,1,259,"['ECON']","This course takes an analytical approach to economic reasoning and contemporary issues. Offered each semester, the course introduces microeconomic and macroeconomic theories with applications to relevant issues, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers.","",NA,"",NA,"['Mark Pernecky']",100,"['SC 278', 'SC 278']","Principles of Econ",121,"False","False","E",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Principles of Economics","Research",2005,23
"117",11812,1,263,"['ECON']","","",NA,"",NA,"['Terry J. Fitzgerald']",200,"['HH 413', 'HH 413']","Intro to Game Theory",222,"False","False","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2005,29
"118",11813,1,264,"['ECON']","This course develops the methodological framework which guides economic inquiry, while it reviews mathematical fundamentals and develops quantitative skills used in core courses of the major. Students learn to apply mathematical optimization to economic problems. This course may substitute for the second required math course if taken prior to the core courses; it does not count toward the major. Prerequisites: one of Economics 110-122 and Math 110, 120, or 122. Offered each semester.","",NA,"",NA,"['Edward David Emery']",200,"['HH 307']","Economic Methods",233,"False","Prerequisites: one of Economics 110-122 and Math 110, 120, or 122. Offered each semester.","",3,"O",20053,"['MWF 0800-0855']","","Research",2005,22
"119",11814,1,269,"['ECON']","Students in this course gain a critical understanding of several forms of government regulation by studying antitrust, old-style regulation and issues in consumer and workplace safety. Students examine such intervention from both historical and economic perspectives, by participating in oral and written cases arguing opposing sides on historical and modern issues ranging from Standard Oil (1911) to the regulation of nuclear power. Prerequisite: one of Economics 110-122 or consent of the instructor. Offered annually.","",NA,"",NA,"['Anthony Becker']",200,"['OM 004']","Bus, Govt & Marketpl",244,"False","Prerequisite: one of Economics 110-122 or consent of the instructor. Offered annually.","",3,"C",20053,"['MWF 1045-1140']","Business, Government and the Marketplace","Research",2005,24
"120",11816,1,274,"['ECON']","This course addresses the economic institutions and forces that determine levels of income, output, employment and prices in our society. Questions related to employment prospects and standard of living provide an important focus. Classical and Keynesian perspectives are employed in attempting to understand these matters, the macroeconomics problems in market economies and the policies that economists prescribe as remedies for these problems. Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","",NA,"",NA,"['Paul Wojick']",200,"['HH 403']","Macroeconomic Theory",261,"False","Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","A",3,"C",20053,"['MWF 0800-0855']","Intermediate Macroeconomic Theory","Research",2005,25
"121",11817,1,274,"['ECON']","This course addresses the economic institutions and forces that determine levels of income, output, employment and prices in our society. Questions related to employment prospects and standard of living provide an important focus. Classical and Keynesian perspectives are employed in attempting to understand these matters, the macroeconomics problems in market economies and the policies that economists prescribe as remedies for these problems. Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","",NA,"",NA,"['Paul Wojick']",200,"['HH 403']","Macroeconomic Theory",261,"False","Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","B",3,"C",20053,"['MWF 0905-1000']","Intermediate Macroeconomic Theory","Research",2005,25
"122",11818,1,275,"['ECON']","Microeconomics is the study of the resource allocation decisions by households, producers and firms and the resources allocation process in various types of market structures. Students are trained in the use of economic models and optimizing techniques to address a variety of real-world problems, including case studies from business and public policy. Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","",NA,"",NA,"['Edward David Emery']",200,"['HH 403']","Microeconomic Theory",262,"False","Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","A",3,"O",20053,"['MWF 1045-1140']","Intermediate Microeconomic Theory","Research",2005,21
"123",11819,1,275,"['ECON']","Microeconomics is the study of the resource allocation decisions by households, producers and firms and the resources allocation process in various types of market structures. Students are trained in the use of economic models and optimizing techniques to address a variety of real-world problems, including case studies from business and public policy. Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","",NA,"",NA,"['Edward David Emery']",200,"['HH 403']","Microeconomic Theory",262,"False","Prerequisites: Calculus I and one of Economics 110-122, or consent of the instructor. Offered each semester.","B",3,"O",20053,"['MWF 1150-1245PM']","Intermediate Microeconomic Theory","Research",2005,22
"124",11820,1,276,"['ECON']","","",NA,"",NA,"['Staff']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","","Research",2005,0
"125",11821,1,277,"['ECON']","","",NA,"",NA,"['Staff']",200,"","IS/",298,"False","False","",3,"O",20053,"","Independent Study","Research",2005,0
"126",11822,1,278,"['ECON']","Government action affects us all. We pay taxes; we use public roads, schools and parks. Some prices we pay are lower due to government subsidies; others are higher due to taxes. Government actions influence both the efficiency of our economy and the equity and equality within our society. Students learn valuable analytical tools for evaluating public projects, tax policies, entitlement programs and voting behavior. Prerequisite: Economics 262, Statistics 263 or Mathematics 312, or consent of instructor. Offered annually.","",NA,"",NA,"['Rebecca Judge']",300,"['HH 302', 'HH 302']","Econ of Public Policy",371,"False","Prerequisite: Economics 262, Statistics 263 or Mathematics 312, or consent of instructor. Offered annually.","",3,"O",20053,"['T 0120-0245PM', 'Th 0215-0335PM']","Economics of Public Policy","Research",2005,14
"127",11823,1,279,"['ECON']","This course addresses the institutions that comprise modern monetary systems and the influence that these systems have on levels of income, output, employment and prices in market economies. Monetary theory and monetary policy, including both the nature of our central bank and the role that it plays in our monetary system, are also addressed in some detail. Prerequisite: Economics 261 and Statistics 263 or Mathematics 312, or consent of instructor. Offered annually.","",NA,"",NA,"['Paul Wojick']",300,"['HH 403']","Money and Banking",374,"False","Prerequisite: Economics 261 and Statistics 263 or Mathematics 312, or consent of instructor. Offered annually.","",3,"O",20053,"['MWF 0200-0255PM']","","Research",2005,15
"128",11824,1,280,"['ECON']","What do workers want from work? What do employers want from workers? Pressing policy issues exist for workers competing in the global economy. Unions, unemployment insurance, welfare and the minimum wage enhance the prospects of many, while leaving others even worse off. This course utilizes microeconomic theory, statistics and institutional analysis to understand labor markets. Prerequisites: Economics 262 and Statistics 263 or Mathematics 312, or consent of instructor. Offered annually.","",NA,"",NA,"['Mark Pernecky']",300,"['HH 301', 'HH 301']","Labor Econ/Empl Rel",376,"False","Prerequisites: Economics 262 and Statistics 263 or Mathematics 312, or consent of instructor. Offered annually.","",3,"O",20053,"['T 0935-1100', 'Th 0930-1050']","Labor Economics and Employment Relations","Research",2005,6
"129",11825,1,281,"['ECON']","This course offers the students an integrated approach of theory, policy and enterprise to understand international trade and investment. The course focuses on the costs and benefits of global economic interdependence for students who plan to enter an international business career or to work for government and international organizations in activities affected by international economic relations. Prerequisite: Economics 261, 262, or consent of instructor. Offered each semester.","",NA,"",NA,"['Xun Pomponio']",300,"['HH 301']","International Econ",382,"False","Prerequisite: Economics 261, 262, or consent of instructor. Offered each semester.","",3,"O",20053,"['MWF 1255-0150PM']","International Economics","Research",2005,20
"130",11826,1,283,"['ECON']","","",NA,"",NA,"['Staff']",300,"","Senior Project",389,"False","False","",3,"O",20053,"","","Research",2005,0
"131",11827,1,284,"['ECON']","","",NA,"",NA,"['Staff']",300,"","Academic Internship",394,"True","False","",3,"O",20053,"","Internship","Research",2005,0
"132",11828,1,285,"['ECON']","","",NA,"",NA,"['Anthony Becker']",300,"","IR/Econ Education & Stat",398,"False","False","",3,"O",20053,"","Independent Research","Research",2005,1
"145",11841,1,311,"['EDUC']","Students study theories and research into human behavior, growth and development. Through lectures, discussions, case studies and field experiences, students analyze the impact of applied psychological principles upon educational institutions and human social behavior. Students also examine the interaction between individual characteristics and needs and political, economic and philosophical issues confronting contemporary American students. Required 20-hour school experience. Prerequisite: Spring Semester sophomore standing. Offered both semesters.","",NA,"",NA,"['John Welckle']",200,"['FH 010']","Educ Psychology",290,"False","Prerequisite: Spring Semester sophomore standing. Offered both semesters.","A",3,"O",20053,"['MWF 0905-1000']","Educational Psychology","Research",2005,25
"146",11842,1,311,"['EDUC']","Students study theories and research into human behavior, growth and development. Through lectures, discussions, case studies and field experiences, students analyze the impact of applied psychological principles upon educational institutions and human social behavior. Students also examine the interaction between individual characteristics and needs and political, economic and philosophical issues confronting contemporary American students. Required 20-hour school experience. Prerequisite: Spring Semester sophomore standing. Offered both semesters.","",NA,"",NA,"['Robert W. McClure']",200,"['FH 010']","Educ Psychology",290,"False","Prerequisite: Spring Semester sophomore standing. Offered both semesters.","B",3,"C",20053,"['MWF 1045-1140']","Educational Psychology","Research",2005,29
"147",11843,1,311,"['EDUC']","Students study theories and research into human behavior, growth and development. Through lectures, discussions, case studies and field experiences, students analyze the impact of applied psychological principles upon educational institutions and human social behavior. Students also examine the interaction between individual characteristics and needs and political, economic and philosophical issues confronting contemporary American students. Required 20-hour school experience. Prerequisite: Spring Semester sophomore standing. Offered both semesters.","",NA,"",NA,"['Daniel R. Forstner']",200,"['FH 010', 'FH 010']","Educ Psychology",290,"False","Prerequisite: Spring Semester sophomore standing. Offered both semesters.","C",3,"O",20053,"['T 0935-1100', 'Th 0930-1050']","Educational Psychology","Research",2005,29
"152",11848,1,313,"['EDUC']","","",NA,"",NA,"['Staff']",200,"","Academic Internship",294,"True","False","",3,"O",20053,"","","Research",2005,0
"153",11849,1,314,"['EDUC']","","",NA,"",NA,"['Daniel R. Forstner']",200,"","IS/Diverse Learners",298,"False","False","",3,"O",20053,"","Independent Study","Research",2005,1
