"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"269",84173,1,19734,"['NORW']","Recently there has been an explosion in Nordic literature translated into English, providing unprecedented access to contemporary literary texts produced in Norway, Sweden, Denmark, Finland, and Iceland. In this course students read and analyze contemporary Nordic literary texts and examine those societies through a literary perspective. Sample topics: ""Murder Nordic Style: Contemporary Crime Fiction"" and ""Gender and Nordic Society."" Taught in English. Offered most years.","['ALS-L']",NA,"","[""Margaret H. O'Leary""]",200,"['TOH 210']","Top: Nordic Crime Fiction","Open to first-year students.",224,"False","False","",2,"C",20122,"['M-F 0100-0300PM']","Topics in Contemporary Nordic Literature: A Window on Society","Topic",2012,30
"273",85810,1,225,"['CLASS']","This course introduces students to the wild and wacky world of ancient Greek and Roman comedy. It traces the development of the genre with discussion of how the plays were produced in antiquity and what influence they exerted on the drama of later centuries. Students read works by Aristophanes, Menander, Plautus, and Terence and stage selected scenes. Offered periodically during Interim. Counts towards ancient studies major.","['ALS-L', 'ORC']",NA,"","['Anne Groton']",100,"['TOH 212']","Ancient Comedy-Tr","",126,"False","False","",2,"C",20122,"['M-F 1040-1240PM']","Ancient Comedy: A Funny Thing Happened","Research",2012,40
"281",85897,1,80,"['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences, and communication styles. The course is taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation), and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures, and discussions are all in English.","['MCG']",NA,"","['Rika Ito']",100,"['OM 240']","Japanese Lang/Society","",126,"False","False","",2,"O",20122,"['M-F 1040-1240PM']","Japanese Language in Society","Research",2012,11
"285",85903,1,150,"['BIO']","Intensive study of the biology that created the Bahamas and that now constitutes the living structure of these islands. Staying at the Gerace Research Center provides access to a diversity of marine and terrestrial habitats including coral reefs, seagrass beds, mangrove forests, hypersaline ponds, limestone caverns, and the ""blue-holes"" that connect inland waterways to the sea. The Gerace Research Center is located on San Salvador Island. Counts toward major: Biology. Prerequisite: Biology 125 and 126 or Chemistry/Biology 125-127 and Biology 126 or permission of instructor. Offered during Interim.","",NA,"","['Jean C. Porterfield']",200,"","Island Biology","This is an off-campus course.",287,"False","Prerequisite: Biology 125 and 126 or Chemistry/Biology 125-127 and Biology 126 or permission of instructor. Offered during Interim.","",2,"C",20122,"","Island Biology in the Bahamas","Research",2012,16
"292",85928,1,25192,"['ENGL']","This course examines the Beat movement in American literature and culture from its emergence in the 1950s to its various literary, musical, and social outgrowths in the 1960s and after. Students read works by Kerouac, Ginsberg, Ferlinghetti, Snyder, DiPrima, and others; trace connections between the literature and such topics as the Cold War and gay rights; and examine the influence of the Beats on popular music, visual art, and film. Prerequisite: FYW. Offered periodically.","['ALS-L']",NA,"","['Colin Wells']",200,"['RML 525']","Beat Generation","",261,"False","Prerequisite: FYW. Offered periodically.","",2,"C",20122,"['M-F 0100-0300PM']","The Beat Generation","Research",2012,31
"296",85937,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants. Offered annually. Counts towards American studies major.","['HBS', 'MCD']",NA,"","['Joshua Anderson']",100,"['TOH 210']","American Politics","",111,"False","False","",2,"C",20122,"['M-F 1040-1240PM']","","Research",2012,35
"305",86147,1,600,"['HIST']","Students explore the experiences of women in both religious and secular life from the period of the late Roman Empire through the 15th century. Topics include women's roles in the early church, changes in the status of women from the late Roman Empire through the Carolingian period, women's monasticism, marriage and the family in the feudal system, courtly love, and late medieval spirituality. Offered alternate years during Interim. Counts toward women's and gender studies major and concentration.","['HWC']",NA,"","['J. L. Carrington']",200,"['HH 317']","Women/Medieval Europe","",237,"False","False","",2,"C",20122,"['M-F 0100-0300PM']","Women in Medieval Europe","Research",2012,38
"307",86297,1,1223,"['REL']","This course traces the influences of religion in Rome as it was gradually transformed from the capital city of a pagan empire into the administrative center of Catholic Christianity. Students conduct a selective comparison of ancient, medieval, renaissance, baroque and modern religion through visits to historical sites, churches, museums and contemporary cultural events in Rome and to other Italian cities that interacted with Rome. Prerequisite: BTS-B. Offered during Interim.","['HWC']",NA,"","['Elizabeth C. Galbraith']",200,"","Religion/Culture/Rome","This is an off-campus course.",259,"False","Prerequisite: BTS-B. Offered during Interim.","",2,"C",20122,"","Religion, the Visual Arts, and Culture in Rome","Research",2012,21
"310",86344,1,25613,"['ENGL']","Students explore a little known dimension of Hemmingway--his life-long fascination with Africa--by traveling where he traveled and reading his writings about those places. Readings include Hemingway's Green Hills of Africa, ""The Snows of Kilimanjaro,"" ""The Short Happy Life of Francis Macomber,"" and Under Kilimanjaro. Through folklore and additional readings by western and East African authors, students experience and learn about the cultures Hemingway encountered and wrote about. Prerequisite: FYW. Offered alterate years during Interim.","['ALS-L']",NA,"","['Joseph L. Mbele']",200,"","Hemingway in East Africa","This is an off-campus course. New course",211,"False","Prerequisite: FYW. Offered alterate years during Interim.","",2,"C",20122,"","","Research",2012,29
"311",86364,1,25614,"['SWRK']","Students study historical and contemporary realities of race, social class, health, welfare, and human rights in South Africa. This dynamic society provides unique opportunities to study the challenges and successes of inclusion, respect, and reconciliation in the post-Apartheid era. Students travel to three regions and meet with public, private, and community-based organizations. Special emphasis is on the status of women and children. Prerequisite: one course in political science, sociology/anthropology, social work, economics, psychology, family studies, or women's and gender studies. Offered occasionally during Interim.","['MCG']",NA,"","['Mary Carlsen']",200,"","Social Realities S Africa","This is an off-campus course. New course",280,"False","Prerequisite: one course in political science, sociology/anthropology, social work, economics, psychology, family studies, or women's and gender studies. Offered occasionally during Interim.","",2,"C",20122,"","Social Realities in South Africa","Research",2012,24
"313",86397,1,1207,"['REL']","Students read Pauline letters carefully for their major issues, such as apocalyptic, gospel, apostleship, Jew and Gentile, faith, Torah, community. Considering Paul in the context of his times and Paul in the context of later Christianity, students discuss topics such as Jews and Christians, men and women, creation, grace in Paul and present-day experience. Prerequisite: BTS-B. Counts towards ancient studies major.","['BTS-T']",NA,"","['Judith Stack-Nelson']",200,"['OM 10']","St. Paul/Letter/Gospel","",223,"False","Prerequisite: BTS-B. Counts towards ancient studies major.","",2,"C",20122,"['M-F 0100-0300PM']","Paul: His Letters, His Gospel","Research",2012,34
"320",87073,1,19727,"['ASIAN']","This core course of Asian Studies introduces students to modern Chinese literature and society. It examines canonical and popular works of Chinese writings including fiction, drama, autobiography, correspondences, and poetry written in classical and modern styles from the late nineteenth century to the early twenty-first century. Films also serve as supplementary material when appropriate. Students read texts in translation and approach them in the context of modern Chinese society. They also study the literature as it reflects China's interaction with the West and the country's struggle to define itself as a modern nation. Offered annually.","['ALS-L', 'MCG', 'WRI']",NA,"","['Luying Chen']",200,"['TOH 316']","Modern Chinese Lit & Soc","",237,"False","False","",2,"C",20122,"['M-F 1040-1240PM']","Modern Chinese Literature and Society","Research",2012,18
"331",87840,1,26499,"['ENGL']","","['ALS-L', 'WRI']",NA,"","['Rebecca S. Richards']",200,"['BMC 101']","Topics: Gender and Lit","New course",264,"False","False","A",2,"C",20122,"['M-F 0100-0300PM']","","Research",2012,18
"347",88051,1,26499,"['ENGL']","","['ALS-L', 'WRI']",NA,"R","['Sarah B. Stein']",200,"['BMC 102']","Topics: Gender and Lit","",264,"False","False","B",2,"C",20122,"['M-F 0100-0300PM']","","Research",2012,18
"366",90979,1,1316,"['SOAN']","","",NA,"","['Thomas A. Williamson']",200,"","IS/Gender in Thailand","",298,"False","False","A",2,"C",20122,"","Independent Study","Research",2012,1
