"","clbid","credits","crsid","departments","description","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"144",9270,1,233,"['CLASS']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"145",9271,1,234,"['CLASS']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"146",9272,1,235,"['CLASS']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"147",9273,1,236,"['CLASS']","",NA,"['Anne Groton']",300,"","IR/Anc Epic in Cntxt","",398,"False","False","",3,"O",20043,"","","Research",2004,1
"148",9274,1,236,"['CLASS']","",NA,"['Tarik Wareh']",300,"","IR/Plato's Letters","",398,"False","False","A",3,"O",20043,"","","Research",2004,1
"149",9275,1,239,"['CHIN']","",NA,"['Richard Bodman']",100,"['OM 001', 'OM 001']","Beginning Chinese II","",112,"False","False","A",3,"O",20043,"['MWF 0905-1000', 'T 0800-0925']","","Research",2004,2
"150",9276,1,239,"['CHIN']","",NA,"['Richard Bodman']",100,"['OM 001', 'OM 001']","Beginning Chinese II","",112,"False","False","B",3,"O",20043,"['MWF 1150-1245PM', 'T 0935-1100']","","Research",2004,6
"151",9277,1,239,"['CHIN']","",NA,"['Richard Bodman']",100,"['OM 001', 'OM 001']","Beginning Chinese II","",112,"False","False","C",3,"O",20043,"['MWF 0905-1000', 'T 0935-1100']","","Research",2004,6
"152",9278,1,239,"['CHIN']","",NA,"['Richard Bodman']",100,"['OM 001', 'OM 001']","Beginning Chinese II","",112,"False","False","D",3,"O",20043,"['MWF 1150-1245PM', 'T 0800-0925']","","Research",2004,6
"153",9279,1,243,"['CHIN']","",NA,"['Pin Pin Wan']",200,"['OM 001', 'OM 002', 'OM 002']","Intermed Chinese II","",232,"False","False","",3,"O",20043,"['MWF 1045-1140', 'T 1005-1100', 'Th 0955-1050']","","Research",2004,16
"154",9280,1,246,"['CHIN']","",NA,"['Pin Pin Wan']",200,"['OM 003']","Advanced Chinese II","",252,"False","False","",3,"O",20043,"['MWF 0905-1000']","","Research",2004,8
"155",9281,1,248,"['CHIN']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"156",9282,1,249,"['CHIN']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"157",9283,1,251,"['CHIN']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"158",9284,1,252,"['CHIN']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"159",9285,1,259,"['ECON']","",NA,"['Siriwan Chutikamoltham']",100,"['SC 170', 'SC 170']","Principles of Econ","",121,"False","False","A",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,24
"160",9286,1,259,"['ECON']","",NA,"['Mary Ann Emery']",100,"['HH 413']","Principles of Econ","",121,"False","False","B",3,"C",20043,"['MWF 0905-1000']","","Research",2004,28
"161",9287,1,259,"['ECON']","",NA,"['Daniel B. Kramer']",100,"['HH 413']","Principles of Econ","",121,"False","False","C",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,28
"162",9288,1,259,"['ECON']","",NA,"['Terry J. Fitzgerald']",100,"['SC 184', 'SC 184']","Principles of Econ","",121,"False","False","D",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,22
"163",9289,1,259,"['ECON']","",NA,"['Terry J. Fitzgerald']",100,"['HH 403', 'HH 403']","Principles of Econ","",121,"False","False","E",3,"C",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,27
"164",9290,1,263,"['ECON']","",NA,"['Daniel B. Kramer']",200,"['HH 501']","Intro to Game Theory","",222,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,38
"165",9291,1,264,"['ECON']","",NA,"['Edward David Emery']",200,"['HH 516']","Economic Methods","",233,"False","False","",3,"O",20043,"['MWF 1150-1245PM']","","Research",2004,16
"166",9292,1,268,"['ECON']","",NA,"['David Schodt']",200,"['SC 184', 'SC 184']","Economic Development","",243,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,27
"167",9293,1,269,"['ECON']","",NA,"['Anthony Becker']",200,"['HH 413', 'HH 413']","Bus, Govt & Marketpl","",244,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,21
"168",9294,1,271,"['ECON']","",NA,"['Paul Wojick']",200,"['HH 413', 'HH 413']","History Econ Thought","",247,"False","False","",3,"C",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,28
"169",9295,1,274,"['ECON']","",NA,"['Mark Pernecky']",200,"['HH 501', 'HH 501']","Macroeconomic Theory","",261,"False","False","A",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,21
"170",9296,1,274,"['ECON']","",NA,"['Mark Pernecky']",200,"['OM 031', 'OM 031']","Macroeconomic Theory","",261,"False","False","B",3,"O",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,15
"171",9297,1,275,"['ECON']","",NA,"['Edward David Emery']",200,"['HH 403']","Microeconomic Theory","",262,"False","False","A",3,"O",20043,"['MWF 0800-0855']","","Research",2004,14
"172",9298,1,275,"['ECON']","",NA,"['Edward David Emery']",200,"['HH 403']","Microeconomic Theory","",262,"False","False","B",3,"C",20043,"['MWF 0905-1000']","","Research",2004,22
"173",9299,1,276,"['ECON']","",NA,"['Mary Ann Emery']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,1
"174",9300,1,277,"['ECON']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"175",9301,1,278,"['ECON']","",NA,"['Rebecca Judge']",300,"['HH 515']","Econ of Public Policy","",371,"False","False","",3,"O",20043,"['MWF 0905-1000']","","Research",2004,14
"176",9302,1,279,"['ECON']","",NA,"['Terry J. Fitzgerald']",300,"['HH 515', 'HH 515']","Money and Banking","",374,"False","False","",3,"O",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,9
"177",9303,1,281,"['ECON']","",NA,"['Veronika Dolar']",300,"['HH 403']","International Econ","",382,"False","False","",3,"O",20043,"['M 0700-1000PM']","","Research",2004,13
"178",9304,1,283,"['ECON']","",NA,"['Staff']",300,"","Senior Project","",389,"False","False","",3,"O",20043,"","","Research",2004,0
"179",9305,1,284,"['ECON']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"180",9306,1,285,"['ECON']","",NA,"['Mark Pernecky']",300,"","IR/Keynesian/Fascism","",398,"False","False","",3,"O",20043,"","","Research",2004,1
"181",9307,1,285,"['ECON']","",NA,"['Anthony Becker']",300,"","IR/Adv Time-Ser Anlys","",398,"False","False","A",3,"O",20043,"","","Research",2004,1
"182",9308,1,285,"['ECON']","",NA,"['Terry J. Fitzgerald']",300,"","IR/Economic Rebounds","",398,"False","False","B",3,"O",20043,"","","Research",2004,1
"198",9324,1,311,"['EDUC']","",NA,"['Robert W. McClure']",200,"['FH 10']","Educ Psychology","",290,"False","False","A",3,"O",20043,"['MWF 0905-1000']","","Research",2004,22
"199",9325,1,311,"['EDUC']","",NA,"['John Welckle']",200,"['FH 10']","Educ Psychology","",290,"False","False","B",3,"C",20043,"['MWF 1045-1140']","","Research",2004,21
"200",9326,1,311,"['EDUC']","",NA,"['Daniel R. Forstner']",200,"['FH 10', 'FH 10']","Educ Psychology","",290,"False","False","C",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,30
"205",9331,1,313,"['EDUC']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"206",9332,1,314,"['EDUC']","",NA,"['Daniel R. Forstner']",200,"","IS/Multicultural Educ","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"209",9335,1,321,"['EDUC']","",NA,"['Maria L. Kelly']",300,"['FH 10L']","Principles of Educ","",330,"False","False","A",3,"C",20043,"['MWF 0905-1000']","","Research",2004,15
"210",9336,1,321,"['EDUC']","",NA,"['Elizabeth A. Leer']",300,"['FH 10L', 'FH 10L']","Principles of Educ","",330,"False","False","B",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,7
"211",9337,1,322,"['EDUC']","",NA,"['John Welckle']",300,"['FH 10']","Social Studies Persp","",334,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,7
"212",9338,1,323,"['EDUC']","",NA,"['Karna E. Hauck']",300,"['DC 305']","Teaching of Art, K-12","",341,"False","False","",3,"C",20043,"['M 0600-0900PM']","","Research",2004,4
"213",9339,1,325,"['EDUC']","",NA,"['Elizabeth A. Leer']",300,"['FH 10L', 'FH 10L']","Tchg of Comm Arts/Lit","",345,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,17
"214",9340,1,327,"['EDUC']","",NA,"['Martha Wallace']",300,"['SC 184', 'SC 184', 'TBA']","Tchg of Mathematics","",350,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050', 'W 1255-0150PM']","","Research",2004,7
"215",9341,1,328,"['EDUC']","",NA,"['Joseph McClanahan']",300,"['FH 10L']","Tchg of World Lang","",353,"False","False","",3,"C",20043,"['MWF 0800-0855']","","Research",2004,4
"216",9342,1,329,"['EDUC']","",NA,"['Linda Berger']",300,"['CHM 233', 'CHM 233']","Tchg Music-Elem Schls","",355,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,25
"217",9343,1,333,"['EDUC']","",NA,"['Char Anne Bezanson']",300,"['FH 10L']","Tchg of Science","",364,"False","False","",3,"C",20043,"['T 0700-1000PM']","","Research",2004,12
"218",9344,1,334,"['EDUC']","",NA,"['Maria L. Kelly', 'Larry Fowler']",300,"['FH 10', 'FH 10']","Tchg of Soc Studies","",365,"False","False","",3,"C",20043,"['MTh 0600-0730PM', 'MWF 0800-0855']","","Research",2004,13
"223",9349,1,337,"['EDUC']","",NA,"['Heather Campbell']",300,"['FH 10']","The Exceptional Child","",376,"False","False","A",3,"C",20043,"['Th 0800-0920']","","Research",2004,1
"224",9350,1,337,"['EDUC']","",NA,"['Heather Campbell']",300,"['FH 10']","The Exceptional Child","",376,"False","False","B",3,"C",20043,"['Th 0930-1050']","","Research",2004,2
"229",9355,1,344,"['EDUC']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"230",9356,1,345,"['EDUC']","",NA,"['Mark Schelske']",300,"","IR/Earth/Evolution/Ed","",398,"False","False","",3,"O",20043,"","","Research",2004,1
"261",9387,1,392,"['ENGL']","",NA,"['Karen E. Marsalek']",100,"['RML 525']","Literary Studies","",185,"False","False","A",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,21
"262",9388,1,392,"['ENGL']","",NA,"['Carol Holly']",100,"['RML 515', 'RML 515']","Literary Studies","",185,"False","False","B",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,24
"263",9389,1,392,"['ENGL']","",NA,"['Eliot K. Wilson']",100,"['RML 421', 'RML 421']","Literary Studies","",185,"False","False","C",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,27
"264",9390,1,397,"['ENGL']","",NA,"['Karen Cherewatuk', 'Mary E. Trull']",200,"['RML 525']","Lit in Engl to 1650","",221,"False","False","A",3,"C",20043,"['MWF 0905-1000']","","Research",2004,37
"265",9391,1,397,"['ENGL']","",NA,"['Karen Cherewatuk', 'Mary E. Trull']",200,"['RML 525', 'BMC 109']","Lit in Engl to 1650","",221,"False","False","B",3,"C",20043,"['MW 0905-1000', 'F 0905-1000']","","Research",2004,0
"266",9392,1,397,"['ENGL']","",NA,"['Karen Cherewatuk', 'Mary E. Trull']",200,"['RML 525']","Lit in Engl to 1650","",221,"False","False","C",3,"C",20043,"['MW 0905-1000', 'F 0800-0855']","","Research",2004,0
"267",9393,1,397,"['ENGL']","",NA,"['Karen Cherewatuk', 'Mary E. Trull']",200,"['RML 525', 'RML 520']","Lit in Engl to 1650","",221,"False","False","D",3,"C",20043,"['MW 0905-1000', 'F 0800-0855']","","Research",2004,0
"268",9394,1,399,"['ENGL']","",NA,"['Mark Allister', 'Mary Titus']",200,"['RML 525']","Lit in Engl 1650-1850","",222,"False","False","A",3,"C",20043,"['MWF 1045-1140']","","Research",2004,42
"269",9395,1,399,"['ENGL']","",NA,"['Mark Allister', 'Mary Titus']",200,"['RML 525', 'RML 421']","Lit in Engl 1650-1850","",222,"False","False","B",3,"C",20043,"['MW 1045-1140', 'F 1045-1140']","","Research",2004,0
"270",9396,1,399,"['ENGL']","",NA,"['Mark Allister', 'Mary Titus']",200,"['RML 525', 'TBA']","Lit in Engl 1650-1850","",222,"False","False","C",3,"C",20043,"['MW 1045-1140', 'F 0905-1000']","","Research",2004,0
"271",9397,1,404,"['ENGL']","A study of the Arthurian legend, from its Celtic origins through the classic medieval romances of Chretien and Malory, to Victorian adaptations of Tennyson and the Pre-Raphaelites, to contemporary novels and film. Analysis focuses on the myths characteristic forms and ideas; the errant knights adventures, the grail quest, triangulating desire, and adulterous love.",NA,"['Karen Cherewatuk']",200,"['RML 421']","King Arthur Thru Ages","",227,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","Chaucer and Ethics","Research",2004,26
"272",9398,1,410,"['ENGL']","",NA,"['Joan Hepburn']",200,"['RML 525', 'RML 525']","Amer Racial/Multi Lit","",245,"False","False","",3,"O",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,47
"273",9399,1,411,"['ENGL']","",NA,"['Richard Buckstead']",200,"['RML 525']","Post-Colonial: India","",247,"False","False","",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,27
"274",9400,1,413,"['ENGL']","",NA,"['Mary V. Winstead']",200,"['RML 420', 'RML 420']","Creative Wrtg: Non-Fic","",251,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,17
"275",9401,1,417,"['ENGL']","",NA,"['Jan C. Hill']",200,"['RML 515', 'RML 515']","Journalistic Writing","",255,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,17
"276",9402,1,418,"['ENGL']","",NA,"['James Heynen']",200,"['RML 525', 'RML 525']","Creat Wrtg: Fict/Poet","",257,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,30
"277",9403,1,422,"['ENGL']","",NA,"['Richard DuRocher']",200,"['RML 420']","Utopias","",272,"False","False","",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,22
"278",9404,1,423,"['ENGL']","",NA,"['Karen E. Marsalek']",200,"['RML 525']","Eng Lang/Linguistics","",274,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,33
"279",9405,1,429,"['ENGL']","",NA,"['Diana Postlethwaite']",200,"['RML 525']","19th-21st C Novels","",283,"False","False","",3,"C",20043,"['MWF 0800-0855']","","Research",2004,29
"280",9406,1,431,"['ENGL']","",NA,"['Carol Holly']",200,"['RML 515', 'RML 515']","Women & Literature","",286,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,25
"281",9407,1,433,"['ENGL']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"282",9408,1,434,"['ENGL']","",NA,"['Mary E. Trull']",200,"","IS/Intro Film Theory","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"283",9409,1,434,"['ENGL']","",NA,"['Eliot K. Wilson']",200,"","IS/Short Fiction","",298,"False","False","A",3,"O",20043,"","","Research",2004,1
"284",9410,1,434,"['ENGL']","",NA,"['Eliot K. Wilson']",200,"","IS/Publishing Poetry","",298,"False","False","B",3,"O",20043,"","","Research",2004,1
"285",9411,1,434,"['ENGL']","",NA,"['Eliot K. Wilson']",200,"","IS/Book Lgth N-Fict","",298,"False","False","C",3,"O",20043,"","","Research",2004,1
"286",9412,1,436,"['ENGL']","",NA,"['Richard Buckstead']",300,"['RML 520']","Top: Lit Eras-America","",340,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Topic",2004,21
"287",9413,1,439,"['ENGL']","",NA,"['Richard DuRocher']",300,"['RML 520', 'RML 520']","Literary Crit/Theory","",360,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,13
"288",9414,1,441,"['ENGL']","",NA,"['James Heynen']",300,"['RML 525']","Advanced Fiction Wrtg","",372,"False","False","",3,"C",20043,"['M 0700-1000PM']","","Research",2004,17
"289",9415,1,442,"['ENGL']","",NA,"['Eliot K. Wilson']",300,"['RML 420', 'RML 420']","Adv Non-Fiction Wrtg","",373,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,20
"290",9416,1,449,"['ENGL']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"291",9417,1,450,"['ENGL']","",NA,"['Karen Cherewatuk']",300,"['RML 520', 'RML 520']","Chaucer and Ethics","",395,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,14
"292",9418,1,451,"['ENGL']","",NA,"['Carol Holly']",300,"","IR/Nature Literature","",398,"False","False","",3,"O",20043,"","","Research",2004,2
"293",9419,1,451,"['ENGL']","",NA,"['James Heynen']",300,"","IR/Adv Creative Writ","",398,"False","False","A",3,"O",20043,"","","Research",2004,1
"294",9420,1,451,"['ENGL']","",NA,"['Eliot K. Wilson']",300,"","IR/Travel Writing","",398,"False","False","B",3,"O",20043,"","","Research",2004,1
"295",9421,1,451,"['ENGL']","",NA,"['Mary Susan Lovett']",300,"","IR/Young Adult Lit","",398,"False","False","C",3,"O",20043,"","","Research",2004,1
"296",9422,1,451,"['ENGL']","",NA,"['Eliot K. Wilson']",300,"","IR/Literary Non-Fict","",398,"False","False","D",3,"O",20043,"","","Research",2004,1
"297",9423,1,452,"['ENGL']","",NA,"['Mary E. Trull']",300,"['RML 520']","Sem: Metamorphoses","",399,"False","False","",3,"C",20043,"['MWF 1045-1140']","","Seminar",2004,14
"298",9424,1,454,"['ENVST']","",NA,"['Ann M. Pierce']",100,"['SC 129']","Conservation Biology","",125,"False","False","",3,"C",20043,"['MW 0100-0300PM']","","Research",2004,23
"299",9425,1,455,"['ENVST']","",NA,"['Rickard J. Pettersson']",100,"['SC 129', 'SC 129']","Intro: Enviro Studies","",137,"False","False","A",3,"O",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,25
"300",9426,1,455,"['ENVST']","",NA,"['Rickard J. Pettersson']",100,"['SC 129', 'SC 129']","Intro: Enviro Studies","",137,"False","False","B",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,23
"301",9427,1,455,"['ENVST']","",NA,"['Paul T. Jackson']",100,"['SC 129']","Intro: Enviro Studies","",137,"False","False","C",3,"C",20043,"['MWF 0800-0855']","","Research",2004,23
