"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"639",12374,1,1273,"['RUSSN']","This course traces the development of Russian literature from the end of the 19th century to the present. A variety of genres will be studied, including the novel, the short story, drama, and lyric poetry. Major authors include: Chekhov, Akhmatova, Bulgakov, Pasternak, Solzhenitsyn and Nabokov. Taught in translation. No prerequisites.","",NA,"",NA,"['Peter-John Thomas']",200,"['OM 011']","20th C Russian Lit-Tr",262,"False","False","",3,"O",20053,"['MWF 1045-1140']","20th-Century Russian Literature","Research",2005,15
"641",12376,1,1289,"['SOAN']","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as Do we have a &human; nature'?, Why does social inequality exist?, What is race?, and How do societies change? In answering these questions students will learn to develop a sociological imagination. In doing so they will review the various research methods and theories that form the sociological tradition. Offered Fall and Spring Semesters.","",NA,"",NA,"['Ryan R. Sheppard']",100,"['SH 001', 'SH 001']","Intro to Sociology",121,"False","False","A",3,"C",20053,"['T 0935-1100', 'Th 0930-1050']","Introduction to Sociology","Research",2005,32
"642",12377,1,1289,"['SOAN']","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as Do we have a &human; nature'?, Why does social inequality exist?, What is race?, and How do societies change? In answering these questions students will learn to develop a sociological imagination. In doing so they will review the various research methods and theories that form the sociological tradition. Offered Fall and Spring Semesters.","",NA,"",NA,"['Ryan R. Sheppard']",100,"['SH 001', 'SH 001']","Intro to Sociology",121,"False","False","B",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Introduction to Sociology","Research",2005,31
"645",12380,1,1301,"['SOAN']","Focusing on present day Arab and Middle Eastern countries, the course will explore the role of the institutions of family and religion in maintaining continuity, while also identifying sources of change such as the colonial experience, regional and global interdependence, the social impact of oil, fundamentalist movements and the co-existence of traditional and modern values. Offered Spring Semester.","",NA,"",NA,"['Samiha Peterson']",200,"['HH 403', 'HH 403']","The Arab World",236,"False","False","A",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Arabs in the Middle East","Research",2005,25
"646",12381,1,1301,"['SOAN']","Focusing on present day Arab and Middle Eastern countries, the course will explore the role of the institutions of family and religion in maintaining continuity, while also identifying sources of change such as the colonial experience, regional and global interdependence, the social impact of oil, fundamentalist movements and the co-existence of traditional and modern values. Offered Spring Semester.","",NA,"",NA,"['Samiha Peterson']",200,"['HH 403', 'HH 403']","The Arab World",236,"False","False","B",3,"C",20053,"['T 0120-0245PM', 'Th 0215-0335PM']","Arabs in the Middle East","Research",2005,21
"647",12382,1,1303,"['SOAN']","Southeast Asia is a diverse region, stretching from the sleek high-rises of Singapore to hermetic Rangoon; from Islam to Buddhism; from computer chip manufacture to swidden agriculture. We will read ethnographies, novels and local histories to better understand Southeast Asian family life, religion, language and education. Through focusing on the experience of modernity, we will examine how Southeast Asians make sense of their group affiliations, their pasts and their futures. The course aims to challenge contemporary understandings of place, entitlement and home both in Southeast Asia and beyond. Offered Spring Semester.","",NA,"",NA,"['Thomas A. Williamson']",200,"['HH 317']","Modern Southeast Asia",239,"False","False","",3,"O",20053,"['MWF 1255-0150PM']","","Research",2005,20
"649",12384,1,1306,"['SOAN']","Students explore the continuing significance of color, class and immigration in the U.S., with a focus on the experiences and concerns of African-Americans, Native Americans, Hispanics/Latinos and Asian-Americans. The course examines the nature and functions of prejudice; the relationship among race, class and gender; the persistence of racism and inequality; and social policies and social movements intended to create greater social justice. Offered Fall Semester.","",NA,"",NA,"['Grant P. Arndt']",200,"['RML 421']","Race/Class-Am Culture",244,"False","False","",3,"C",20053,"['MWF 1045-1140']","Race and Class in American Culture","Research",2005,36
"660",12396,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","",NA,"",NA,"['Juliet A. Lynd']",200,"['OM 021']","Intermed Spanish I",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","A",3,"C",20053,"['MWF 1045-1140']","Intermediate Spanish I","Research",2005,25
"661",12397,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","",NA,"",NA,"['Juliet A. Lynd']",200,"['OM 021']","Intermed Spanish I",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","B",3,"C",20053,"['MWF 1150-1245PM']","Intermediate Spanish I","Research",2005,23
"662",12398,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","",NA,"",NA,"['Maggie Broner']",200,"['OM 020']","Intermed Spanish I",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall and Spring Semesters.","C",3,"C",20053,"['MWF 1255-0150PM']","Intermediate Spanish I","Research",2005,23
"680",12416,1,1363,"['SWRK']","Affirmative action and welfare reform exemplify how society's values and needs translate into policies and programs. Social workers work for justice by creating, implementing and evaluating policies in income, employment, housing and child welfare. Students study policy formation and analysis that reflect interests and powers of diverse groups as well as economic and social needs of certain populations at risk, especially women, African-Americans, gay men and lesbians and Latinos. GE: HBS. Open to non-majors by permission of program director. Offered Spring Semester.","",NA,"",NA,"['Mary Carlsen']",200,"['HH 317']","Social Policy",258,"False","False","",3,"C",20053,"['MWF 1150-1245PM']","","Research",2005,38
"713",12582,1,1476,"['WMNST']","Required for the women's studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as women and men and a wider knowledge of the experiences and achievements of women.","",NA,"",NA,"['Diane C. LeBlanc']",100,"['RML 420']","Intro Women's Studies",121,"False","False","",3,"C",20053,"['MWF 1150-1245PM']","Introduction to Women's Studies","Research",2005,20
"719",49196,1,16962,"['ASIAN']","","",NA,"",NA,"['Katherine S. Tegtmeyer Pak']",300,"['HH 302', 'HH 302']","Human Rights/AsianContext",397,"False","False","",3,"O",20053,"['T 0935-1100', 'Th 0930-1050']","","Research",2005,11
"763",49249,1,429,"['ENGL']","Explores various forms of prose, including fiction and creative nonfiction. Each instructor selects different material to be studied and emphasizes various aspects of the form. Topics can range from the 18th-century novel to African American autobiography. May be repeated if topics are different.","",NA,"",NA,"['Cathryn Meyer']",200,"['RML 525']","Top:Compulsion/Confession",283,"False","False","",3,"C",20053,"['MWF 0200-0255PM']","Studies in Prose","Topic",2005,25
"773",49259,1,794,"['MEDIA']","This course focuses on contemporary media, primarily film and television, from theoretical and critical perspectives. Primary emphasis is given to the specific identifying characteristics of news, advertising and entertainment media and to how those media serve as forums for cultural negotiation in our society. In particular, attention is paid to how media representations of race, class and gender presently exist as both products and producers of contemporary cultures. Prerequisite: Media Studies 160.","",NA,"",NA,"['William Sonnega']",200,"['TB 216', 'TB 216']","Media/Contemp Culture",260,"False","Prerequisite: Media Studies 160.","",3,"C",20053,"['T 1145-0110PM', 'Th 1245-0205PM']","Media and Contemporary Culture","Research",2005,10
"799",49312,1,437,"['ENGL']","This course focuses on important issues, images, authors and modes in an intensive study of racial and multicultural literature in the U.S. The scope of the course can include racial portraiture, sexual politics, field and factory experience, color and class status, and church and family institutions. Authors include such writers as Frederick Douglass and Maxine Hong Kingston.","",NA,"",NA,"['Carlos V. Reyes']",300,"['RML 520']","Top: Asian- Am Psychol",345,"False","False","",3,"C",20053,"['MWF 0905-1000']","Topics in American Racial and Multicultural Literatures","Topic",2005,9
"830",52886,1,978,"['PHIL']","This course surveys the influential philosophical traditions of India and China. Students explore the traditions of Hinduism, Buddhism, Jainism, Confucianism and Taoism and consider other traditions with which they have interacted. Where appropriate, comparisons are drawn to Western philosophical traditions.","",NA,"",NA,"['Anantanand Rambachan']",200,"","Asian Philosophy",251,"False","False","",3,"C",20053,"","","Research",2005,1
